; Candidate 1877
; ADRP+ADD at VM 0xfffffff008539678 (fileoff 0x1535678): page=0x1feba8000 add_imm=0xdd8

0xfffffff0085395f8: a00200ad  stp	q0, q0, [x21]
0xfffffff0085395fc: a00202ad  stp	q0, q0, [x21, #0x40]
0xfffffff008539600: a00201ad  stp	q0, q0, [x21, #0x20]
0xfffffff008539604: 16e00691  add	x22, x0, #0x1b8
0xfffffff008539608: 00200791  add	x0, x0, #0x1c8
0xfffffff00853960c: a00203ad  stp	q0, q0, [x21, #0x60]
0xfffffff008539610: 01008052  mov	w1, #0
0xfffffff008539614: 02118052  mov	w2, #0x88
0xfffffff008539618: 6a4de097  bl	#0xfffffff007d4cbc0
0xfffffff00853961c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008539620: c002803d  str	q0, [x22]
0xfffffff008539624: 10a3fff0  adrp	x16, #0xfffffff00799c000
0xfffffff008539628: 10221491  add	x16, x16, #0x508
0xfffffff00853962c: 10420091  add	x16, x16, #0x10
0xfffffff008539630: f10313aa  mov	x17, x19
0xfffffff008539634: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008539638: 300ac1da  pacda	x16, x17
0xfffffff00853963c: 700200f9  str	x16, [x19]
0xfffffff008539640: e00314aa  mov	x0, x20
0xfffffff008539644: bcaef697  bl	#0xfffffff0082e5134
0xfffffff008539648: e00313aa  mov	x0, x19
0xfffffff00853964c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008539650: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008539654: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008539658: ff0f5fd6  retab	
0xfffffff00853965c: 5f2403d5  bti	c
0xfffffff008539660: 25acf617  b	#0xfffffff0082e46f4
0xfffffff008539664: 5f2403d5  bti	c
0xfffffff008539668: 23acf617  b	#0xfffffff0082e46f4
0xfffffff00853966c: 7f2303d5  pacibsp	
0xfffffff008539670: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008539674: fd030091  mov	x29, sp
0xfffffff008539678: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853967c: 00603791  add	x0, x0, #0xdd8
0xfffffff008539680: eebef797  bl	#0xfffffff008329238
0xfffffff008539684: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539688: 000905f9  str	x0, [x8, #0xa10]
0xfffffff00853968c: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539690: 00083891  add	x0, x0, #0xe02
0xfffffff008539694: e9bef797  bl	#0xfffffff008329238
0xfffffff008539698: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853969c: 000d05f9  str	x0, [x8, #0xa18]
0xfffffff0085396a0: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085396a4: 00883891  add	x0, x0, #0xe22
0xfffffff0085396a8: e4bef797  bl	#0xfffffff008329238
0xfffffff0085396ac: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085396b0: 001105f9  str	x0, [x8, #0xa20]
0xfffffff0085396b4: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085396b8: 00e43891  add	x0, x0, #0xe39
0xfffffff0085396bc: dfbef797  bl	#0xfffffff008329238
0xfffffff0085396c0: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085396c4: 001505f9  str	x0, [x8, #0xa28]
0xfffffff0085396c8: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085396cc: 004c3991  add	x0, x0, #0xe53
0xfffffff0085396d0: dabef797  bl	#0xfffffff008329238
0xfffffff0085396d4: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085396d8: 001905f9  str	x0, [x8, #0xa30]
0xfffffff0085396dc: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085396e0: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085396e4: d5bef797  bl	#0xfffffff008329238
0xfffffff0085396e8: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085396ec: 001d05f9  str	x0, [x8, #0xa38]
0xfffffff0085396f0: e0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff0085396f4: 00002991  add	x0, x0, #0xa40
