; Candidate 2289
; ADRP+ADD at VM 0xfffffff00860ba60 (fileoff 0x1607a60): page=0x1ccc000 add_imm=0xea0

0xfffffff00860b9e0: e00300f9  str	x0, [sp]
0xfffffff00860b9e4: 6057fff0  adrp	x0, #0xfffffff0070fa000
0xfffffff00860b9e8: 00402291  add	x0, x0, #0x890
0xfffffff00860b9ec: c357fff0  adrp	x3, #0xfffffff007106000
0xfffffff00860b9f0: 63441c91  add	x3, x3, #0x711
0xfffffff00860b9f4: e10317aa  mov	x1, x23
0xfffffff00860b9f8: 02008052  mov	w2, #0
0xfffffff00860b9fc: cd9df497  bl	#0xfffffff008333130
0xfffffff00860ba00: e02f40b9  ldr	w0, [sp, #0x2c]
0xfffffff00860ba04: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00860ba08: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00860ba0c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00860ba10: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00860ba14: ffc30191  add	sp, sp, #0x70
0xfffffff00860ba18: ff0f5fd6  retab	
0xfffffff00860ba1c: 5f2403d5  bti	c
0xfffffff00860ba20: 08dc40b9  ldr	w8, [x0, #0xdc]
0xfffffff00860ba24: 280000b9  str	w8, [x1]
0xfffffff00860ba28: 00008052  mov	w0, #0
0xfffffff00860ba2c: c0035fd6  ret	
0xfffffff00860ba30: 5f2403d5  bti	c
0xfffffff00860ba34: 3063f317  b	#0xfffffff0082e46f4
0xfffffff00860ba38: 5f2403d5  bti	c
0xfffffff00860ba3c: 00008052  mov	w0, #0
0xfffffff00860ba40: c0035fd6  ret	
0xfffffff00860ba44: 5f2403d5  bti	c
0xfffffff00860ba48: c0035fd6  ret	
0xfffffff00860ba4c: 5f2403d5  bti	c
0xfffffff00860ba50: c0035fd6  ret	
0xfffffff00860ba54: 7f2303d5  pacibsp	
0xfffffff00860ba58: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860ba5c: fd030091  mov	x29, sp
0xfffffff00860ba60: 60e60090  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860ba64: 00803a91  add	x0, x0, #0xea0
0xfffffff00860ba68: a157ffb0  adrp	x1, #0xfffffff007100000
0xfffffff00860ba6c: 21100191  add	x1, x1, #0x44
0xfffffff00860ba70: a29dff90  adrp	x2, #0xfffffff0079bf000
0xfffffff00860ba74: 428842f9  ldr	x2, [x2, #0x510]
0xfffffff00860ba78: 031f8052  mov	w3, #0xf8
0xfffffff00860ba7c: 2f60f397  bl	#0xfffffff0082e3b38
0xfffffff00860ba80: 109effd0  adrp	x16, #0xfffffff0079cd000
0xfffffff00860ba84: 10c21a91  add	x16, x16, #0x6b0
0xfffffff00860ba88: 10420091  add	x16, x16, #0x10
0xfffffff00860ba8c: f10300aa  mov	x17, x0
0xfffffff00860ba90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00860ba94: 300ac1da  pacda	x16, x17
0xfffffff00860ba98: 100000f9  str	x16, [x0]
0xfffffff00860ba9c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00860baa0: ff0f5fd6  retab	
0xfffffff00860baa4: 5f2403d5  bti	c
0xfffffff00860baa8: 60e60090  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860baac: 00803a91  add	x0, x0, #0xea0
0xfffffff00860bab0: 1163f317  b	#0xfffffff0082e46f4
0xfffffff00860bab4: 7f2303d5  pacibsp	
0xfffffff00860bab8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860babc: fd030091  mov	x29, sp
0xfffffff00860bac0: a157ffb0  adrp	x1, #0xfffffff007100000
0xfffffff00860bac4: 21140591  add	x1, x1, #0x145
0xfffffff00860bac8: 62e60090  adrp	x2, #0xfffffff00a2d7000
0xfffffff00860bacc: 42a02e91  add	x2, x2, #0xba8
0xfffffff00860bad0: 03828052  mov	w3, #0x410
0xfffffff00860bad4: 1960f397  bl	#0xfffffff0082e3b38
0xfffffff00860bad8: 109efff0  adrp	x16, #0xfffffff0079ce000
0xfffffff00860badc: 10a21491  add	x16, x16, #0x528
