; Candidate 16515
; ADRP+ADD at VM 0xfffffff009ecf118 (fileoff 0x2ecb118): page=0x1fd976000 add_imm=0xec4

0xfffffff009ecf098: 00020034  cbz	w0, #0xfffffff009ecf0d8
0xfffffff009ecf09c: f70300aa  mov	x23, x0
0xfffffff009ecf0a0: 083e8452  mov	w8, #0x21f0
0xfffffff009ecf0a4: 0803088b  add	x8, x24, x8
0xfffffff009ecf0a8: a90240f9  ldr	x9, [x21]
0xfffffff009ecf0ac: ca0640f9  ldr	x10, [x22, #8]
0xfffffff009ecf0b0: ea5f02a9  stp	x10, x23, [sp, #0x20]
0xfffffff009ecf0b4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ecf0b8: a8cbfed0  adrp	x8, #0xfffffff007845000
0xfffffff009ecf0bc: 08a13991  add	x8, x8, #0xe68
0xfffffff009ecf0c0: a97d8252  mov	w9, #0x13ed
0xfffffff009ecf0c4: e82700a9  stp	x8, x9, [sp]
0xfffffff009ecf0c8: a0cbfed0  adrp	x0, #0xfffffff007845000
0xfffffff009ecf0cc: 00fc3991  add	x0, x0, #0xe7f
0xfffffff009ecf0d0: fdc1fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ecf0d4: ddffff17  b	#0xfffffff009ecf048
0xfffffff009ecf0d8: f63f40f9  ldr	x22, [sp, #0x78]
0xfffffff009ecf0dc: 760200b4  cbz	x22, #0xfffffff009ecf128
0xfffffff009ecf0e0: e2c30091  add	x2, sp, #0x30
0xfffffff009ecf0e4: e00318aa  mov	x0, x24
0xfffffff009ecf0e8: e10316aa  mov	x1, x22
0xfffffff009ecf0ec: 27720094  bl	#0xfffffff009eeb988
0xfffffff009ecf0f0: f70300aa  mov	x23, x0
0xfffffff009ecf0f4: 00020034  cbz	w0, #0xfffffff009ecf134
0xfffffff009ecf0f8: 083e8452  mov	w8, #0x21f0
0xfffffff009ecf0fc: 0803088b  add	x8, x24, x8
0xfffffff009ecf100: f6df01a9  stp	x22, x23, [sp, #0x18]
0xfffffff009ecf104: 297f8252  mov	w9, #0x13f9
0xfffffff009ecf108: aacbfed0  adrp	x10, #0xfffffff007845000
0xfffffff009ecf10c: 4aa13991  add	x10, x10, #0xe68
0xfffffff009ecf110: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ecf114: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ecf118: a0cbfed0  adrp	x0, #0xfffffff007845000
0xfffffff009ecf11c: 00103b91  add	x0, x0, #0xec4
0xfffffff009ecf120: e9c1fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ecf124: c9ffff17  b	#0xfffffff009ecf048
0xfffffff009ecf128: 17008052  mov	w23, #0
0xfffffff009ecf12c: bf0600f9  str	xzr, [x21, #8]
0xfffffff009ecf130: c6ffff17  b	#0xfffffff009ecf048
0xfffffff009ecf134: e85340b9  ldr	w8, [sp, #0x50]
0xfffffff009ecf138: 1f050071  cmp	w8, #1
0xfffffff009ecf13c: e8c74039  ldrb	w8, [sp, #0x31]
0xfffffff009ecf140: 0009417a  ccmp	w8, #1, #0, eq
0xfffffff009ecf144: e8079f1a  cset	w8, ne
0xfffffff009ecf148: a4ffff17  b	#0xfffffff009ecefd8
0xfffffff009ecf14c: 7f2303d5  pacibsp	
0xfffffff009ecf150: ffc304d1  sub	sp, sp, #0x130
0xfffffff009ecf154: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff009ecf158: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff009ecf15c: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff009ecf160: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff009ecf164: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff009ecf168: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff009ecf16c: fd830491  add	x29, sp, #0x120
0xfffffff009ecf170: ff6300f9  str	xzr, [sp, #0xc0]
0xfffffff009ecf174: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ecf178: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff009ecf17c: e027803d  str	q0, [sp, #0x90]
0xfffffff009ecf180: ff8f00b9  str	wzr, [sp, #0x8c]
0xfffffff009ecf184: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff009ecf188: 480c40f9  ldr	x8, [x2, #0x18]
0xfffffff009ecf18c: 190140f9  ldr	x25, [x8]
0xfffffff009ecf190: 9912f8b7  tbnz	x25, #0x3f, #0xfffffff009ecf3e0
0xfffffff009ecf194: f60306aa  mov	x22, x6
