; Candidate 2455
; ADRP+ADD at VM 0xfffffff008689584 (fileoff 0x1685584): page=0x1fea9c000 add_imm=0xd9c

0xfffffff008689504: e89affd0  adrp	x8, #0xfffffff0079e7000
0xfffffff008689508: 08611c91  add	x8, x8, #0x718
0xfffffff00868950c: 09038052  mov	w9, #0x18
0xfffffff008689510: a322a99b  umaddl	x3, w21, w9, x8
0xfffffff008689514: c89affd0  adrp	x8, #0xfffffff0079e3000
0xfffffff008689518: 081147f9  ldr	x8, [x8, #0xe20]
0xfffffff00868951c: 06411591  add	x6, x8, #0x550
0xfffffff008689520: 10a942f9  ldr	x16, [x8, #0x550]
0xfffffff008689524: e00313aa  mov	x0, x19
0xfffffff008689528: e10315aa  mov	x1, x21
0xfffffff00868952c: e20314aa  mov	x2, x20
0xfffffff008689530: e40313aa  mov	x4, x19
0xfffffff008689534: 050080d2  mov	x5, #0
0xfffffff008689538: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00868953c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008689540: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008689544: ff2303d5  autibsp	
0xfffffff008689548: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00868954c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008689554
0xfffffff008689550: 208e38d4  brk	#0xc471
0xfffffff008689554: f10306aa  mov	x17, x6
0xfffffff008689558: 516af6f2  movk	x17, #0xb352, lsl #48
0xfffffff00868955c: 110a1fd7  braa	x16, x17
0xfffffff008689560: 7f2303d5  pacibsp	
0xfffffff008689564: ff0301d1  sub	sp, sp, #0x40
0xfffffff008689568: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00868956c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008689570: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008689574: fdc30091  add	x29, sp, #0x30
0xfffffff008689578: f50302aa  mov	x21, x2
0xfffffff00868957c: f30301aa  mov	x19, x1
0xfffffff008689580: f40300aa  mov	x20, x0
0xfffffff008689584: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff008689588: 00703691  add	x0, x0, #0xd9c
0xfffffff00868958c: a536f397  bl	#0xfffffff008357020
0xfffffff008689590: 610240b9  ldr	w1, [x19]
0xfffffff008689594: 28040012  and	w8, w1, #3
0xfffffff008689598: 3f300071  cmp	w1, #0xc
0xfffffff00868959c: 0029407a  ccmp	w8, #0, #0, hs
0xfffffff0086895a0: 00010054  b.eq	#0xfffffff0086895c0
0xfffffff0086895a4: e054ff90  adrp	x0, #0xfffffff007125000
0xfffffff0086895a8: 00503791  add	x0, x0, #0xdd4
0xfffffff0086895ac: 9d36f397  bl	#0xfffffff008357020
0xfffffff0086895b0: 88578052  mov	w8, #0x2bc
0xfffffff0086895b4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0086895b8: 13190011  add	w19, w8, #6
0xfffffff0086895bc: 3a000014  b	#0xfffffff0086896a4
0xfffffff0086895c0: 93578052  mov	w19, #0x2bc
0xfffffff0086895c4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0086895c8: 88008052  mov	w8, #4
0xfffffff0086895cc: a96ae838  ldrsb	w9, [x21, x8]
0xfffffff0086895d0: 2a791a12  and	w10, w9, #0xffffffdf
0xfffffff0086895d4: 4a050151  sub	w10, w10, #0x41
0xfffffff0086895d8: 4a1d0012  and	w10, w10, #0xff
0xfffffff0086895dc: 2bc10051  sub	w11, w9, #0x30
0xfffffff0086895e0: 5f690071  cmp	w10, #0x1a
0xfffffff0086895e4: 6a1d0012  and	w10, w11, #0xff
0xfffffff0086895e8: 40294a7a  ccmp	w10, #0xa, #0, hs
0xfffffff0086895ec: 22050054  b.hs	#0xfffffff008689690
0xfffffff0086895f0: 08050091  add	x8, x8, #1
0xfffffff0086895f4: 3f0008eb  cmp	x1, x8
0xfffffff0086895f8: a1feff54  b.ne	#0xfffffff0086895cc
0xfffffff0086895fc: e00315aa  mov	x0, x21
0xfffffff008689600: c491f197  bl	#0xfffffff0082edd10
