; Candidate 2130
; ADRP+ADD at VM 0xfffffff00855cd28 (fileoff 0x1558d28): page=0x1feb85000 add_imm=0xdd8

0xfffffff00855cca8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00855ccac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00855ccb0: fd430091  add	x29, sp, #0x10
0xfffffff00855ccb4: 20a2ffd0  adrp	x0, #0xfffffff0079a2000
0xfffffff00855ccb8: 00001491  add	x0, x0, #0x500
0xfffffff00855ccbc: 01088052  mov	w1, #0x40
0xfffffff00855ccc0: 5e2af697  bl	#0xfffffff0082e7638
0xfffffff00855ccc4: f30300aa  mov	x19, x0
0xfffffff00855ccc8: d4eb00d0  adrp	x20, #0xfffffff00a2d6000
0xfffffff00855cccc: 94222591  add	x20, x20, #0x948
0xfffffff00855ccd0: e10314aa  mov	x1, x20
0xfffffff00855ccd4: a62af697  bl	#0xfffffff0082e776c
0xfffffff00855ccd8: 30a2ff90  adrp	x16, #0xfffffff0079a0000
0xfffffff00855ccdc: 10621591  add	x16, x16, #0x558
0xfffffff00855cce0: 10420091  add	x16, x16, #0x10
0xfffffff00855cce4: f10300aa  mov	x17, x0
0xfffffff00855cce8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00855ccec: 300ac1da  pacda	x16, x17
0xfffffff00855ccf0: 100000f9  str	x16, [x0]
0xfffffff00855ccf4: e00314aa  mov	x0, x20
0xfffffff00855ccf8: 0f21f697  bl	#0xfffffff0082e5134
0xfffffff00855ccfc: e00313aa  mov	x0, x19
0xfffffff00855cd00: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00855cd04: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00855cd08: ff0f5fd6  retab	
0xfffffff00855cd0c: 5f2403d5  bti	c
0xfffffff00855cd10: 791ef617  b	#0xfffffff0082e46f4
0xfffffff00855cd14: 5f2403d5  bti	c
0xfffffff00855cd18: 771ef617  b	#0xfffffff0082e46f4
0xfffffff00855cd1c: 7f2303d5  pacibsp	
0xfffffff00855cd20: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855cd24: fd030091  mov	x29, sp
0xfffffff00855cd28: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd2c: 00603791  add	x0, x0, #0xdd8
0xfffffff00855cd30: 4231f797  bl	#0xfffffff008329238
0xfffffff00855cd34: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd38: 008d04f9  str	x0, [x8, #0x918]
0xfffffff00855cd3c: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd40: 00083891  add	x0, x0, #0xe02
0xfffffff00855cd44: 3d31f797  bl	#0xfffffff008329238
0xfffffff00855cd48: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd4c: 009104f9  str	x0, [x8, #0x920]
0xfffffff00855cd50: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd54: 00883891  add	x0, x0, #0xe22
0xfffffff00855cd58: 3831f797  bl	#0xfffffff008329238
0xfffffff00855cd5c: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd60: 009504f9  str	x0, [x8, #0x928]
0xfffffff00855cd64: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd68: 00e43891  add	x0, x0, #0xe39
0xfffffff00855cd6c: 3331f797  bl	#0xfffffff008329238
0xfffffff00855cd70: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd74: 009904f9  str	x0, [x8, #0x930]
0xfffffff00855cd78: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd7c: 004c3991  add	x0, x0, #0xe53
0xfffffff00855cd80: 2e31f797  bl	#0xfffffff008329238
0xfffffff00855cd84: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd88: 009d04f9  str	x0, [x8, #0x938]
0xfffffff00855cd8c: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855cd90: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00855cd94: 2931f797  bl	#0xfffffff008329238
0xfffffff00855cd98: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855cd9c: 00a104f9  str	x0, [x8, #0x940]
0xfffffff00855cda0: c0eb00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855cda4: 00202591  add	x0, x0, #0x948
