; Candidate 14376
; ADRP+ADD at VM 0xfffffff00976ee7c (fileoff 0x276ae7c): page=0xc1d000 add_imm=0xea8

0xfffffff00976edfc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00976ee00: e90310aa  mov	x9, x16
0xfffffff00976ee04: e00316aa  mov	x0, x22
0xfffffff00976ee08: f10309aa  mov	x17, x9
0xfffffff00976ee0c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00976ee10: 11093fd7  blraa	x8, x17
0xfffffff00976ee14: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00976ee18: 2c87fd97  bl	#0xfffffff0096d0ac8
0xfffffff00976ee1c: e803002a  mov	w8, w0
0xfffffff00976ee20: e80300f9  str	x8, [sp]
0xfffffff00976ee24: 02f1fe90  adrp	x2, #0xfffffff00758e000
0xfffffff00976ee28: 42a01891  add	x2, x2, #0x628
0xfffffff00976ee2c: a01301d1  sub	x0, x29, #0x44
0xfffffff00976ee30: 61008052  mov	w1, #3
0xfffffff00976ee34: ca2faa97  bl	#0xfffffff0081fad5c
0xfffffff00976ee38: 621a40f9  ldr	x2, [x19, #0x30]
0xfffffff00976ee3c: d00240f9  ldr	x16, [x22]
0xfffffff00976ee40: f10316aa  mov	x17, x22
0xfffffff00976ee44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976ee48: 301ac1da  autda	x16, x17
0xfffffff00976ee4c: f10310aa  mov	x17, x16
0xfffffff00976ee50: f147c1da  xpacd	x17
0xfffffff00976ee54: 1f0211eb  cmp	x16, x17
0xfffffff00976ee58: 40000054  b.eq	#0xfffffff00976ee60
0xfffffff00976ee5c: 408e38d4  brk	#0xc472
0xfffffff00976ee60: 08020491  add	x8, x16, #0x100
0xfffffff00976ee64: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff00976ee68: a11301d1  sub	x1, x29, #0x44
0xfffffff00976ee6c: e00316aa  mov	x0, x22
0xfffffff00976ee70: f10308aa  mov	x17, x8
0xfffffff00976ee74: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff00976ee78: 31093fd7  blraa	x9, x17
0xfffffff00976ee7c: e06000b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976ee80: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976ee84: b5d6ad97  bl	#0xfffffff0082e4958
0xfffffff00976ee88: e00315aa  mov	x0, x21
0xfffffff00976ee8c: f4e6fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ee90: c00100b5  cbnz	x0, #0xfffffff00976eec8
0xfffffff00976ee94: b00240f9  ldr	x16, [x21]
0xfffffff00976ee98: f10315aa  mov	x17, x21
0xfffffff00976ee9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976eea0: 301ac1da  autda	x16, x17
0xfffffff00976eea4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976eea8: 1002118b  add	x16, x16, x17
0xfffffff00976eeac: 080240f9  ldr	x8, [x16]
0xfffffff00976eeb0: e90310aa  mov	x9, x16
0xfffffff00976eeb4: e00315aa  mov	x0, x21
0xfffffff00976eeb8: 010080d2  mov	x1, #0
0xfffffff00976eebc: f10309aa  mov	x17, x9
0xfffffff00976eec0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976eec4: 11093fd7  blraa	x8, x17
0xfffffff00976eec8: e00315aa  mov	x0, x21
0xfffffff00976eecc: e4e6fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976eed0: e00315aa  mov	x0, x21
0xfffffff00976eed4: e2e6fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976eed8: c00100b5  cbnz	x0, #0xfffffff00976ef10
0xfffffff00976eedc: b00240f9  ldr	x16, [x21]
0xfffffff00976eee0: f10315aa  mov	x17, x21
0xfffffff00976eee4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976eee8: 301ac1da  autda	x16, x17
0xfffffff00976eeec: 114380d2  mov	x17, #0x218
0xfffffff00976eef0: 1002118b  add	x16, x16, x17
0xfffffff00976eef4: 080240f9  ldr	x8, [x16]
0xfffffff00976eef8: e90310aa  mov	x9, x16
