; Candidate 8757
; ADRP+ADD at VM 0xfffffff0088c35e0 (fileoff 0x18bf5e0): page=0x1fe926000 add_imm=0xe80

0xfffffff0088c3560: f40300aa  mov	x20, x0
0xfffffff0088c3564: 12c3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3568: f30300aa  mov	x19, x0
0xfffffff0088c356c: 60008052  mov	w0, #3
0xfffffff0088c3570: b8e0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3574: d4010036  tbz	w20, #0, #0xfffffff0088c35ac
0xfffffff0088c3578: 684affb0  adrp	x8, #0xfffffff007210000
0xfffffff0088c357c: 08413091  add	x8, x8, #0xc10
0xfffffff0088c3580: 892f8052  mov	w9, #0x17c
0xfffffff0088c3584: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c3588: 684affd0  adrp	x8, #0xfffffff007211000
0xfffffff0088c358c: 08450991  add	x8, x8, #0x251
0xfffffff0088c3590: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c3594: 68008052  mov	w8, #3
0xfffffff0088c3598: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c359c: 604affb0  adrp	x0, #0xfffffff007210000
0xfffffff0088c35a0: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c35a4: afcfd397  bl	#0xfffffff007db7460
0xfffffff0088c35a8: 16000014  b	#0xfffffff0088c3600
0xfffffff0088c35ac: 00c3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c35b0: f30300aa  mov	x19, x0
0xfffffff0088c35b4: 74008052  mov	w20, #3
0xfffffff0088c35b8: 60008052  mov	w0, #3
0xfffffff0088c35bc: a5e0fe97  bl	#0xfffffff00887b850
0xfffffff0088c35c0: 684affb0  adrp	x8, #0xfffffff007210000
0xfffffff0088c35c4: 08413091  add	x8, x8, #0xc10
0xfffffff0088c35c8: 892f8052  mov	w9, #0x17c
0xfffffff0088c35cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c35d0: 684affd0  adrp	x8, #0xfffffff007211000
0xfffffff0088c35d4: 08450991  add	x8, x8, #0x251
0xfffffff0088c35d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c35dc: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c35e0: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c35e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c35e8: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c35ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c35f0: a34bfff0  adrp	x3, #0xfffffff00723a000
0xfffffff0088c35f4: 63fc3491  add	x3, x3, #0xd3f
0xfffffff0088c35f8: 02008052  mov	w2, #0
0xfffffff0088c35fc: cdbee997  bl	#0xfffffff008333130
0xfffffff0088c3600: 684affb0  adrp	x8, #0xfffffff007210000
0xfffffff0088c3604: 08cd3091  add	x8, x8, #0xc33
0xfffffff0088c3608: 892f8052  mov	w9, #0x17c
0xfffffff0088c360c: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c3610: 604affb0  adrp	x0, #0xfffffff007210000
0xfffffff0088c3614: 00743091  add	x0, x0, #0xc1d
0xfffffff0088c3618: bd43ef97  bl	#0xfffffff00849450c
0xfffffff0088c361c: 7f2303d5  pacibsp	
0xfffffff0088c3620: ff8300d1  sub	sp, sp, #0x20
0xfffffff0088c3624: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088c3628: fd430091  add	x29, sp, #0x10
0xfffffff0088c362c: c84afff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088c3630: 08053f91  add	x8, x8, #0xfc1
0xfffffff0088c3634: 29158152  mov	w9, #0x8a9
0xfffffff0088c3638: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c363c: c04afff0  adrp	x0, #0xfffffff00721e000
0xfffffff0088c3640: 00b03e91  add	x0, x0, #0xfac
0xfffffff0088c3644: b243ef97  bl	#0xfffffff00849450c
0xfffffff0088c3648: 7f2303d5  pacibsp	
0xfffffff0088c364c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c3650: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c3654: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c3658: fd030191  add	x29, sp, #0x40
0xfffffff0088c365c: 60008052  mov	w0, #3
