; Candidate 8330
; ADRP+ADD at VM 0xfffffff0088a3dc8 (fileoff 0x189fdc8): page=0x1fe946000 add_imm=0xe80

0xfffffff0088a3d48: 1c008052  mov	w28, #0
0xfffffff0088a3d4c: 41000014  b	#0xfffffff0088a3e50
0xfffffff0088a3d50: 17410094  bl	#0xfffffff0088b41ac
0xfffffff0088a3d54: f40300aa  mov	x20, x0
0xfffffff0088a3d58: 80008052  mov	w0, #4
0xfffffff0088a3d5c: bd5eff97  bl	#0xfffffff00887b850
0xfffffff0088a3d60: 680240b9  ldr	w8, [x19]
0xfffffff0088a3d64: f76b08a9  stp	x23, x26, [sp, #0x80]
0xfffffff0088a3d68: e90319aa  mov	x9, x25
0xfffffff0088a3d6c: ea031baa  mov	x10, x27
0xfffffff0088a3d70: ea2707a9  stp	x10, x9, [sp, #0x70]
0xfffffff0088a3d74: e90318aa  mov	x9, x24
0xfffffff0088a3d78: aa035af8  ldur	x10, [x29, #-0x60]
0xfffffff0088a3d7c: ea2706a9  stp	x10, x9, [sp, #0x60]
0xfffffff0088a3d80: e90316aa  mov	x9, x22
0xfffffff0088a3d84: e95705a9  stp	x9, x21, [sp, #0x50]
0xfffffff0088a3d88: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0088a3d8c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088a3d90: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3d94: 08390191  add	x8, x8, #0x4e
0xfffffff0088a3d98: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a3d9c: c8318052  mov	w8, #0x18e
0xfffffff0088a3da0: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3da4: 29a93f91  add	x9, x9, #0xfea
0xfffffff0088a3da8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a3dac: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3db0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3db4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a3db8: 680f8052  mov	w8, #0x7b
0xfffffff0088a3dbc: e34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a3dc0: 63180091  add	x3, x3, #6
0xfffffff0088a3dc4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a3dc8: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3dcc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a3dd0: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a3dd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a3dd8: 02008052  mov	w2, #0
0xfffffff0088a3ddc: d53cea97  bl	#0xfffffff008333130
0xfffffff0088a3de0: 1c7d8012  mov	w28, #-0x3e9
0xfffffff0088a3de4: 20000014  b	#0xfffffff0088a3e64
0xfffffff0088a3de8: f1400094  bl	#0xfffffff0088b41ac
0xfffffff0088a3dec: f40300aa  mov	x20, x0
0xfffffff0088a3df0: 80008052  mov	w0, #4
0xfffffff0088a3df4: 975eff97  bl	#0xfffffff00887b850
0xfffffff0088a3df8: 680240b9  ldr	w8, [x19]
0xfffffff0088a3dfc: e85704a9  stp	x8, x21, [sp, #0x40]
0xfffffff0088a3e00: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3e04: 08390391  add	x8, x8, #0xce
0xfffffff0088a3e08: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a3e0c: 88328052  mov	w8, #0x194
0xfffffff0088a3e10: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3e14: 29a93f91  add	x9, x9, #0xfea
0xfffffff0088a3e18: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a3e1c: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3e20: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3e24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a3e28: 680f8052  mov	w8, #0x7b
0xfffffff0088a3e2c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a3e30: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3e34: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a3e38: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a3e3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a3e40: e34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a3e44: 63740191  add	x3, x3, #0x5d
