; Candidate 12396
; ADRP+ADD at VM 0xfffffff0090999bc (fileoff 0x20959bc): page=0x1fe3c0000 add_imm=0xe24

0xfffffff00909993c: e00316aa  mov	x0, x22
0xfffffff009099940: e10314aa  mov	x1, x20
0xfffffff009099944: 93edff97  bl	#0xfffffff009094f90
0xfffffff009099948: 80090035  cbnz	w0, #0xfffffff009099a78
0xfffffff00909994c: e0630191  add	x0, sp, #0x58
0xfffffff009099950: e1430191  add	x1, sp, #0x50
0xfffffff009099954: e20315aa  mov	x2, x21
0xfffffff009099958: 22350094  bl	#0xfffffff0090a6de0
0xfffffff00909995c: e00a0035  cbnz	w0, #0xfffffff009099ab8
0xfffffff009099960: e12b40f9  ldr	x1, [sp, #0x50]
0xfffffff009099964: e24f40b9  ldr	w2, [sp, #0x4c]
0xfffffff009099968: e31b43a9  ldp	x3, x6, [sp, #0x30]
0xfffffff00909996c: e42f40b9  ldr	w4, [sp, #0x2c]
0xfffffff009099970: e52340f9  ldr	x5, [sp, #0x40]
0xfffffff009099974: e00313aa  mov	x0, x19
0xfffffff009099978: c9390094  bl	#0xfffffff0090a809c
0xfffffff00909997c: f40300aa  mov	x20, x0
0xfffffff009099980: 400a0035  cbnz	w0, #0xfffffff009099ac8
0xfffffff009099984: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff009099988: e12f40b9  ldr	w1, [sp, #0x2c]
0xfffffff00909998c: 86440094  bl	#0xfffffff0090aaba4
0xfffffff009099990: 9f020071  cmp	w20, #0
0xfffffff009099994: c8088052  mov	w8, #0x46
0xfffffff009099998: 49018052  mov	w9, #0xa
0xfffffff00909999c: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090999a0: 29034039  ldrb	w9, [x25]
0xfffffff0090999a4: 1f01096b  cmp	w8, w9
0xfffffff0090999a8: 03010054  b.lo	#0xfffffff0090999c8
0xfffffff0090999ac: e80314aa  mov	x8, x20
0xfffffff0090999b0: 087d4093  sxtw	x8, w8
0xfffffff0090999b4: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090999b8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090999bc: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff0090999c0: 00903891  add	x0, x0, #0xe24
0xfffffff0090999c4: 97f5ca97  bl	#0xfffffff008357020
0xfffffff0090999c8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0090999cc: 8955ff90  adrp	x9, #0xfffffff007b49000
0xfffffff0090999d0: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090999d4: 290140f9  ldr	x9, [x9]
0xfffffff0090999d8: 3f0108eb  cmp	x9, x8
0xfffffff0090999dc: 41090054  b.ne	#0xfffffff009099b04
0xfffffff0090999e0: e00314aa  mov	x0, x20
0xfffffff0090999e4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0090999e8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0090999ec: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0090999f0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0090999f4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0090999f8: ff030391  add	sp, sp, #0xc0
0xfffffff0090999fc: ff0f5fd6  retab	
0xfffffff009099a00: c83d8052  mov	w8, #0x1ee
0xfffffff009099a04: 291efff0  adrp	x9, #0xfffffff007460000
0xfffffff009099a08: 29f11391  add	x9, x9, #0x4fc
0xfffffff009099a0c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009099a10: 081eff90  adrp	x8, #0xfffffff007459000
0xfffffff009099a14: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009099a18: 2a1efff0  adrp	x10, #0xfffffff007460000
0xfffffff009099a1c: 4ad91591  add	x10, x10, #0x576
0xfffffff009099a20: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009099a24: ea0300f9  str	x10, [sp]
0xfffffff009099a28: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff009099a2c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009099a30: 7cf5ca97  bl	#0xfffffff008357020
0xfffffff009099a34: 54008012  mov	w20, #-3
0xfffffff009099a38: d3ffff17  b	#0xfffffff009099984
