; Candidate 12527
; ADRP+ADD at VM 0xfffffff0090aec10 (fileoff 0x20aac10): page=0x1fe3ab000 add_imm=0xe24

0xfffffff0090aeb90: 1f1c0031  cmn	w0, #7
0xfffffff0090aeb94: e1010054  b.ne	#0xfffffff0090aebd0
0xfffffff0090aeb98: e8024039  ldrb	w8, [x23]
0xfffffff0090aeb9c: 1fc90071  cmp	w8, #0x32
0xfffffff0090aeba0: 88020054  b.hi	#0xfffffff0090aebf0
0xfffffff0090aeba4: f65700a9  stp	x22, x21, [sp]
0xfffffff0090aeba8: c01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090aebac: 00900591  add	x0, x0, #0x164
0xfffffff0090aebb0: 0f000014  b	#0xfffffff0090aebec
0xfffffff0090aebb4: e8024039  ldrb	w8, [x23]
0xfffffff0090aebb8: 1fc90071  cmp	w8, #0x32
0xfffffff0090aebbc: a8010054  b.hi	#0xfffffff0090aebf0
0xfffffff0090aebc0: f65700a9  stp	x22, x21, [sp]
0xfffffff0090aebc4: c01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090aebc8: 00c80691  add	x0, x0, #0x1b2
0xfffffff0090aebcc: 08000014  b	#0xfffffff0090aebec
0xfffffff0090aebd0: e8024039  ldrb	w8, [x23]
0xfffffff0090aebd4: 1ff10071  cmp	w8, #0x3c
0xfffffff0090aebd8: c8000054  b.hi	#0xfffffff0090aebf0
0xfffffff0090aebdc: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff0090aebe0: f60300f9  str	x22, [sp]
0xfffffff0090aebe4: c01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090aebe8: 00100691  add	x0, x0, #0x184
0xfffffff0090aebec: 0da1ca97  bl	#0xfffffff008357020
0xfffffff0090aebf0: 13008052  mov	w19, #0
0xfffffff0090aebf4: 48018052  mov	w8, #0xa
0xfffffff0090aebf8: e9024039  ldrb	w9, [x23]
0xfffffff0090aebfc: 1f01096b  cmp	w8, w9
0xfffffff0090aec00: e3000054  b.lo	#0xfffffff0090aec1c
0xfffffff0090aec04: 687e4093  sxtw	x8, w19
0xfffffff0090aec08: f65700a9  stp	x22, x21, [sp]
0xfffffff0090aec0c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090aec10: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aec14: 00903891  add	x0, x0, #0xe24
0xfffffff0090aec18: 02a1ca97  bl	#0xfffffff008357020
0xfffffff0090aec1c: e00313aa  mov	x0, x19
0xfffffff0090aec20: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090aec24: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090aec28: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090aec2c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090aec30: ffc30191  add	sp, sp, #0x70
0xfffffff0090aec34: ff0f5fd6  retab	
0xfffffff0090aec38: a8158052  mov	w8, #0xad
0xfffffff0090aec3c: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090aec40: 29c13891  add	x9, x9, #0xe30
0xfffffff0090aec44: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090aec48: 481dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aec4c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aec50: 8a1dfff0  adrp	x10, #0xfffffff007461000
0xfffffff0090aec54: 4a591291  add	x10, x10, #0x496
0xfffffff0090aec58: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090aec5c: ea0300f9  str	x10, [sp]
0xfffffff0090aec60: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aec64: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090aec68: eea0ca97  bl	#0xfffffff008357020
0xfffffff0090aec6c: 93008012  mov	w19, #-5
0xfffffff0090aec70: c8088052  mov	w8, #0x46
0xfffffff0090aec74: e1ffff17  b	#0xfffffff0090aebf8
0xfffffff0090aec78: 7f2303d5  pacibsp	
0xfffffff0090aec7c: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090aec80: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0090aec84: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0090aec88: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0090aec8c: fd830191  add	x29, sp, #0x60
