; Candidate 5107
; ADRP+ADD at VM 0xfffffff0087d9558 (fileoff 0x17d5558): page=0x1fea10000 add_imm=0xe80

0xfffffff0087d94d8: 03008092  mov	x3, #-1
0xfffffff0087d94dc: 040080d2  mov	x4, #0
0xfffffff0087d94e0: 050080d2  mov	x5, #0
0xfffffff0087d94e4: 8892e697  bl	#0xfffffff00817df04
0xfffffff0087d94e8: 200a8052  mov	w0, #0x51
0xfffffff0087d94ec: 01018052  mov	w1, #8
0xfffffff0087d94f0: b8880294  bl	#0xfffffff00887b7d0
0xfffffff0087d94f4: 20040034  cbz	w0, #0xfffffff0087d9578
0xfffffff0087d94f8: 200a8052  mov	w0, #0x51
0xfffffff0087d94fc: c7880294  bl	#0xfffffff00887b818
0xfffffff0087d9500: f70300aa  mov	x23, x0
0xfffffff0087d9504: 2a6b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9508: f60300aa  mov	x22, x0
0xfffffff0087d950c: 00018052  mov	w0, #8
0xfffffff0087d9510: d0880294  bl	#0xfffffff00887b850
0xfffffff0087d9514: 37010034  cbz	w23, #0xfffffff0087d9538
0xfffffff0087d9518: a80240b9  ldr	w8, [x21]
0xfffffff0087d951c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d9520: 280a8052  mov	w8, #0x51
0xfffffff0087d9524: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d9528: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d952c: 00d00791  add	x0, x0, #0x1f4
0xfffffff0087d9530: cc77d797  bl	#0xfffffff007db7460
0xfffffff0087d9534: 11000014  b	#0xfffffff0087d9578
0xfffffff0087d9538: 1d6b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d953c: f60300aa  mov	x22, x0
0xfffffff0087d9540: 00018052  mov	w0, #8
0xfffffff0087d9544: c3880294  bl	#0xfffffff00887b850
0xfffffff0087d9548: a80240b9  ldr	w8, [x21]
0xfffffff0087d954c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d9550: 280a8052  mov	w8, #0x51
0xfffffff0087d9554: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d9558: 8050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d955c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d9560: 6191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d9564: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d9568: 0353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d956c: 63983191  add	x3, x3, #0xc66
0xfffffff0087d9570: 02008052  mov	w2, #0
0xfffffff0087d9574: ef66ed97  bl	#0xfffffff008333130
0xfffffff0087d9578: 200a8052  mov	w0, #0x51
0xfffffff0087d957c: 01018052  mov	w1, #8
0xfffffff0087d9580: 94880294  bl	#0xfffffff00887b7d0
0xfffffff0087d9584: 20040034  cbz	w0, #0xfffffff0087d9608
0xfffffff0087d9588: 200a8052  mov	w0, #0x51
0xfffffff0087d958c: a3880294  bl	#0xfffffff00887b818
0xfffffff0087d9590: f70300aa  mov	x23, x0
0xfffffff0087d9594: 066b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9598: f60300aa  mov	x22, x0
0xfffffff0087d959c: 00018052  mov	w0, #8
0xfffffff0087d95a0: ac880294  bl	#0xfffffff00887b850
0xfffffff0087d95a4: 37010034  cbz	w23, #0xfffffff0087d95c8
0xfffffff0087d95a8: a80640b9  ldr	w8, [x21, #4]
0xfffffff0087d95ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d95b0: 280a8052  mov	w8, #0x51
0xfffffff0087d95b4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d95b8: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d95bc: 00a80891  add	x0, x0, #0x22a
0xfffffff0087d95c0: a877d797  bl	#0xfffffff007db7460
0xfffffff0087d95c4: 11000014  b	#0xfffffff0087d9608
0xfffffff0087d95c8: f96a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d95cc: f60300aa  mov	x22, x0
0xfffffff0087d95d0: 00018052  mov	w0, #8
0xfffffff0087d95d4: 9f880294  bl	#0xfffffff00887b850
