; Candidate 8016
; ADRP+ADD at VM 0xfffffff00888e47c (fileoff 0x188a47c): page=0x1fe95b000 add_imm=0xe80

0xfffffff00888e3fc: 19a4d497  bl	#0xfffffff007db7460
0xfffffff00888e400: 27000014  b	#0xfffffff00888e49c
0xfffffff00888e404: 6a970094  bl	#0xfffffff0088b41ac
0xfffffff00888e408: f80300aa  mov	x24, x0
0xfffffff00888e40c: e00315aa  mov	x0, x21
0xfffffff00888e410: 10b5ff97  bl	#0xfffffff00887b850
0xfffffff00888e414: e80240f9  ldr	x8, [x23]
0xfffffff00888e418: 69aa5d29  ldp	w9, w10, [x19, #0xec]
0xfffffff00888e41c: 6bb25e29  ldp	w11, w12, [x19, #0xf4]
0xfffffff00888e420: 6dfe40b9  ldr	w13, [x19, #0xfc]
0xfffffff00888e424: ecb703a9  stp	x12, x13, [sp, #0x38]
0xfffffff00888e428: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff00888e42c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888e430: e80314aa  mov	x8, x20
0xfffffff00888e434: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888e438: f80300f9  str	x24, [sp]
0xfffffff00888e43c: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e440: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e444: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e448: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e44c: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e450: 63e00c91  add	x3, x3, #0x338
0xfffffff00888e454: 02008052  mov	w2, #0
0xfffffff00888e458: 3693ea97  bl	#0xfffffff008333130
0xfffffff00888e45c: 10000014  b	#0xfffffff00888e49c
0xfffffff00888e460: e80240f9  ldr	x8, [x23]
0xfffffff00888e464: 69aa5d29  ldp	w9, w10, [x19, #0xec]
0xfffffff00888e468: 6bb25e29  ldp	w11, w12, [x19, #0xf4]
0xfffffff00888e46c: 6dfe40b9  ldr	w13, [x19, #0xfc]
0xfffffff00888e470: ec3702a9  stp	x12, x13, [sp, #0x20]
0xfffffff00888e474: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff00888e478: e82700a9  stp	x8, x9, [sp]
0xfffffff00888e47c: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e480: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e484: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e488: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e48c: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e490: 63900c91  add	x3, x3, #0x324
0xfffffff00888e494: 02008052  mov	w2, #0
0xfffffff00888e498: 2693ea97  bl	#0xfffffff008333130
0xfffffff00888e49c: a0018052  mov	w0, #0xd
0xfffffff00888e4a0: c5920094  bl	#0xfffffff0088b2fb4
0xfffffff00888e4a4: f70300aa  mov	x23, x0
0xfffffff00888e4a8: e00314aa  mov	x0, x20
0xfffffff00888e4ac: e10315aa  mov	x1, x21
0xfffffff00888e4b0: c8b4ff97  bl	#0xfffffff00887b7d0
0xfffffff00888e4b4: e0090034  cbz	w0, #0xfffffff00888e5f0
0xfffffff00888e4b8: e00314aa  mov	x0, x20
0xfffffff00888e4bc: d7b4ff97  bl	#0xfffffff00887b818
0xfffffff00888e4c0: d602f837  tbnz	w22, #0x1f, #0xfffffff00888e518
0xfffffff00888e4c4: d9021b12  and	w25, w22, #0x20
0xfffffff00888e4c8: 1a000052  eor	w26, w0, #1
0xfffffff00888e4cc: 38970094  bl	#0xfffffff0088b41ac
0xfffffff00888e4d0: f80300aa  mov	x24, x0
0xfffffff00888e4d4: e00315aa  mov	x0, x21
0xfffffff00888e4d8: deb4ff97  bl	#0xfffffff00887b850
0xfffffff00888e4dc: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff00888e4e0: a8030037  tbnz	w8, #0, #0xfffffff00888e554
0xfffffff00888e4e4: e80240f9  ldr	x8, [x23]
0xfffffff00888e4e8: 690241b9  ldr	w9, [x19, #0x100]
0xfffffff00888e4ec: 6a0641b9  ldr	w10, [x19, #0x104]
0xfffffff00888e4f0: 6b1241b9  ldr	w11, [x19, #0x110]
0xfffffff00888e4f4: 6c1641b9  ldr	w12, [x19, #0x114]
0xfffffff00888e4f8: eb3303a9  stp	x11, x12, [sp, #0x30]
