; Candidate 4951
; ADRP+ADD at VM 0xfffffff0087cec74 (fileoff 0x17cac74): page=0x1fea1b000 add_imm=0xe80

0xfffffff0087cebf4: 09b30294  bl	#0xfffffff00887b818
0xfffffff0087cebf8: f40300aa  mov	x20, x0
0xfffffff0087cebfc: 6c950394  bl	#0xfffffff0088b41ac
0xfffffff0087cec00: f30300aa  mov	x19, x0
0xfffffff0087cec04: 80008052  mov	w0, #4
0xfffffff0087cec08: 12b30294  bl	#0xfffffff00887b850
0xfffffff0087cec0c: b4170034  cbz	w20, #0xfffffff0087cef00
0xfffffff0087cec10: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087cec14: 08450891  add	x8, x8, #0x211
0xfffffff0087cec18: 09de8052  mov	w9, #0x6f0
0xfffffff0087cec1c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cec20: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cec24: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cec28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cec2c: 68008052  mov	w8, #3
0xfffffff0087cec30: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cec34: 0052ffd0  adrp	x0, #0xfffffff007210000
0xfffffff0087cec38: 00381491  add	x0, x0, #0x50e
0xfffffff0087cec3c: 79f8ff17  b	#0xfffffff0087cce20
0xfffffff0087cec40: 5b950394  bl	#0xfffffff0088b41ac
0xfffffff0087cec44: f30300aa  mov	x19, x0
0xfffffff0087cec48: 80008052  mov	w0, #4
0xfffffff0087cec4c: 01b30294  bl	#0xfffffff00887b850
0xfffffff0087cec50: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087cec54: 08450891  add	x8, x8, #0x211
0xfffffff0087cec58: c9f08052  mov	w9, #0x786
0xfffffff0087cec5c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cec60: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cec64: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cec68: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cec6c: 68008052  mov	w8, #3
0xfffffff0087cec70: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cec74: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cec78: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cec7c: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cec80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cec84: 6353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087cec88: 63601391  add	x3, x3, #0x4d8
0xfffffff0087cec8c: 02008052  mov	w2, #0
0xfffffff0087cec90: 2891ed97  bl	#0xfffffff008333130
0xfffffff0087cec94: 8fffff17  b	#0xfffffff0087cead0
0xfffffff0087cec98: 45950394  bl	#0xfffffff0088b41ac
0xfffffff0087cec9c: f30300aa  mov	x19, x0
0xfffffff0087ceca0: 80008052  mov	w0, #4
0xfffffff0087ceca4: ebb20294  bl	#0xfffffff00887b850
0xfffffff0087ceca8: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087cecac: 08450891  add	x8, x8, #0x211
0xfffffff0087cecb0: 09e78052  mov	w9, #0x738
0xfffffff0087cecb4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cecb8: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cecbc: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cecc0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cecc4: 68008052  mov	w8, #3
0xfffffff0087cecc8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ceccc: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cecd0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cecd4: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cecd8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cecdc: 6353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087cece0: 63100791  add	x3, x3, #0x1c4
0xfffffff0087cece4: 02008052  mov	w2, #0
0xfffffff0087cece8: 1291ed97  bl	#0xfffffff008333130
0xfffffff0087cecec: 79ffff17  b	#0xfffffff0087cead0
0xfffffff0087cecf0: 2f950394  bl	#0xfffffff0088b41ac
