; Candidate 3244
; ADRP+ADD at VM 0xfffffff008724a60 (fileoff 0x1720a60): page=0x1fea0d000 add_imm=0xd90

0xfffffff0087249e0: 4803080b  add	w8, w26, w8
0xfffffff0087249e4: 09000014  b	#0xfffffff008724a08
0xfffffff0087249e8: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff0087249ec: 08050011  add	w8, w8, #1
0xfffffff0087249f0: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff0087249f4: e00314aa  mov	x0, x20
0xfffffff0087249f8: 21008052  mov	w1, #1
0xfffffff0087249fc: 02008052  mov	w2, #0
0xfffffff008724a00: 20daff97  bl	#0xfffffff00871b280
0xfffffff008724a04: 08008052  mov	w8, #0
0xfffffff008724a08: 09050011  add	w9, w8, #1
0xfffffff008724a0c: 2a008052  mov	w10, #1
0xfffffff008724a10: 4801280a  bic	w8, w10, w8
0xfffffff008724a14: ea03084b  neg	w10, w8
0xfffffff008724a18: 4905494a  eor	w9, w10, w9, lsr #1
0xfffffff008724a1c: 2801080b  add	w8, w9, w8
0xfffffff008724a20: 09d08452  mov	w9, #0x2680
0xfffffff008724a24: 2957099b  madd	x9, x25, x9, x21
0xfffffff008724a28: 282900b9  str	w8, [x9, #0x28]
0xfffffff008724a2c: 09350051  sub	w9, w8, #0xd
0xfffffff008724a30: 3f690031  cmn	w9, #0x1a
0xfffffff008724a34: 88020054  b.hi	#0xfffffff008724a84
0xfffffff008724a38: 89018052  mov	w9, #0xc
0xfffffff008724a3c: 6a018012  mov	w10, #-0xc
0xfffffff008724a40: 8b51ffd0  adrp	x11, #0xfffffff007156000
0xfffffff008724a44: 6bcd0791  add	x11, x11, #0x1f3
0xfffffff008724a48: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff008724a4c: eb2301a9  stp	x11, x8, [sp, #0x10]
0xfffffff008724a50: 28928152  mov	w8, #0xc91
0xfffffff008724a54: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724a58: 29550791  add	x9, x9, #0x1d5
0xfffffff008724a5c: e92300a9  stp	x9, x8, [sp]
0xfffffff008724a60: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724a64: 00403691  add	x0, x0, #0xd90
0xfffffff008724a68: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724a6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724a70: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724a74: 637c2891  add	x3, x3, #0xa1f
0xfffffff008724a78: 02008052  mov	w2, #0
0xfffffff008724a7c: ad39f097  bl	#0xfffffff008333130
0xfffffff008724a80: 08020014  b	#0xfffffff0087252a0
0xfffffff008724a84: e00314aa  mov	x0, x20
0xfffffff008724a88: c7fdff97  bl	#0xfffffff0087241a4
0xfffffff008724a8c: 08d08452  mov	w8, #0x2680
0xfffffff008724a90: 2857089b  madd	x8, x25, x8, x21
0xfffffff008724a94: 002d00b9  str	w0, [x8, #0x2c]
0xfffffff008724a98: 08340051  sub	w8, w0, #0xd
0xfffffff008724a9c: 1f690031  cmn	w8, #0x1a
0xfffffff008724aa0: 88020054  b.hi	#0xfffffff008724af0
0xfffffff008724aa4: 88018052  mov	w8, #0xc
0xfffffff008724aa8: 69018012  mov	w9, #-0xc
0xfffffff008724aac: 8a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008724ab0: 4a250891  add	x10, x10, #0x209
0xfffffff008724ab4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008724ab8: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008724abc: 68928152  mov	w8, #0xc93
0xfffffff008724ac0: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724ac4: 29550791  add	x9, x9, #0x1d5
0xfffffff008724ac8: e92300a9  stp	x9, x8, [sp]
0xfffffff008724acc: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724ad0: 00403691  add	x0, x0, #0xd90
0xfffffff008724ad4: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724ad8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724adc: a350ffb0  adrp	x3, #0xfffffff007139000
