; Candidate 2598
; ADRP+ADD at VM 0xfffffff0086d11ac (fileoff 0x16cd1ac): page=0x1ff32b000 add_imm=0xde0

0xfffffff0086d112c: 21000791  add	x1, x1, #0x1c0
0xfffffff0086d1130: f10309aa  mov	x17, x9
0xfffffff0086d1134: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0086d1138: 11093fd7  blraa	x8, x17
0xfffffff0086d113c: e10315aa  mov	x1, x21
0xfffffff0086d1140: ed4af097  bl	#0xfffffff0082e3cf4
0xfffffff0086d1144: 801400b4  cbz	x0, #0xfffffff0086d13d4
0xfffffff0086d1148: f60300aa  mov	x22, x0
0xfffffff0086d114c: 100040f9  ldr	x16, [x0]
0xfffffff0086d1150: f10300aa  mov	x17, x0
0xfffffff0086d1154: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d1158: 301ac1da  autda	x16, x17
0xfffffff0086d115c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0086d1160: e90310aa  mov	x9, x16
0xfffffff0086d1164: f10309aa  mov	x17, x9
0xfffffff0086d1168: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0086d116c: 11093fd7  blraa	x8, x17
0xfffffff0086d1170: 1f0c0072  tst	w0, #0xf
0xfffffff0086d1174: 214f0054  b.ne	#0xfffffff0086d1b58
0xfffffff0086d1178: 73f8df97  bl	#0xfffffff007ecf344
0xfffffff0086d117c: f70300aa  mov	x23, x0
0xfffffff0086d1180: d00240f9  ldr	x16, [x22]
0xfffffff0086d1184: f10316aa  mov	x17, x22
0xfffffff0086d1188: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d118c: 301ac1da  autda	x16, x17
0xfffffff0086d1190: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0086d1194: e90310aa  mov	x9, x16
0xfffffff0086d1198: e00316aa  mov	x0, x22
0xfffffff0086d119c: f10309aa  mov	x17, x9
0xfffffff0086d11a0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0086d11a4: 11093fd7  blraa	x8, x17
0xfffffff0086d11a8: e17e7cd3  ubfiz	x1, x23, #4, #0x20
0xfffffff0086d11ac: 4099fff0  adrp	x0, #0xfffffff0079fc000
0xfffffff0086d11b0: 00803791  add	x0, x0, #0xde0
0xfffffff0086d11b4: 02008052  mov	w2, #0
0xfffffff0086d11b8: 030080d2  mov	x3, #0
0xfffffff0086d11bc: 2556db97  bl	#0xfffffff007da6a50
0xfffffff0086d11c0: 60d600f9  str	x0, [x19, #0x1a8]
0xfffffff0086d11c4: e04c00b4  cbz	x0, #0xfffffff0086d1b60
0xfffffff0086d11c8: f703172a  mov	w23, w23
0xfffffff0086d11cc: e1f27dd3  lsl	x1, x23, #3
0xfffffff0086d11d0: 4099fff0  adrp	x0, #0xfffffff0079fc000
0xfffffff0086d11d4: 00c03891  add	x0, x0, #0xe30
0xfffffff0086d11d8: 02008052  mov	w2, #0
0xfffffff0086d11dc: 030080d2  mov	x3, #0
0xfffffff0086d11e0: 1c56db97  bl	#0xfffffff007da6a50
0xfffffff0086d11e4: 60da00f9  str	x0, [x19, #0x1b0]
0xfffffff0086d11e8: 4099fff0  adrp	x0, #0xfffffff0079fc000
0xfffffff0086d11ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0086d11f0: e10317aa  mov	x1, x23
0xfffffff0086d11f4: 02008052  mov	w2, #0
0xfffffff0086d11f8: 030080d2  mov	x3, #0
0xfffffff0086d11fc: 1556db97  bl	#0xfffffff007da6a50
0xfffffff0086d1200: f80300aa  mov	x24, x0
0xfffffff0086d1204: bf7f3aa9  stp	xzr, xzr, [x29, #-0x60]
0xfffffff0086d1208: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff0086d120c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086d1210: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0086d1214: 0153ff90  adrp	x1, #0xfffffff007131000
0xfffffff0086d1218: 21c81b91  add	x1, x1, #0x6f2
0xfffffff0086d121c: a26301d1  sub	x2, x29, #0x58
0xfffffff0086d1220: 000080d2  mov	x0, #0
0xfffffff0086d1224: 276df697  bl	#0xfffffff00846c6c0
0xfffffff0086d1228: a0835af8  ldur	x0, [x29, #-0x58]
