; Candidate 6106
; ADRP+ADD at VM 0xfffffff008815144 (fileoff 0x1811144): page=0x1fe9d4000 add_imm=0xe80

0xfffffff0088150c4: c3990194  bl	#0xfffffff00887b7d0
0xfffffff0088150c8: e0040034  cbz	w0, #0xfffffff008815164
0xfffffff0088150cc: 800e8052  mov	w0, #0x74
0xfffffff0088150d0: d2990194  bl	#0xfffffff00887b818
0xfffffff0088150d4: f50300aa  mov	x21, x0
0xfffffff0088150d8: 357c0294  bl	#0xfffffff0088b41ac
0xfffffff0088150dc: f40300aa  mov	x20, x0
0xfffffff0088150e0: 00018052  mov	w0, #8
0xfffffff0088150e4: db990194  bl	#0xfffffff00887b850
0xfffffff0088150e8: 95010034  cbz	w21, #0xfffffff008815118
0xfffffff0088150ec: c8b78052  mov	w8, #0x5be
0xfffffff0088150f0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088150f4: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088150f8: 08c51e91  add	x8, x8, #0x7b1
0xfffffff0088150fc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815100: 880e8052  mov	w8, #0x74
0xfffffff008815104: f42300a9  stp	x20, x8, [sp]
0xfffffff008815108: 4050ffb0  adrp	x0, #0xfffffff00721e000
0xfffffff00881510c: 00401e91  add	x0, x0, #0x790
0xfffffff008815110: d488d697  bl	#0xfffffff007db7460
0xfffffff008815114: 14000014  b	#0xfffffff008815164
0xfffffff008815118: 257c0294  bl	#0xfffffff0088b41ac
0xfffffff00881511c: f40300aa  mov	x20, x0
0xfffffff008815120: 00018052  mov	w0, #8
0xfffffff008815124: cb990194  bl	#0xfffffff00887b850
0xfffffff008815128: c8b78052  mov	w8, #0x5be
0xfffffff00881512c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008815130: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815134: 08c51e91  add	x8, x8, #0x7b1
0xfffffff008815138: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881513c: 880e8052  mov	w8, #0x74
0xfffffff008815140: f42300a9  stp	x20, x8, [sp]
0xfffffff008815144: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815148: 00003a91  add	x0, x0, #0xe80
0xfffffff00881514c: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815150: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008815154: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815158: 63901491  add	x3, x3, #0x524
0xfffffff00881515c: 02008052  mov	w2, #0
0xfffffff008815160: f477ec97  bl	#0xfffffff008333130
0xfffffff008815164: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff008815168: c90240b9  ldr	w9, [x22]
0xfffffff00881516c: 3f090071  cmp	w9, #2
0xfffffff008815170: eb000054  b.lt	#0xfffffff00881518c
0xfffffff008815174: e9424439  ldrb	w9, [x23, #0x110]
0xfffffff008815178: a9000034  cbz	w9, #0xfffffff00881518c
0xfffffff00881517c: e90e41b9  ldr	w9, [x23, #0x10c]
0xfffffff008815180: 3f0d0071  cmp	w9, #3
0xfffffff008815184: 41000054  b.ne	#0xfffffff00881518c
0xfffffff008815188: 1f330039  strb	wzr, [x24, #0xc]
0xfffffff00881518c: 080140b9  ldr	w8, [x8]
0xfffffff008815190: 1f0d0071  cmp	w8, #3
0xfffffff008815194: 01020054  b.ne	#0xfffffff0088151d4
0xfffffff008815198: 28008052  mov	w8, #1
0xfffffff00881519c: 08131a39  strb	w8, [x24, #0x684]
0xfffffff0088151a0: 688e4491  add	x8, x19, #0x123, lsl #12
0xfffffff0088151a4: 08691f91  add	x8, x8, #0x7da
0xfffffff0088151a8: 1f010039  strb	wzr, [x8]
0xfffffff0088151ac: 68964491  add	x8, x19, #0x125, lsl #12
0xfffffff0088151b0: 08f93591  add	x8, x8, #0xd7e
0xfffffff0088151b4: 1f010039  strb	wzr, [x8]
0xfffffff0088151b8: 1f030039  strb	wzr, [x24]
0xfffffff0088151bc: 1f0b0039  strb	wzr, [x24, #2]
0xfffffff0088151c0: 1fb30078  sturh	wzr, [x24, #0xb]
