; Candidate 13002
; ADRP+ADD at VM 0xfffffff0091b1010 (fileoff 0x21ad010): page=0x1165000 add_imm=0xe40

0xfffffff0091b0f90: 03098052  mov	w3, #0x48
0xfffffff0091b0f94: e9cac497  bl	#0xfffffff0082e3b38
0xfffffff0091b0f98: 304effd0  adrp	x16, #0xfffffff007b76000
0xfffffff0091b0f9c: 10820691  add	x16, x16, #0x1a0
0xfffffff0091b0fa0: 10420091  add	x16, x16, #0x10
0xfffffff0091b0fa4: f10300aa  mov	x17, x0
0xfffffff0091b0fa8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b0fac: 300ac1da  pacda	x16, x17
0xfffffff0091b0fb0: 100000f9  str	x16, [x0]
0xfffffff0091b0fb4: 208b00d0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b0fb8: 00a03991  add	x0, x0, #0xe68
0xfffffff0091b0fbc: 2117fff0  adrp	x1, #0xfffffff007497000
0xfffffff0091b0fc0: 21482291  add	x1, x1, #0x892
0xfffffff0091b0fc4: c24dfff0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091b0fc8: 429440f9  ldr	x2, [x2, #0x128]
0xfffffff0091b0fcc: 034f8052  mov	w3, #0x278
0xfffffff0091b0fd0: dacac497  bl	#0xfffffff0082e3b38
0xfffffff0091b0fd4: 304effd0  adrp	x16, #0xfffffff007b76000
0xfffffff0091b0fd8: 10c22691  add	x16, x16, #0x9b0
0xfffffff0091b0fdc: 10420091  add	x16, x16, #0x10
0xfffffff0091b0fe0: f10300aa  mov	x17, x0
0xfffffff0091b0fe4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b0fe8: 300ac1da  pacda	x16, x17
0xfffffff0091b0fec: 100000f9  str	x16, [x0]
0xfffffff0091b0ff0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091b0ff4: ff0f5fd6  retab	
0xfffffff0091b0ff8: 7f2303d5  pacibsp	
0xfffffff0091b0ffc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091b1000: fd030091  mov	x29, sp
0xfffffff0091b1004: 208b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b1008: 00a03991  add	x0, x0, #0xe68
0xfffffff0091b100c: bacdc497  bl	#0xfffffff0082e46f4
0xfffffff0091b1010: 208b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b1014: 00003991  add	x0, x0, #0xe40
0xfffffff0091b1018: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091b101c: ff2303d5  autibsp	
0xfffffff0091b1020: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091b1024: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091b102c
0xfffffff0091b1028: 208e38d4  brk	#0xc471
0xfffffff0091b102c: b2cdc417  b	#0xfffffff0082e46f4
0xfffffff0091b1030: 7f2303d5  pacibsp	
0xfffffff0091b1034: ff8300d1  sub	sp, sp, #0x20
0xfffffff0091b1038: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091b103c: fd430091  add	x29, sp, #0x10
0xfffffff0091b1040: ff0700f9  str	xzr, [sp, #8]
0xfffffff0091b1044: a38cb497  bl	#0xfffffff007ed42d0
0xfffffff0091b1048: e1230091  add	x1, sp, #8
0xfffffff0091b104c: fd8db497  bl	#0xfffffff007ed4840
0xfffffff0091b1050: e80740f9  ldr	x8, [sp, #8]
0xfffffff0091b1054: 08fd43d3  lsr	x8, x8, #3
0xfffffff0091b1058: e9f99ed2  mov	x9, #0xf7cf
0xfffffff0091b105c: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff0091b1060: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff0091b1064: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff0091b1068: 087dc99b  umulh	x8, x8, x9
0xfffffff0091b106c: 00fd44d3  lsr	x0, x8, #4
0xfffffff0091b1070: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091b1074: ff830091  add	sp, sp, #0x20
0xfffffff0091b1078: ff0f5fd6  retab	
0xfffffff0091b107c: 7f2303d5  pacibsp	
0xfffffff0091b1080: ff8300d1  sub	sp, sp, #0x20
0xfffffff0091b1084: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091b1088: fd430091  add	x29, sp, #0x10
0xfffffff0091b108c: ff0700f9  str	xzr, [sp, #8]
