; Candidate 3777
; ADRP+ADD at VM 0xfffffff00875ba3c (fileoff 0x1757a3c): page=0x1fe9d6000 add_imm=0xd90

0xfffffff00875b9bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00875b9c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00875b9c4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00875b9c8: ff830191  add	sp, sp, #0x60
0xfffffff00875b9cc: ff0f5fd6  retab	
0xfffffff00875b9d0: 800240f9  ldr	x0, [x20]
0xfffffff00875b9d4: 800400b4  cbz	x0, #0xfffffff00875ba64
0xfffffff00875b9d8: 28008052  mov	w8, #1
0xfffffff00875b9dc: 68320139  strb	w8, [x19, #0x4c]
0xfffffff00875b9e0: 096cfd97  bl	#0xfffffff0086b6a04
0xfffffff00875b9e4: f50300aa  mov	x21, x0
0xfffffff00875b9e8: 1f040071  cmp	w0, #1
0xfffffff00875b9ec: 80010054  b.eq	#0xfffffff00875ba1c
0xfffffff00875b9f0: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875b9f4: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875b9f8: e85700a9  stp	x8, x21, [sp]
0xfffffff00875b9fc: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba00: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba04: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba0c: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba10: 63e83791  add	x3, x3, #0xdfa
0xfffffff00875ba14: 02008052  mov	w2, #0
0xfffffff00875ba18: c65def97  bl	#0xfffffff008333130
0xfffffff00875ba1c: 800240f9  ldr	x0, [x20]
0xfffffff00875ba20: e1730091  add	x1, sp, #0x1c
0xfffffff00875ba24: e20315aa  mov	x2, x21
0xfffffff00875ba28: fc6bfd97  bl	#0xfffffff0086b6a18
0xfffffff00875ba2c: 80030034  cbz	w0, #0xfffffff00875ba9c
0xfffffff00875ba30: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875ba34: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875ba38: e80300f9  str	x8, [sp]
0xfffffff00875ba3c: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba40: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba44: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba4c: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba50: 63003991  add	x3, x3, #0xe40
0xfffffff00875ba54: 02008052  mov	w2, #0
0xfffffff00875ba58: b65def97  bl	#0xfffffff008333130
0xfffffff00875ba5c: 14008052  mov	w20, #0
0xfffffff00875ba60: 87ffff17  b	#0xfffffff00875b87c
0xfffffff00875ba64: 94578052  mov	w20, #0x2bc
0xfffffff00875ba68: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00875ba6c: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875ba70: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875ba74: e80300f9  str	x8, [sp]
0xfffffff00875ba78: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875ba7c: 00403691  add	x0, x0, #0xd90
0xfffffff00875ba80: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875ba84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875ba88: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875ba8c: 633c3791  add	x3, x3, #0xdcf
0xfffffff00875ba90: 02008052  mov	w2, #0
0xfffffff00875ba94: a75def97  bl	#0xfffffff008333130
0xfffffff00875ba98: c7ffff17  b	#0xfffffff00875b9b4
0xfffffff00875ba9c: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00875baa0: 684a00b9  str	w8, [x19, #0x48]
0xfffffff00875baa4: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875baa8: 776bfd97  bl	#0xfffffff0086b6884
0xfffffff00875baac: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875bab0: b06bfd97  bl	#0xfffffff0086b6970
0xfffffff00875bab4: f40300aa  mov	x20, x0
0xfffffff00875bab8: bfffff17  b	#0xfffffff00875b9b4
