; Candidate 3677
; ADRP+ADD at VM 0xfffffff00874db9c (fileoff 0x1749b9c): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874db1c: f60300f9  str	x22, [sp]
0xfffffff00874db20: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874db24: 00403691  add	x0, x0, #0xd90
0xfffffff00874db28: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874db2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874db30: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874db34: 63582191  add	x3, x3, #0x856
0xfffffff00874db38: 02008052  mov	w2, #0
0xfffffff00874db3c: 7d95ef97  bl	#0xfffffff008333130
0xfffffff00874db40: e00315aa  mov	x0, x21
0xfffffff00874db44: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00874db48: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00874db4c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00874db50: ff830291  add	sp, sp, #0xa0
0xfffffff00874db54: ff0f5fd6  retab	
0xfffffff00874db58: 15008052  mov	w21, #0
0xfffffff00874db5c: f9ffff17  b	#0xfffffff00874db40
0xfffffff00874db60: 7f2303d5  pacibsp	
0xfffffff00874db64: ff0301d1  sub	sp, sp, #0x40
0xfffffff00874db68: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00874db6c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00874db70: fdc30091  add	x29, sp, #0x30
0xfffffff00874db74: 091040b9  ldr	w9, [x0, #0x10]
0xfffffff00874db78: 28050011  add	w8, w9, #1
0xfffffff00874db7c: 081000b9  str	w8, [x0, #0x10]
0xfffffff00874db80: 4902f836  tbz	w9, #0x1f, #0xfffffff00874dbc8
0xfffffff00874db84: f30300aa  mov	x19, x0
0xfffffff00874db88: 290840b9  ldr	w9, [x1, #8]
0xfffffff00874db8c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00874db90: 4850fff0  adrp	x8, #0xfffffff007158000
0xfffffff00874db94: 08f92c91  add	x8, x8, #0xb3e
0xfffffff00874db98: e80300f9  str	x8, [sp]
0xfffffff00874db9c: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dba0: 00403691  add	x0, x0, #0xd90
0xfffffff00874dba4: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dba8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dbac: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dbb0: 63842b91  add	x3, x3, #0xae1
0xfffffff00874dbb4: 02008052  mov	w2, #0
0xfffffff00874dbb8: 5e95ef97  bl	#0xfffffff008333130
0xfffffff00874dbbc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00874dbc0: 08050051  sub	w8, w8, #1
0xfffffff00874dbc4: 681200b9  str	w8, [x19, #0x10]
0xfffffff00874dbc8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00874dbcc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00874dbd0: ff030191  add	sp, sp, #0x40
0xfffffff00874dbd4: ff0f5fd6  retab	
0xfffffff00874dbd8: 7f2303d5  pacibsp	
0xfffffff00874dbdc: ff0301d1  sub	sp, sp, #0x40
0xfffffff00874dbe0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00874dbe4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00874dbe8: fdc30091  add	x29, sp, #0x30
0xfffffff00874dbec: f40301aa  mov	x20, x1
0xfffffff00874dbf0: f30300aa  mov	x19, x0
0xfffffff00874dbf4: 000440f9  ldr	x0, [x0, #8]
0xfffffff00874dbf8: 9babff97  bl	#0xfffffff008738a64
0xfffffff00874dbfc: 40010034  cbz	w0, #0xfffffff00874dc24
0xfffffff00874dc00: 600640f9  ldr	x0, [x19, #8]
0xfffffff00874dc04: 810a40b9  ldr	w1, [x20, #8]
0xfffffff00874dc08: a6a7ff97  bl	#0xfffffff008737aa0
0xfffffff00874dc0c: e00313aa  mov	x0, x19
0xfffffff00874dc10: e10314aa  mov	x1, x20
0xfffffff00874dc14: d6030094  bl	#0xfffffff00874eb6c
0xfffffff00874dc18: f30300aa  mov	x19, x0
