; Candidate 750
; ADRP+ADD at VM 0xfffffff0080681b4 (fileoff 0x10641b4): page=0x1ff007000 add_imm=0xd92

0xfffffff008068134: e00314aa  mov	x0, x20
0xfffffff008068138: e10316aa  mov	x1, x22
0xfffffff00806813c: 8a11f597  bl	#0xfffffff007dac764
0xfffffff008068140: ccffff17  b	#0xfffffff008068070
0xfffffff008068144: e00315aa  mov	x0, x21
0xfffffff008068148: e10316aa  mov	x1, x22
0xfffffff00806814c: 8611f597  bl	#0xfffffff007dac764
0xfffffff008068150: ceffff17  b	#0xfffffff008068088
0xfffffff008068154: 3ed7f397  bl	#0xfffffff007d5de4c
0xfffffff008068158: 7f2303d5  pacibsp	
0xfffffff00806815c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008068160: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008068164: fd430091  add	x29, sp, #0x10
0xfffffff008068168: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff00806816c: 083140b9  ldr	w8, [x8, #0x30]
0xfffffff008068170: 1f0d0071  cmp	w8, #3
0xfffffff008068174: 01020054  b.ne	#0xfffffff0080681b4
0xfffffff008068178: f30300aa  mov	x19, x0
0xfffffff00806817c: 084c40b9  ldr	w8, [x0, #0x4c]
0xfffffff008068180: 091d0051  sub	w9, w8, #7
0xfffffff008068184: 3f050071  cmp	w9, #1
0xfffffff008068188: 08010054  b.hi	#0xfffffff0080681a8
0xfffffff00806818c: 1f210071  cmp	w8, #8
0xfffffff008068190: 61000054  b.ne	#0xfffffff00806819c
0xfffffff008068194: e00313aa  mov	x0, x19
0xfffffff008068198: 873d0094  bl	#0xfffffff0080777b4
0xfffffff00806819c: 287dffd0  adrp	x8, #0xfffffff00700e000
0xfffffff0080681a0: 00c544fd  ldr	d0, [x8, #0x988]
0xfffffff0080681a4: 602600fd  str	d0, [x19, #0x48]
0xfffffff0080681a8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0080681ac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0080681b0: ff0f5fd6  retab	
0xfffffff0080681b4: 2080fff0  adrp	x0, #0xfffffff00706f000
0xfffffff0080681b8: 00483691  add	x0, x0, #0xd92
0xfffffff0080681bc: 2180fff0  adrp	x1, #0xfffffff00706f000
0xfffffff0080681c0: 21682c91  add	x1, x1, #0xb1a
0xfffffff0080681c4: 82308152  mov	w2, #0x984
0xfffffff0080681c8: 93dd1094  bl	#0xfffffff00849f814
0xfffffff0080681cc: 7f2303d5  pacibsp	
0xfffffff0080681d0: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff0080681d4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0080681d8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0080681dc: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0080681e0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0080681e4: fd030191  add	x29, sp, #0x40
0xfffffff0080681e8: f30300aa  mov	x19, x0
0xfffffff0080681ec: 161440f9  ldr	x22, [x0, #0x28]
0xfffffff0080681f0: 1f3c00b9  str	wzr, [x0, #0x3c]
0xfffffff0080681f4: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0080681f8: 08200091  add	x8, x0, #8
0xfffffff0080681fc: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff008068200: e20309aa  mov	x2, x9
0xfffffff008068204: 1ffda288  casl	w2, wzr, [x8]
0xfffffff008068208: 5f00096b  cmp	w2, w9
0xfffffff00806820c: 210e0054  b.ne	#0xfffffff0080683d0
0xfffffff008068210: c00e0190  adrp	x0, #0xfffffff00a240000
0xfffffff008068214: 00200f91  add	x0, x0, #0x3c8
0xfffffff008068218: 3c16f597  bl	#0xfffffff007dadb08
0xfffffff00806821c: e80c01b0  adrp	x8, #0xfffffff00a205000
0xfffffff008068220: 15ad43f9  ldr	x21, [x8, #0x758]
0xfffffff008068224: d50a00b4  cbz	x21, #0xfffffff00806837c
0xfffffff008068228: 57008052  mov	w23, #2
0xfffffff00806822c: 080080d2  mov	x8, #0
0xfffffff008068230: b81240f9  ldr	x24, [x21, #0x20]
