; Candidate 7107
; ADRP+ADD at VM 0xfffffff0088580e4 (fileoff 0x18540e4): page=0x1fe991000 add_imm=0xe80

0xfffffff008858064: eba305a9  stp	x11, x8, [sp, #0x58]
0xfffffff008858068: ead704a9  stp	x10, x21, [sp, #0x48]
0xfffffff00885806c: e9db03a9  stp	x9, x22, [sp, #0x38]
0xfffffff008858070: 082b8152  mov	w8, #0x958
0xfffffff008858074: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858078: 29ad3491  add	x9, x9, #0xd2b
0xfffffff00885807c: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008858080: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858084: 08811191  add	x8, x8, #0x460
0xfffffff008858088: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885808c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008858090: 880c8052  mov	w8, #0x64
0xfffffff008858094: 604effd0  adrp	x0, #0xfffffff007226000
0xfffffff008858098: 00a42491  add	x0, x0, #0x929
0xfffffff00885809c: f82300a9  stp	x24, x8, [sp]
0xfffffff0088580a0: f07cd597  bl	#0xfffffff007db7460
0xfffffff0088580a4: 47010014  b	#0xfffffff0088585c0
0xfffffff0088580a8: 41700194  bl	#0xfffffff0088b41ac
0xfffffff0088580ac: f60300aa  mov	x22, x0
0xfffffff0088580b0: 00018052  mov	w0, #8
0xfffffff0088580b4: e78d0094  bl	#0xfffffff00887b850
0xfffffff0088580b8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088580bc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088580c0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088580c4: 684effd0  adrp	x8, #0xfffffff007226000
0xfffffff0088580c8: 09ad3491  add	x9, x8, #0xd2b
0xfffffff0088580cc: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088580d0: 08811191  add	x8, x8, #0x460
0xfffffff0088580d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088580d8: 880c8052  mov	w8, #0x64
0xfffffff0088580dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088580e0: f60300f9  str	x22, [sp]
0xfffffff0088580e4: 804cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088580e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088580ec: 818dff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088580f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088580f4: e34fff90  adrp	x3, #0xfffffff007254000
0xfffffff0088580f8: 63640a91  add	x3, x3, #0x299
0xfffffff0088580fc: 02008052  mov	w2, #0
0xfffffff008858100: 0c6ceb97  bl	#0xfffffff008333130
0xfffffff008858104: 34f3ffb5  cbnz	x20, #0xfffffff008857f68
0xfffffff008858108: 800c8052  mov	w0, #0x64
0xfffffff00885810c: 81008052  mov	w1, #4
0xfffffff008858110: b08d0094  bl	#0xfffffff00887b7d0
0xfffffff008858114: 600b0034  cbz	w0, #0xfffffff008858280
0xfffffff008858118: 800c8052  mov	w0, #0x64
0xfffffff00885811c: bf8d0094  bl	#0xfffffff00887b818
0xfffffff008858120: f70300aa  mov	x23, x0
0xfffffff008858124: 22700194  bl	#0xfffffff0088b41ac
0xfffffff008858128: f60300aa  mov	x22, x0
0xfffffff00885812c: 80008052  mov	w0, #4
0xfffffff008858130: c88d0094  bl	#0xfffffff00887b850
0xfffffff008858134: 17070034  cbz	w23, #0xfffffff008858214
0xfffffff008858138: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885813c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008858140: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858144: 2a0d3591  add	x10, x9, #0xd43
0xfffffff008858148: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885814c: 28228152  mov	w8, #0x911
0xfffffff008858150: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858154: 29ad3491  add	x9, x9, #0xd2b
0xfffffff008858158: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885815c: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858160: 08811191  add	x8, x8, #0x460
