; Candidate 10030
; ADRP+ADD at VM 0xfffffff008c81838 (fileoff 0x1c7d838): page=0x1fe6cb000 add_imm=0xdbc

0xfffffff008c817b8: e0000034  cbz	w0, #0xfffffff008c817d4
0xfffffff008c817bc: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c817c0: e90e4839  ldrb	w9, [x23, #0x203]
0xfffffff008c817c4: e82700a9  stp	x8, x9, [sp]
0xfffffff008c817c8: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c817cc: 00183391  add	x0, x0, #0xcc6
0xfffffff008c817d0: 1456db97  bl	#0xfffffff008357020
0xfffffff008c817d4: e1120891  add	x1, x23, #0x204
0xfffffff008c817d8: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c817dc: 00683491  add	x0, x0, #0xd1a
0xfffffff008c817e0: 22008052  mov	w2, #1
0xfffffff008c817e4: f5addf97  bl	#0xfffffff00846cfb8
0xfffffff008c817e8: e0000034  cbz	w0, #0xfffffff008c81804
0xfffffff008c817ec: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c817f0: e9124839  ldrb	w9, [x23, #0x204]
0xfffffff008c817f4: e82700a9  stp	x8, x9, [sp]
0xfffffff008c817f8: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c817fc: 00c83491  add	x0, x0, #0xd32
0xfffffff008c81800: 0856db97  bl	#0xfffffff008357020
0xfffffff008c81804: 4036ffd0  adrp	x0, #0xfffffff00734b000
0xfffffff008c81808: 00242e91  add	x0, x0, #0xb89
0xfffffff008c8180c: 010080d2  mov	x1, #0
0xfffffff008c81810: 02008052  mov	w2, #0
0xfffffff008c81814: e9addf97  bl	#0xfffffff00846cfb8
0xfffffff008c81818: 00010034  cbz	w0, #0xfffffff008c81838
0xfffffff008c8181c: 28008052  mov	w8, #1
0xfffffff008c81820: e84e0439  strb	w8, [x23, #0x113]
0xfffffff008c81824: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c81828: e80300f9  str	x8, [sp]
0xfffffff008c8182c: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81830: 001c3691  add	x0, x0, #0xd87
0xfffffff008c81834: fb55db97  bl	#0xfffffff008357020
0xfffffff008c81838: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c8183c: 00f03691  add	x0, x0, #0xdbc
0xfffffff008c81840: 010080d2  mov	x1, #0
0xfffffff008c81844: 02008052  mov	w2, #0
0xfffffff008c81848: dcaddf97  bl	#0xfffffff00846cfb8
0xfffffff008c8184c: 00010034  cbz	w0, #0xfffffff008c8186c
0xfffffff008c81850: 28008052  mov	w8, #1
0xfffffff008c81854: e8fa0439  strb	w8, [x23, #0x13e]
0xfffffff008c81858: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c8185c: e80300f9  str	x8, [sp]
0xfffffff008c81860: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81864: 00583791  add	x0, x0, #0xdd6
0xfffffff008c81868: ee55db97  bl	#0xfffffff008357020
0xfffffff008c8186c: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81870: 00983891  add	x0, x0, #0xe26
0xfffffff008c81874: 010080d2  mov	x1, #0
0xfffffff008c81878: 02008052  mov	w2, #0
0xfffffff008c8187c: cfaddf97  bl	#0xfffffff00846cfb8
0xfffffff008c81880: 00010034  cbz	w0, #0xfffffff008c818a0
0xfffffff008c81884: 28008052  mov	w8, #1
0xfffffff008c81888: e86e0539  strb	w8, [x23, #0x15b]
0xfffffff008c8188c: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c81890: e80300f9  str	x8, [sp]
0xfffffff008c81894: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81898: 00e43891  add	x0, x0, #0xe39
0xfffffff008c8189c: e155db97  bl	#0xfffffff008357020
0xfffffff008c818a0: ff3a0439  strb	wzr, [x23, #0x10e]
0xfffffff008c818a4: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c818a8: 00d03991  add	x0, x0, #0xe74
0xfffffff008c818ac: 010080d2  mov	x1, #0
0xfffffff008c818b0: 2f24dc97  bl	#0xfffffff00838a96c
0xfffffff008c818b4: f50300aa  mov	x21, x0
