; Candidate 15477
; ADRP+ADD at VM 0xfffffff009bc3998 (fileoff 0x2bbf998): page=0x1fe12a000 add_imm=0xe78

0xfffffff009bc3918: 10e22391  add	x16, x16, #0x8f8
0xfffffff009bc391c: 10420091  add	x16, x16, #0x10
0xfffffff009bc3920: f10300aa  mov	x17, x0
0xfffffff009bc3924: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc3928: 300ac1da  pacda	x16, x17
0xfffffff009bc392c: 100000f9  str	x16, [x0]
0xfffffff009bc3930: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009bc3934: ff0f5fd6  retab	
0xfffffff009bc3938: 5f2403d5  bti	c
0xfffffff009bc393c: 81019f17  b	#0xfffffff008383f40
0xfffffff009bc3940: 5f2403d5  bti	c
0xfffffff009bc3944: 7f019f17  b	#0xfffffff008383f40
0xfffffff009bc3948: 7f2303d5  pacibsp	
0xfffffff009bc394c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009bc3950: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009bc3954: fd430091  add	x29, sp, #0x10
0xfffffff009bc3958: f30300aa  mov	x19, x0
0xfffffff009bc395c: 79019f97  bl	#0xfffffff008383f40
0xfffffff009bc3960: 4009ffd0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc3964: 00e03991  add	x0, x0, #0xe78
0xfffffff009bc3968: e10313aa  mov	x1, x19
0xfffffff009bc396c: 02128052  mov	w2, #0x90
0xfffffff009bc3970: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009bc3974: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009bc3978: ff2303d5  autibsp	
0xfffffff009bc397c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009bc3980: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009bc3988
0xfffffff009bc3984: 208e38d4  brk	#0xc471
0xfffffff009bc3988: 458f9c17  b	#0xfffffff0082e769c
0xfffffff009bc398c: 5f2403d5  bti	c
0xfffffff009bc3990: e20301aa  mov	x2, x1
0xfffffff009bc3994: e10300aa  mov	x1, x0
0xfffffff009bc3998: 4009ffd0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc399c: 00e03991  add	x0, x0, #0xe78
0xfffffff009bc39a0: 3f8f9c17  b	#0xfffffff0082e769c
0xfffffff009bc39a4: 5f2403d5  bti	c
0xfffffff009bc39a8: a03f00f0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009bc39ac: 00602091  add	x0, x0, #0x818
0xfffffff009bc39b0: c0035fd6  ret	
0xfffffff009bc39b4: 7f2303d5  pacibsp	
0xfffffff009bc39b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009bc39bc: fd030091  mov	x29, sp
0xfffffff009bc39c0: c1d3fef0  adrp	x1, #0xfffffff00763e000
0xfffffff009bc39c4: 21942d91  add	x1, x1, #0xb65
0xfffffff009bc39c8: e208ffb0  adrp	x2, #0xfffffff007ce0000
0xfffffff009bc39cc: 428446f9  ldr	x2, [x2, #0xd08]
0xfffffff009bc39d0: 03128052  mov	w3, #0x90
0xfffffff009bc39d4: 59809c97  bl	#0xfffffff0082e3b38
0xfffffff009bc39d8: 1009ff90  adrp	x16, #0xfffffff007ce3000
0xfffffff009bc39dc: 10623991  add	x16, x16, #0xe58
0xfffffff009bc39e0: 10420091  add	x16, x16, #0x10
0xfffffff009bc39e4: f10300aa  mov	x17, x0
0xfffffff009bc39e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc39ec: 300ac1da  pacda	x16, x17
0xfffffff009bc39f0: 100000f9  str	x16, [x0]
0xfffffff009bc39f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009bc39f8: ff0f5fd6  retab	
0xfffffff009bc39fc: 7f2303d5  pacibsp	
0xfffffff009bc3a00: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009bc3a04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009bc3a08: fd430091  add	x29, sp, #0x10
0xfffffff009bc3a0c: 4009ffd0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc3a10: 00e03991  add	x0, x0, #0xe78
0xfffffff009bc3a14: 01128052  mov	w1, #0x90
