; Candidate 1930
; ADRP+ADD at VM 0xfffffff00853cb58 (fileoff 0x1538b58): page=0x1d99000 add_imm=0xd28

0xfffffff00853cad8: 008c2e91  add	x0, x0, #0xba3
0xfffffff00853cadc: 463eff97  bl	#0xfffffff00850c3f4
0xfffffff00853cae0: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cae4: 00583291  add	x0, x0, #0xc96
0xfffffff00853cae8: 433eff97  bl	#0xfffffff00850c3f4
0xfffffff00853caec: e17f02a9  stp	x1, xzr, [sp, #0x20]
0xfffffff00853caf0: 285dffd0  adrp	x8, #0xfffffff0070e2000
0xfffffff00853caf4: 08590991  add	x8, x8, #0x256
0xfffffff00853caf8: e95cfff0  adrp	x9, #0xfffffff0070db000
0xfffffff00853cafc: 29d13b91  add	x9, x9, #0xef4
0xfffffff00853cb00: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00853cb04: 085dffb0  adrp	x8, #0xfffffff0070dd000
0xfffffff00853cb08: 08dd0891  add	x8, x8, #0x237
0xfffffff00853cb0c: 896e8052  mov	w9, #0x374
0xfffffff00853cb10: e82700a9  stp	x8, x9, [sp]
0xfffffff00853cb14: 005dffb0  adrp	x0, #0xfffffff0070dd000
0xfffffff00853cb18: 008c1091  add	x0, x0, #0x423
0xfffffff00853cb1c: 7c5efd97  bl	#0xfffffff00849450c
0xfffffff00853cb20: 285dffd0  adrp	x8, #0xfffffff0070e2000
0xfffffff00853cb24: 08590991  add	x8, x8, #0x256
0xfffffff00853cb28: e95cfff0  adrp	x9, #0xfffffff0070db000
0xfffffff00853cb2c: 2ad13b91  add	x10, x9, #0xef4
0xfffffff00853cb30: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff00853cb34: 085dffb0  adrp	x8, #0xfffffff0070dd000
0xfffffff00853cb38: 08dd0891  add	x8, x8, #0x237
0xfffffff00853cb3c: 896f8052  mov	w9, #0x37c
0xfffffff00853cb40: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00853cb44: e80300f9  str	x8, [sp]
0xfffffff00853cb48: 005dffb0  adrp	x0, #0xfffffff0070dd000
0xfffffff00853cb4c: 00a01191  add	x0, x0, #0x468
0xfffffff00853cb50: 6f5efd97  bl	#0xfffffff00849450c
0xfffffff00853cb54: 5f2403d5  bti	c
0xfffffff00853cb58: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cb5c: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cb60: c0035fd6  ret	
0xfffffff00853cb64: 7f2303d5  pacibsp	
0xfffffff00853cb68: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853cb6c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853cb70: fd430091  add	x29, sp, #0x10
0xfffffff00853cb74: f30300aa  mov	x19, x0
0xfffffff00853cb78: 8ab54c94  bl	#0xfffffff00986a1a0
0xfffffff00853cb7c: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853cb80: 00003591  add	x0, x0, #0xd40
0xfffffff00853cb84: e10313aa  mov	x1, x19
0xfffffff00853cb88: 02168052  mov	w2, #0xb0
0xfffffff00853cb8c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853cb90: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853cb94: ff2303d5  autibsp	
0xfffffff00853cb98: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853cb9c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853cba4
0xfffffff00853cba0: 208e38d4  brk	#0xc471
0xfffffff00853cba4: beaaf617  b	#0xfffffff0082e769c
0xfffffff00853cba8: 5f2403d5  bti	c
0xfffffff00853cbac: 7db54c14  b	#0xfffffff00986a1a0
0xfffffff00853cbb0: 7f2303d5  pacibsp	
0xfffffff00853cbb4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853cbb8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853cbbc: fd430091  add	x29, sp, #0x10
0xfffffff00853cbc0: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853cbc4: 00003591  add	x0, x0, #0xd40
0xfffffff00853cbc8: 01168052  mov	w1, #0xb0
0xfffffff00853cbcc: 9baaf697  bl	#0xfffffff0082e7638
0xfffffff00853cbd0: f30300aa  mov	x19, x0
0xfffffff00853cbd4: d4ec00b0  adrp	x20, #0xfffffff00a2d5000
