; Candidate 11278
; ADRP+ADD at VM 0xfffffff008edd67c (fileoff 0x1ed967c): page=0x1fe526000 add_imm=0xebb

0xfffffff008edd5fc: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff008edd600: a961ff90  adrp	x9, #0xfffffff007b11000
0xfffffff008edd604: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008edd608: 290140f9  ldr	x9, [x9]
0xfffffff008edd60c: 3f0108eb  cmp	x9, x8
0xfffffff008edd610: 81040054  b.ne	#0xfffffff008edd6a0
0xfffffff008edd614: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008edd618: ff830391  add	sp, sp, #0xe0
0xfffffff008edd61c: ff0f5fd6  retab	
0xfffffff008edd620: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008edd624: e1830191  add	x1, sp, #0x60
0xfffffff008edd628: e2c30091  add	x2, sp, #0x30
0xfffffff008edd62c: 51400094  bl	#0xfffffff008eed770
0xfffffff008edd630: 20010034  cbz	w0, #0xfffffff008edd654
0xfffffff008edd634: 2829ffd0  adrp	x8, #0xfffffff007403000
0xfffffff008edd638: 081d3d91  add	x8, x8, #0xf47
0xfffffff008edd63c: 1fe00071  cmp	w0, #0x38
0xfffffff008edd640: c1010054  b.ne	#0xfffffff008edd678
0xfffffff008edd644: e80300f9  str	x8, [sp]
0xfffffff008edd648: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd64c: 00903d91  add	x0, x0, #0xf64
0xfffffff008edd650: e9ffff17  b	#0xfffffff008edd5f4
0xfffffff008edd654: e08741ad  ldp	q0, q1, [sp, #0x30]
0xfffffff008edd658: e08700ad  stp	q0, q1, [sp, #0x10]
0xfffffff008edd65c: e0430091  add	x0, sp, #0x10
0xfffffff008edd660: 17220094  bl	#0xfffffff008ee5ebc
0xfffffff008edd664: 20010034  cbz	w0, #0xfffffff008edd688
0xfffffff008edd668: e0830191  add	x0, sp, #0x60
0xfffffff008edd66c: 4360cc97  bl	#0xfffffff0081f5778
0xfffffff008edd670: 4460cc97  bl	#0xfffffff0081f5780
0xfffffff008edd674: e2ffff17  b	#0xfffffff008edd5fc
0xfffffff008edd678: e80300a9  stp	x8, x0, [sp]
0xfffffff008edd67c: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd680: 00ec3a91  add	x0, x0, #0xebb
0xfffffff008edd684: dcffff17  b	#0xfffffff008edd5f4
0xfffffff008edd688: 2829ffd0  adrp	x8, #0xfffffff007403000
0xfffffff008edd68c: 081d3d91  add	x8, x8, #0xf47
0xfffffff008edd690: e80300f9  str	x8, [sp]
0xfffffff008edd694: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd698: 00783b91  add	x0, x0, #0xede
0xfffffff008edd69c: d6ffff17  b	#0xfffffff008edd5f4
0xfffffff008edd6a0: eb01ba97  bl	#0xfffffff007d5de4c
0xfffffff008edd6a4: 85840094  bl	#0xfffffff008efe8b8
0xfffffff008edd6a8: 7f2303d5  pacibsp	
0xfffffff008edd6ac: ff0302d1  sub	sp, sp, #0x80
0xfffffff008edd6b0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008edd6b4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008edd6b8: fdc30191  add	x29, sp, #0x70
0xfffffff008edd6bc: f30300aa  mov	x19, x0
0xfffffff008edd6c0: bf831ef8  stur	xzr, [x29, #-0x18]
0xfffffff008edd6c4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008edd6c8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008edd6cc: 2d60cc97  bl	#0xfffffff0081f5780
0xfffffff008edd6d0: 600000b4  cbz	x0, #0xfffffff008edd6dc
0xfffffff008edd6d4: 00008052  mov	w0, #0
0xfffffff008edd6d8: 26000014  b	#0xfffffff008edd770
0xfffffff008edd6dc: bafeff97  bl	#0xfffffff008edd1c4
0xfffffff008edd6e0: 00050035  cbnz	w0, #0xfffffff008edd780
0xfffffff008edd6e4: a06300d1  sub	x0, x29, #0x18
0xfffffff008edd6e8: e2210094  bl	#0xfffffff008ee5e70
0xfffffff008edd6ec: e0000034  cbz	w0, #0xfffffff008edd708
0xfffffff008edd6f0: 2829ffd0  adrp	x8, #0xfffffff007403000
0xfffffff008edd6f4: 08713e91  add	x8, x8, #0xf9c
0xfffffff008edd6f8: e80300a9  stp	x8, x0, [sp]
