; Candidate 13305
; ADRP+ADD at VM 0xfffffff009288954 (fileoff 0x2284954): page=0x10a5000 add_imm=0xe50

0xfffffff0092888d4: f30301aa  mov	x19, x1
0xfffffff0092888d8: 810400b4  cbz	x1, #0xfffffff009288968
0xfffffff0092888dc: f40300aa  mov	x20, x0
0xfffffff0092888e0: 150040b9  ldr	w21, [x0]
0xfffffff0092888e4: bf020071  cmp	w21, #0
0xfffffff0092888e8: e1179f1a  cset	w1, eq
0xfffffff0092888ec: 208500b0  adrp	x0, #0xfffffff00a32d000
0xfffffff0092888f0: 00403991  add	x0, x0, #0xe50
0xfffffff0092888f4: e570ff97  bl	#0xfffffff009264c88
0xfffffff0092888f8: 6848ffd0  adrp	x8, #0xfffffff007b96000
0xfffffff0092888fc: 08f546f9  ldr	x8, [x8, #0xde8]
0xfffffff009288900: 080140b9  ldr	w8, [x8]
0xfffffff009288904: 08011d32  orr	w8, w8, #8
0xfffffff009288908: 1f210071  cmp	w8, #8
0xfffffff00928890c: 40020054  b.eq	#0xfffffff009288954
0xfffffff009288910: bf020071  cmp	w21, #0
0xfffffff009288914: e3079f1a  cset	w3, ne
0xfffffff009288918: a88400f0  adrp	x8, #0xfffffff00a31f000
0xfffffff00928891c: 08a12991  add	x8, x8, #0xa68
0xfffffff009288920: 09414db9  ldr	w9, [x8, #0xd40]
0xfffffff009288924: 3f010071  cmp	w9, #0
0xfffffff009288928: e4079f1a  cset	w4, ne
0xfffffff00928892c: 09854db9  ldr	w9, [x8, #0xd84]
0xfffffff009288930: 3f010071  cmp	w9, #0
0xfffffff009288934: e2079f1a  cset	w2, ne
0xfffffff009288938: 08d94cb9  ldr	w8, [x8, #0xcd8]
0xfffffff00928893c: 1f010071  cmp	w8, #0
0xfffffff009288940: e1079f1a  cset	w1, ne
0xfffffff009288944: 00088052  mov	w0, #0x40
0xfffffff009288948: 2050a672  movk	w0, #0x3281, lsl #16
0xfffffff00928894c: 050080d2  mov	x5, #0
0xfffffff009288950: 6dd5bb97  bl	#0xfffffff00817df04
0xfffffff009288954: 208500b0  adrp	x0, #0xfffffff00a32d000
0xfffffff009288958: 00403991  add	x0, x0, #0xe50
0xfffffff00928895c: 7970ff97  bl	#0xfffffff009264b40
0xfffffff009288960: 880240b9  ldr	w8, [x20]
0xfffffff009288964: 680200b9  str	w8, [x19]
0xfffffff009288968: 7f0200f1  cmp	x19, #0
0xfffffff00928896c: e0079f1a  cset	w0, ne
0xfffffff009288970: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009288974: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009288978: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00928897c: ff0f5fd6  retab	
0xfffffff009288980: 5f2403d5  bti	c
0xfffffff009288984: 200500b4  cbz	x0, #0xfffffff009288a28
0xfffffff009288988: 4000231e  ucvtf	s0, w2
0xfffffff00928898c: 08f0a652  mov	w8, #0x37800000
0xfffffff009288990: 0101271e  fmov	s1, w8
0xfffffff009288994: 0108211e  fmul	s1, s0, s1
0xfffffff009288998: 017821bc  str	s1, [x0, x1, lsl #2]
0xfffffff00928899c: 290400d1  sub	x9, x1, #1
0xfffffff0092889a0: 3f0900f1  cmp	x9, #2
0xfffffff0092889a4: e8010054  b.hi	#0xfffffff0092889e0
0xfffffff0092889a8: 08800091  add	x8, x0, #0x20
0xfffffff0092889ac: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff0092889b0: 007869bc  ldr	s0, [x0, x9, lsl #2]
0xfffffff0092889b4: 0a400091  add	x10, x0, #0x10
0xfffffff0092889b8: 427969bc  ldr	s2, [x10, x9, lsl #2]
0xfffffff0092889bc: 2138201e  fsub	s1, s1, s0
0xfffffff0092889c0: 03e4002f  movi	d3, #0000000000000000
0xfffffff0092889c4: 2820201e  fcmp	s1, #0.0
0xfffffff0092889c8: 8d000054  b.le	#0xfffffff0092889d8
0xfffffff0092889cc: 437961bc  ldr	s3, [x10, x1, lsl #2]
0xfffffff0092889d0: 6338221e  fsub	s3, s3, s2
