; Candidate 2706
; ADRP+ADD at VM 0xfffffff0086e4768 (fileoff 0x16e0768): page=0x1fea4d000 add_imm=0xd90

0xfffffff0086e46e8: eb030caa  mov	x11, x12
0xfffffff0086e46ec: 29050071  subs	w9, w9, #1
0xfffffff0086e46f0: a1feff54  b.ne	#0xfffffff0086e46c4
0xfffffff0086e46f4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e46f8: 290140b9  ldr	w9, [x9]
0xfffffff0086e46fc: 3f011a6a  tst	w9, w26
0xfffffff0086e4700: 80010054  b.eq	#0xfffffff0086e4730
0xfffffff0086e4704: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e4708: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e470c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4710: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4714: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4718: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e471c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e4720: 02008052  mov	w2, #0
0xfffffff0086e4724: 833af197  bl	#0xfffffff008333130
0xfffffff0086e4728: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e472c: 080240b9  ldr	w8, [x16]
0xfffffff0086e4730: b67e1f53  lsr	w22, w21, #0x1f
0xfffffff0086e4734: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e4738: 290200b9  str	w9, [x17]
0xfffffff0086e473c: 08050051  sub	w8, w8, #1
0xfffffff0086e4740: 080200b9  str	w8, [x16]
0xfffffff0086e4744: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4748: 290140b9  ldr	w9, [x9]
0xfffffff0086e474c: 3f011a6a  tst	w9, w26
0xfffffff0086e4750: e0010054  b.eq	#0xfffffff0086e478c
0xfffffff0086e4754: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e4758: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e475c: 08790691  add	x8, x8, #0x19e
0xfffffff0086e4760: 29008052  mov	w9, #1
0xfffffff0086e4764: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e4768: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e476c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4770: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4774: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4778: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e477c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e4780: 02008052  mov	w2, #0
0xfffffff0086e4784: 6b3af197  bl	#0xfffffff008333130
0xfffffff0086e4788: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e478c: d4021f33  bfi	w20, w22, #1, #1
0xfffffff0086e4790: f80313aa  mov	x24, x19
0xfffffff0086e4794: 080f45f8  ldr	x8, [x24, #0x50]!
0xfffffff0086e4798: 14210139  strb	w20, [x8, #0x48]
0xfffffff0086e479c: 9f0e0071  cmp	w20, #3
0xfffffff0086e47a0: e1070054  b.ne	#0xfffffff0086e489c
0xfffffff0086e47a4: 080240b9  ldr	w8, [x16]
0xfffffff0086e47a8: 68000034  cbz	w8, #0xfffffff0086e47b4
0xfffffff0086e47ac: 340240b9  ldr	w20, [x17]
0xfffffff0086e47b0: 20000014  b	#0xfffffff0086e4830
0xfffffff0086e47b4: 14008052  mov	w20, #0
0xfffffff0086e47b8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e47bc: 89008052  mov	w9, #4
0xfffffff0086e47c0: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e47c4: 945e1853  lsl	w20, w20, #8
0xfffffff0086e47c8: 7f010aeb  cmp	x11, x10
0xfffffff0086e47cc: 02010054  b.hs	#0xfffffff0086e47ec
0xfffffff0086e47d0: 08210011  add	w8, w8, #8
0xfffffff0086e47d4: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e47d8: 6c050091  add	x12, x11, #1
0xfffffff0086e47dc: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e47e0: 6b014039  ldrb	w11, [x11]
0xfffffff0086e47e4: 94020b2a  orr	w20, w20, w11
