; Candidate 9188
; ADRP+ADD at VM 0xfffffff008a09b9c (fileoff 0x1a05b9c): page=0x1fe890000 add_imm=0xe40

0xfffffff008a09b1c: 08993691  add	x8, x8, #0xda6
0xfffffff008a09b20: e00300f9  str	x0, [sp]
0xfffffff008a09b24: e00308aa  mov	x0, x8
0xfffffff008a09b28: 3e35e597  bl	#0xfffffff008357020
0xfffffff008a09b2c: b7ffff17  b	#0xfffffff008a09a08
0xfffffff008a09b30: fa0300aa  mov	x26, x0
0xfffffff008a09b34: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a09b38: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a09b3c: e00313aa  mov	x0, x19
0xfffffff008a09b40: 010080d2  mov	x1, #0
0xfffffff008a09b44: f10308aa  mov	x17, x8
0xfffffff008a09b48: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09b4c: 31093fd7  blraa	x9, x17
0xfffffff008a09b50: 700240f9  ldr	x16, [x19]
0xfffffff008a09b54: f10313aa  mov	x17, x19
0xfffffff008a09b58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a09b5c: 301ac1da  autda	x16, x17
0xfffffff008a09b60: 113d80d2  mov	x17, #0x1e8
0xfffffff008a09b64: 1002118b  add	x16, x16, x17
0xfffffff008a09b68: 080240f9  ldr	x8, [x16]
0xfffffff008a09b6c: e90310aa  mov	x9, x16
0xfffffff008a09b70: e00313aa  mov	x0, x19
0xfffffff008a09b74: 010080d2  mov	x1, #0
0xfffffff008a09b78: f10309aa  mov	x17, x9
0xfffffff008a09b7c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09b80: 11093fd7  blraa	x8, x17
0xfffffff008a09b84: f86b03a9  stp	x24, x26, [sp, #0x30]
0xfffffff008a09b88: f65f02a9  stp	x22, x23, [sp, #0x20]
0xfffffff008a09b8c: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff008a09b90: 9944ffb0  adrp	x25, #0xfffffff00729a000
0xfffffff008a09b94: 395b3691  add	x25, x25, #0xd96
0xfffffff008a09b98: e06700a9  stp	x0, x25, [sp]
0xfffffff008a09b9c: 8044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a09ba0: 00003991  add	x0, x0, #0xe40
0xfffffff008a09ba4: 0182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a09ba8: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a09bac: a344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a09bb0: 63bc3491  add	x3, x3, #0xd2f
0xfffffff008a09bb4: 02028052  mov	w2, #0x10
0xfffffff008a09bb8: 5ea5e497  bl	#0xfffffff008333130
0xfffffff008a09bbc: 700240f9  ldr	x16, [x19]
0xfffffff008a09bc0: f10313aa  mov	x17, x19
0xfffffff008a09bc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a09bc8: 301ac1da  autda	x16, x17
0xfffffff008a09bcc: f10310aa  mov	x17, x16
0xfffffff008a09bd0: f147c1da  xpacd	x17
0xfffffff008a09bd4: 1f0211eb  cmp	x16, x17
0xfffffff008a09bd8: 40000054  b.eq	#0xfffffff008a09be0
0xfffffff008a09bdc: 408e38d4  brk	#0xc472
0xfffffff008a09be0: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a09be4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a09be8: e00313aa  mov	x0, x19
0xfffffff008a09bec: 010080d2  mov	x1, #0
0xfffffff008a09bf0: f10308aa  mov	x17, x8
0xfffffff008a09bf4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09bf8: 31093fd7  blraa	x9, x17
0xfffffff008a09bfc: f86b03a9  stp	x24, x26, [sp, #0x30]
0xfffffff008a09c00: f65f02a9  stp	x22, x23, [sp, #0x20]
0xfffffff008a09c04: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff008a09c08: 8844ffb0  adrp	x8, #0xfffffff00729a000
0xfffffff008a09c0c: 08793891  add	x8, x8, #0xe1e
0xfffffff008a09c10: f90700f9  str	x25, [sp, #8]
0xfffffff008a09c14: 79000014  b	#0xfffffff008a09df8
0xfffffff008a09c18: fa0300aa  mov	x26, x0
