; Candidate 16386
; ADRP+ADD at VM 0xfffffff009e80844 (fileoff 0x2e7c844): page=0x1fd9d4000 add_imm=0xe2e

0xfffffff009e807c4: 00601391  add	x0, x0, #0x4d8
0xfffffff009e807c8: 4b579397  bl	#0xfffffff0083564f4
0xfffffff009e807cc: a00800b4  cbz	x0, #0xfffffff009e808e0
0xfffffff009e807d0: f50300aa  mov	x21, x0
0xfffffff009e807d4: a82a0090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e807d8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e807dc: 090b8052  mov	w9, #0x58
0xfffffff009e807e0: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e807e4: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009e807e8: 080000f9  str	x8, [x0]
0xfffffff009e807ec: 080400fd  str	d8, [x0, #8]
0xfffffff009e807f0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e807f4: 008000ad  stp	q0, q0, [x0, #0x10]
0xfffffff009e807f8: 00e0823c  stur	q0, [x0, #0x2e]
0xfffffff009e807fc: 1b7c04a9  stp	x27, xzr, [x0, #0x40]
0xfffffff009e80800: 1f5000b9  str	wzr, [x0, #0x50]
0xfffffff009e80804: e00313aa  mov	x0, x19
0xfffffff009e80808: 21008052  mov	w1, #1
0xfffffff009e8080c: e20315aa  mov	x2, x21
0xfffffff009e80810: e3b10294  bl	#0xfffffff009f2cf9c
0xfffffff009e80814: 00020034  cbz	w0, #0xfffffff009e80854
0xfffffff009e80818: e10315aa  mov	x1, x21
0xfffffff009e8081c: afac0294  bl	#0xfffffff009f2bad8
0xfffffff009e80820: f7060071  subs	w23, w23, #1
0xfffffff009e80824: fb2f40f9  ldr	x27, [sp, #0x58]
0xfffffff009e80828: 81f8ff54  b.ne	#0xfffffff009e80738
0xfffffff009e8082c: 88e48f52  mov	w8, #0x7f24
0xfffffff009e80830: 49cefed0  adrp	x9, #0xfffffff00784a000
0xfffffff009e80834: 29b11c91  add	x9, x9, #0x72c
0xfffffff009e80838: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e8083c: 48018052  mov	w8, #0xa
0xfffffff009e80840: fb2300a9  stp	x27, x8, [sp]
0xfffffff009e80844: a0cefe90  adrp	x0, #0xfffffff007854000
0xfffffff009e80848: 00b83891  add	x0, x0, #0xe2e
0xfffffff009e8084c: 304f9897  bl	#0xfffffff00849450c
0xfffffff009e80850: f50300aa  mov	x21, x0
0xfffffff009e80854: 1b008052  mov	w27, #0
0xfffffff009e80858: b50318f8  stur	x21, [x29, #-0x80]
0xfffffff009e8085c: 2b000014  b	#0xfffffff009e80908
0xfffffff009e80860: fb0300aa  mov	x27, x0
0xfffffff009e80864: e46f01a9  stp	x4, x27, [sp, #0x10]
0xfffffff009e80868: a8cefeb0  adrp	x8, #0xfffffff007855000
0xfffffff009e8086c: 08410291  add	x8, x8, #0x90
0xfffffff009e80870: 49eb8f52  mov	w9, #0x7f5a
0xfffffff009e80874: e82700a9  stp	x8, x9, [sp]
0xfffffff009e80878: a0cefeb0  adrp	x0, #0xfffffff007855000
0xfffffff009e8087c: 00ac0191  add	x0, x0, #0x6b
0xfffffff009e80880: f0fbff97  bl	#0xfffffff009e7f840
0xfffffff009e80884: 21000014  b	#0xfffffff009e80908
0xfffffff009e80888: fb0300aa  mov	x27, x0
0xfffffff009e8088c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009e80890: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff009e80894: a8cefeb0  adrp	x8, #0xfffffff007855000
0xfffffff009e80898: 08410291  add	x8, x8, #0x90
0xfffffff009e8089c: 29ec8f52  mov	w9, #0x7f61
0xfffffff009e808a0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e808a4: a0cefeb0  adrp	x0, #0xfffffff007855000
0xfffffff009e808a8: 00a80291  add	x0, x0, #0xaa
0xfffffff009e808ac: e5fbff97  bl	#0xfffffff009e7f840
0xfffffff009e808b0: f74f40b9  ldr	w23, [sp, #0x4c]
0xfffffff009e808b4: d50200b4  cbz	x21, #0xfffffff009e8090c
0xfffffff009e808b8: e8228092  mov	x8, #-0x118
0xfffffff009e808bc: a92a0090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e808c0: 29212a91  add	x9, x9, #0xa88
