; Candidate 3841
; ADRP+ADD at VM 0xfffffff00876a55c (fileoff 0x176655c): page=0x1fe9c7000 add_imm=0xd90

0xfffffff00876a4dc: 613a40b9  ldr	w1, [x19, #0x38]
0xfffffff00876a4e0: e00313aa  mov	x0, x19
0xfffffff00876a4e4: 02018052  mov	w2, #8
0xfffffff00876a4e8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00876a4ec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00876a4f0: ff2303d5  autibsp	
0xfffffff00876a4f4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00876a4f8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00876a500
0xfffffff00876a4fc: 208e38d4  brk	#0xc471
0xfffffff00876a500: ad210014  b	#0xfffffff008772bb4
0xfffffff00876a504: 7f2303d5  pacibsp	
0xfffffff00876a508: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00876a50c: fd030091  mov	x29, sp
0xfffffff00876a510: 3f000071  cmp	w1, #0
0xfffffff00876a514: 080a8052  mov	w8, #0x50
0xfffffff00876a518: 89088052  mov	w9, #0x44
0xfffffff00876a51c: 2801889a  csel	x8, x9, x8, eq
0xfffffff00876a520: 016868b8  ldr	w1, [x0, x8]
0xfffffff00876a524: 57220094  bl	#0xfffffff008772e80
0xfffffff00876a528: 00401053  ubfx	w0, w0, #0x10, #1
0xfffffff00876a52c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00876a530: ff0f5fd6  retab	
0xfffffff00876a534: 5f2403d5  bti	c
0xfffffff00876a538: 20008052  mov	w0, #1
0xfffffff00876a53c: c0035fd6  ret	
0xfffffff00876a540: 7f2303d5  pacibsp	
0xfffffff00876a544: ff8300d1  sub	sp, sp, #0x20
0xfffffff00876a548: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00876a54c: fd430091  add	x29, sp, #0x10
0xfffffff00876a550: 684ffff0  adrp	x8, #0xfffffff007159000
0xfffffff00876a554: 08613c91  add	x8, x8, #0xf18
0xfffffff00876a558: e80300f9  str	x8, [sp]
0xfffffff00876a55c: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876a560: 00403691  add	x0, x0, #0xd90
0xfffffff00876a564: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876a568: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876a56c: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876a570: 633c2c91  add	x3, x3, #0xb0f
0xfffffff00876a574: 02008052  mov	w2, #0
0xfffffff00876a578: ee22ef97  bl	#0xfffffff008333130
0xfffffff00876a57c: 000080d2  mov	x0, #0
0xfffffff00876a580: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00876a584: ff830091  add	sp, sp, #0x20
0xfffffff00876a588: ff0f5fd6  retab	
0xfffffff00876a58c: 7f2303d5  pacibsp	
0xfffffff00876a590: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00876a594: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00876a598: fd430091  add	x29, sp, #0x10
0xfffffff00876a59c: f30300aa  mov	x19, x0
0xfffffff00876a5a0: 1f5000b9  str	wzr, [x0, #0x50]
0xfffffff00876a5a4: 1f2c00f9  str	xzr, [x0, #0x58]
0xfffffff00876a5a8: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff00876a5ac: 1fc01679  strh	wzr, [x0, #0xb60]
0xfffffff00876a5b0: 1f0406f8  str	xzr, [x0], #0x60
0xfffffff00876a5b4: e8e702b2  mov	x8, #-0x3333333333333334
0xfffffff00876a5b8: a89999f2  movk	x8, #0xcccd
0xfffffff00876a5bc: 88fde7f2  movk	x8, #0x3fec, lsl #48
0xfffffff00876a5c0: 68b605f9  str	x8, [x19, #0xb68]
0xfffffff00876a5c4: 01608152  mov	w1, #0xb00
0xfffffff00876a5c8: 5e89d797  bl	#0xfffffff007d4cb40
0xfffffff00876a5cc: 7f2600f9  str	xzr, [x19, #0x48]
0xfffffff00876a5d0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00876a5d4: 6082833c  stur	q0, [x19, #0x38]
0xfffffff00876a5d8: 6082823c  stur	q0, [x19, #0x28]
