; Candidate 16836
; ADRP+ADD at VM 0xfffffff009f80b68 (fileoff 0x2f7cb68): page=0x454000 add_imm=0xd98

0xfffffff009f80ae8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f80aec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f80af0: fd430091  add	x29, sp, #0x10
0xfffffff009f80af4: 20eefe90  adrp	x0, #0xfffffff007d44000
0xfffffff009f80af8: 00600e91  add	x0, x0, #0x398
0xfffffff009f80afc: 011c8052  mov	w1, #0xe0
0xfffffff009f80b00: ce9a8d97  bl	#0xfffffff0082e7638
0xfffffff009f80b04: f30300aa  mov	x19, x0
0xfffffff009f80b08: b4220090  adrp	x20, #0xfffffff00a3d4000
0xfffffff009f80b0c: 94623691  add	x20, x20, #0xd98
0xfffffff009f80b10: e10314aa  mov	x1, x20
0xfffffff009f80b14: 04fe9197  bl	#0xfffffff008400324
0xfffffff009f80b18: 10eefeb0  adrp	x16, #0xfffffff007d41000
0xfffffff009f80b1c: 10222091  add	x16, x16, #0x808
0xfffffff009f80b20: 10420091  add	x16, x16, #0x10
0xfffffff009f80b24: f10300aa  mov	x17, x0
0xfffffff009f80b28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f80b2c: 300ac1da  pacda	x16, x17
0xfffffff009f80b30: 100000f9  str	x16, [x0]
0xfffffff009f80b34: e00314aa  mov	x0, x20
0xfffffff009f80b38: 7f918d97  bl	#0xfffffff0082e5134
0xfffffff009f80b3c: e00313aa  mov	x0, x19
0xfffffff009f80b40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f80b44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f80b48: ff0f5fd6  retab	
0xfffffff009f80b4c: 5f2403d5  bti	c
0xfffffff009f80b50: e98e8d17  b	#0xfffffff0082e46f4
0xfffffff009f80b54: 5f2403d5  bti	c
0xfffffff009f80b58: e78e8d17  b	#0xfffffff0082e46f4
0xfffffff009f80b5c: 7f2303d5  pacibsp	
0xfffffff009f80b60: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f80b64: fd030091  mov	x29, sp
0xfffffff009f80b68: a0220090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f80b6c: 00603691  add	x0, x0, #0xd98
0xfffffff009f80b70: 41c7fe90  adrp	x1, #0xfffffff007868000
0xfffffff009f80b74: 217c3191  add	x1, x1, #0xc5f
0xfffffff009f80b78: a2220090  adrp	x2, #0xfffffff00a3d4000
0xfffffff009f80b7c: 42003791  add	x2, x2, #0xdc0
0xfffffff009f80b80: 031c8052  mov	w3, #0xe0
0xfffffff009f80b84: ed8b8d97  bl	#0xfffffff0082e3b38
0xfffffff009f80b88: 10eefeb0  adrp	x16, #0xfffffff007d41000
0xfffffff009f80b8c: 10623891  add	x16, x16, #0xe18
0xfffffff009f80b90: 10420091  add	x16, x16, #0x10
0xfffffff009f80b94: f10300aa  mov	x17, x0
0xfffffff009f80b98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f80b9c: 300ac1da  pacda	x16, x17
0xfffffff009f80ba0: 100000f9  str	x16, [x0]
0xfffffff009f80ba4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009f80ba8: ff0f5fd6  retab	
0xfffffff009f80bac: 5f2403d5  bti	c
0xfffffff009f80bb0: a0220090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f80bb4: 00603691  add	x0, x0, #0xd98
0xfffffff009f80bb8: cf8e8d17  b	#0xfffffff0082e46f4
0xfffffff009f80bbc: 7f2303d5  pacibsp	
0xfffffff009f80bc0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f80bc4: fd030091  mov	x29, sp
0xfffffff009f80bc8: 41c7fe90  adrp	x1, #0xfffffff007868000
0xfffffff009f80bcc: 217c3191  add	x1, x1, #0xc5f
0xfffffff009f80bd0: a2220090  adrp	x2, #0xfffffff00a3d4000
0xfffffff009f80bd4: 42003791  add	x2, x2, #0xdc0
0xfffffff009f80bd8: 031c8052  mov	w3, #0xe0
0xfffffff009f80bdc: d78b8d97  bl	#0xfffffff0082e3b38
0xfffffff009f80be0: 10eefeb0  adrp	x16, #0xfffffff007d41000
0xfffffff009f80be4: 10623891  add	x16, x16, #0xe18
