; Candidate 4515
; ADRP+ADD at VM 0xfffffff0087b8200 (fileoff 0x17b4200): page=0x1fe979000 add_imm=0xd90

0xfffffff0087b8180: 084940b9  ldr	w8, [x8, #0x48]
0xfffffff0087b8184: 2a1d42b9  ldr	w10, [x9, #0x21c]
0xfffffff0087b8188: 087d0653  lsr	w8, w8, #6
0xfffffff0087b818c: 0a311e33  bfi	w10, w8, #2, #0xd
0xfffffff0087b8190: 2a1d02b9  str	w10, [x9, #0x21c]
0xfffffff0087b8194: 0d000014  b	#0xfffffff0087b81c8
0xfffffff0087b8198: a84cfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087b819c: 08bd1991  add	x8, x8, #0x66f
0xfffffff0087b81a0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087b81a4: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b81a8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b81ac: 2192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b81b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b81b4: a34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b81b8: 63902491  add	x3, x3, #0x924
0xfffffff0087b81bc: 02008052  mov	w2, #0
0xfffffff0087b81c0: dcebed97  bl	#0xfffffff008333130
0xfffffff0087b81c4: 00008012  mov	w0, #-1
0xfffffff0087b81c8: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0087b81cc: 2992ffb0  adrp	x9, #0xfffffff0079fd000
0xfffffff0087b81d0: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0087b81d4: 290140f9  ldr	x9, [x9]
0xfffffff0087b81d8: 3f0108eb  cmp	x9, x8
0xfffffff0087b81dc: e1040054  b.ne	#0xfffffff0087b8278
0xfffffff0087b81e0: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff0087b81e4: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff0087b81e8: f65756a9  ldp	x22, x21, [sp, #0x160]
0xfffffff0087b81ec: f85f55a9  ldp	x24, x23, [sp, #0x150]
0xfffffff0087b81f0: fa6754a9  ldp	x26, x25, [sp, #0x140]
0xfffffff0087b81f4: fc6f53a9  ldp	x28, x27, [sp, #0x130]
0xfffffff0087b81f8: ff430691  add	sp, sp, #0x190
0xfffffff0087b81fc: ff0f5fd6  retab	
0xfffffff0087b8200: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b8204: 00403691  add	x0, x0, #0xd90
0xfffffff0087b8208: 2192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b820c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b8210: a34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b8214: 63c42391  add	x3, x3, #0x8f1
0xfffffff0087b8218: 02008052  mov	w2, #0
0xfffffff0087b821c: c5ebed97  bl	#0xfffffff008333130
0xfffffff0087b8220: e9ffff17  b	#0xfffffff0087b81c4
0xfffffff0087b8224: 48ab4079  ldrh	w8, [x26, #0x54]
0xfffffff0087b8228: 49a34079  ldrh	w9, [x26, #0x50]
0xfffffff0087b822c: 0801094b  sub	w8, w8, w9
0xfffffff0087b8230: 01050011  add	w1, w8, #1
0xfffffff0087b8234: 08168152  mov	w8, #0x8b0
0xfffffff0087b8238: 0846089b  madd	x8, x16, x8, x17
0xfffffff0087b823c: 02194039  ldrb	w2, [x8, #6]
0xfffffff0087b8240: 031d4039  ldrb	w3, [x8, #7]
0xfffffff0087b8244: 04a548b9  ldr	w4, [x8, #0x8a4]
0xfffffff0087b8248: e00313aa  mov	x0, x19
0xfffffff0087b824c: 0c000094  bl	#0xfffffff0087b827c
0xfffffff0087b8250: a0fbff35  cbnz	w0, #0xfffffff0087b81c4
0xfffffff0087b8254: 68f26eb9  ldr	w8, [x19, #0x2ef0]
0xfffffff0087b8258: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087b825c: 2a1942b9  ldr	w10, [x9, #0x218]
0xfffffff0087b8260: 087d0653  lsr	w8, w8, #6
0xfffffff0087b8264: 0a2d1e33  bfi	w10, w8, #2, #0xc
0xfffffff0087b8268: 2a1902b9  str	w10, [x9, #0x218]
0xfffffff0087b826c: 68f66eb9  ldr	w8, [x19, #0x2ef4]
0xfffffff0087b8270: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087b8274: c4ffff17  b	#0xfffffff0087b8184
0xfffffff0087b8278: f596d697  bl	#0xfffffff007d5de4c
0xfffffff0087b827c: 7f2303d5  pacibsp	
