; Candidate 16353
; ADRP+ADD at VM 0xfffffff009e6cce8 (fileoff 0x2e68ce8): page=0x1fd9c3000 add_imm=0xd5f

0xfffffff009e6cc68: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e6cc6c: ffc30091  add	sp, sp, #0x30
0xfffffff009e6cc70: ff0f5fd6  retab	
0xfffffff009e6cc74: 7f2303d5  pacibsp	
0xfffffff009e6cc78: ff0302d1  sub	sp, sp, #0x80
0xfffffff009e6cc7c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009e6cc80: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009e6cc84: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009e6cc88: fdc30191  add	x29, sp, #0x70
0xfffffff009e6cc8c: 481840f9  ldr	x8, [x2, #0x30]
0xfffffff009e6cc90: 137040f9  ldr	x19, [x0, #0xe0]
0xfffffff009e6cc94: 150140b9  ldr	w21, [x8]
0xfffffff009e6cc98: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff009e6cc9c: 14cefef0  adrp	x20, #0xfffffff00782f000
0xfffffff009e6cca0: 941a3c91  add	x20, x20, #0xf06
0xfffffff009e6cca4: e86c8252  mov	w8, #0x1367
0xfffffff009e6cca8: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff009e6ccac: f40300f9  str	x20, [sp]
0xfffffff009e6ccb0: 00cefef0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6ccb4: 00a83b91  add	x0, x0, #0xeea
0xfffffff009e6ccb8: e24a0094  bl	#0xfffffff009e7f840
0xfffffff009e6ccbc: f5007837  tbnz	w21, #0xf, #0xfffffff009e6ccd8
0xfffffff009e6ccc0: a86d8252  mov	w8, #0x136d
0xfffffff009e6ccc4: f42300a9  stp	x20, x8, [sp]
0xfffffff009e6ccc8: 00cefef0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6cccc: 00843691  add	x0, x0, #0xda1
0xfffffff009e6ccd0: dc4a0094  bl	#0xfffffff009e7f840
0xfffffff009e6ccd4: 08000014  b	#0xfffffff009e6ccf4
0xfffffff009e6ccd8: b57a1012  and	w21, w21, #0xffff7fff
0xfffffff009e6ccdc: 686d8252  mov	w8, #0x136b
0xfffffff009e6cce0: f42300a9  stp	x20, x8, [sp]
0xfffffff009e6cce4: f50b00f9  str	x21, [sp, #0x10]
0xfffffff009e6cce8: 00cefef0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6ccec: 007c3591  add	x0, x0, #0xd5f
0xfffffff009e6ccf0: d44a0094  bl	#0xfffffff009e7f840
0xfffffff009e6ccf4: bf0a0071  cmp	w21, #2
0xfffffff009e6ccf8: 83000054  b.lo	#0xfffffff009e6cd08
0xfffffff009e6ccfc: c8029852  mov	w8, #0xc016
0xfffffff009e6cd00: e82f00b9  str	w8, [sp, #0x2c]
0xfffffff009e6cd04: 74000014  b	#0xfffffff009e6ced4
0xfffffff009e6cd08: a1cdfed0  adrp	x1, #0xfffffff007822000
0xfffffff009e6cd0c: 21601a91  add	x1, x1, #0x698
0xfffffff009e6cd10: e4b30091  add	x4, sp, #0x2c
0xfffffff009e6cd14: e00313aa  mov	x0, x19
0xfffffff009e6cd18: 22008052  mov	w2, #1
0xfffffff009e6cd1c: 03008052  mov	w3, #0
0xfffffff009e6cd20: d1dbff97  bl	#0xfffffff009e63c64
0xfffffff009e6cd24: 800d00b4  cbz	x0, #0xfffffff009e6ced4
0xfffffff009e6cd28: f30300aa  mov	x19, x0
0xfffffff009e6cd2c: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009e6cd30: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e6cd34: e1c30091  add	x1, sp, #0x30
0xfffffff009e6cd38: 6b6a0394  bl	#0xfffffff009f476e4
0xfffffff009e6cd3c: a0010034  cbz	w0, #0xfffffff009e6cd70
0xfffffff009e6cd40: f40300aa  mov	x20, x0
0xfffffff009e6cd44: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009e6cd48: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e6cd4c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e6cd50: 88cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e6cd54: 08dd0b91  add	x8, x8, #0x2f7
0xfffffff009e6cd58: 69a38252  mov	w9, #0x151b
0xfffffff009e6cd5c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e6cd60: 80cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e6cd64: 00740a91  add	x0, x0, #0x29d
