; Candidate 6915
; ADRP+ADD at VM 0xfffffff008849a88 (fileoff 0x1845a88): page=0x1fe9a0000 add_imm=0xe80

0xfffffff008849a08: c1008052  mov	w1, #6
0xfffffff008849a0c: 71c70094  bl	#0xfffffff00887b7d0
0xfffffff008849a10: c0040034  cbz	w0, #0xfffffff008849aa8
0xfffffff008849a14: 20098052  mov	w0, #0x49
0xfffffff008849a18: 80c70094  bl	#0xfffffff00887b818
0xfffffff008849a1c: f60300aa  mov	x22, x0
0xfffffff008849a20: e3a90194  bl	#0xfffffff0088b41ac
0xfffffff008849a24: f50300aa  mov	x21, x0
0xfffffff008849a28: c0008052  mov	w0, #6
0xfffffff008849a2c: 89c70094  bl	#0xfffffff00887b850
0xfffffff008849a30: 76010034  cbz	w22, #0xfffffff008849a5c
0xfffffff008849a34: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008849a38: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849a3c: 08751a91  add	x8, x8, #0x69d
0xfffffff008849a40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849a44: 28098052  mov	w8, #0x49
0xfffffff008849a48: f52300a9  stp	x21, x8, [sp]
0xfffffff008849a4c: 604eff90  adrp	x0, #0xfffffff007215000
0xfffffff008849a50: 00a81591  add	x0, x0, #0x56a
0xfffffff008849a54: 83b6d597  bl	#0xfffffff007db7460
0xfffffff008849a58: 14000014  b	#0xfffffff008849aa8
0xfffffff008849a5c: d4a90194  bl	#0xfffffff0088b41ac
0xfffffff008849a60: f50300aa  mov	x21, x0
0xfffffff008849a64: c0008052  mov	w0, #6
0xfffffff008849a68: 7ac70094  bl	#0xfffffff00887b850
0xfffffff008849a6c: e80314aa  mov	x8, x20
0xfffffff008849a70: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008849a74: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849a78: 08751a91  add	x8, x8, #0x69d
0xfffffff008849a7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849a80: 28098052  mov	w8, #0x49
0xfffffff008849a84: f52300a9  stp	x21, x8, [sp]
0xfffffff008849a88: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849a8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849a90: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849a94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849a98: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849a9c: 636c1491  add	x3, x3, #0x51b
0xfffffff008849aa0: 02008052  mov	w2, #0
0xfffffff008849aa4: a3a5eb97  bl	#0xfffffff008333130
0xfffffff008849aa8: e00314aa  mov	x0, x20
0xfffffff008849aac: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008849ab0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008849ab4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008849ab8: ffc30191  add	sp, sp, #0x70
0xfffffff008849abc: ff0f5fd6  retab	
0xfffffff008849ac0: 7f2303d5  pacibsp	
0xfffffff008849ac4: ffc303d1  sub	sp, sp, #0xf0
0xfffffff008849ac8: e923096d  stp	d9, d8, [sp, #0x90]
0xfffffff008849acc: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff008849ad0: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff008849ad4: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff008849ad8: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff008849adc: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff008849ae0: fd830391  add	x29, sp, #0xe0
0xfffffff008849ae4: c00200b4  cbz	x0, #0xfffffff008849b3c
0xfffffff008849ae8: f30300aa  mov	x19, x0
0xfffffff008849aec: 080440f9  ldr	x8, [x0, #8]
0xfffffff008849af0: a80500b4  cbz	x8, #0xfffffff008849ba4
0xfffffff008849af4: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff008849af8: 2a090071  subs	w10, w9, #2
0xfffffff008849afc: eb0e0054  b.lt	#0xfffffff008849cd8
0xfffffff008849b00: 6b0240b9  ldr	w11, [x19]
0xfffffff008849b04: 4c0dcb1a  sdiv	w12, w10, w11
