; Candidate 14248
; ADRP+ADD at VM 0xfffffff009759380 (fileoff 0x2755380): page=0xc32000 add_imm=0xea8

0xfffffff009759300: f147c1da  xpacd	x17
0xfffffff009759304: 1f0211eb  cmp	x16, x17
0xfffffff009759308: 40000054  b.eq	#0xfffffff009759310
0xfffffff00975930c: 408e38d4  brk	#0xc472
0xfffffff009759310: 08620891  add	x8, x16, #0x218
0xfffffff009759314: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009759318: e00318aa  mov	x0, x24
0xfffffff00975931c: 010080d2  mov	x1, #0
0xfffffff009759320: f10308aa  mov	x17, x8
0xfffffff009759324: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009759328: 31093fd7  blraa	x9, x17
0xfffffff00975932c: 07000014  b	#0xfffffff009759348
0xfffffff009759330: e00315aa  mov	x0, x21
0xfffffff009759334: 892dae97  bl	#0xfffffff0082e4958
0xfffffff009759338: f30300aa  mov	x19, x0
0xfffffff00975933c: 80f1fed0  adrp	x0, #0xfffffff00758b000
0xfffffff009759340: 008c3f91  add	x0, x0, #0xfe3
0xfffffff009759344: f40300aa  mov	x20, x0
0xfffffff009759348: f40301a9  stp	x20, x0, [sp, #0x10]
0xfffffff00975934c: 08f2fe90  adrp	x8, #0xfffffff007599000
0xfffffff009759350: 083d0591  add	x8, x8, #0x14f
0xfffffff009759354: f32300a9  stp	x19, x8, [sp]
0xfffffff009759358: e00316aa  mov	x0, x22
0xfffffff00975935c: e1031aaa  mov	x1, x26
0xfffffff009759360: 42008052  mov	w2, #2
0xfffffff009759364: e3031caa  mov	x3, x28
0xfffffff009759368: 7267af97  bl	#0xfffffff008333130
0xfffffff00975936c: 18efffb5  cbnz	x24, #0xfffffff00975914c
0xfffffff009759370: 806100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009759374: 00a03a91  add	x0, x0, #0xea8
0xfffffff009759378: 782dae97  bl	#0xfffffff0082e4958
0xfffffff00975937c: 171c0034  cbz	w23, #0xfffffff0097596fc
0xfffffff009759380: 806100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009759384: 00a03a91  add	x0, x0, #0xea8
0xfffffff009759388: 742dae97  bl	#0xfffffff0082e4958
0xfffffff00975938c: 48008052  mov	w8, #2
0xfffffff009759390: b6f1fed0  adrp	x22, #0xfffffff00758f000
0xfffffff009759394: d63e2391  add	x22, x22, #0x8cf
0xfffffff009759398: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff00975939c: b5f1fed0  adrp	x21, #0xfffffff00758f000
0xfffffff0097593a0: b5162391  add	x21, x21, #0x8c5
0xfffffff0097593a4: a8f1fe90  adrp	x8, #0xfffffff00758d000
0xfffffff0097593a8: 08953491  add	x8, x8, #0xd25
0xfffffff0097593ac: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff0097593b0: 08f2fe90  adrp	x8, #0xfffffff007599000
0xfffffff0097593b4: 083d0591  add	x8, x8, #0x14f
0xfffffff0097593b8: e02300a9  stp	x0, x8, [sp]
0xfffffff0097593bc: 80f1fed0  adrp	x0, #0xfffffff00758b000
0xfffffff0097593c0: 00802191  add	x0, x0, #0x860
0xfffffff0097593c4: e125ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff0097593c8: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0097593cc: 63f2fef0  adrp	x3, #0xfffffff0075a8000
0xfffffff0097593d0: 63f43391  add	x3, x3, #0xcfd
0xfffffff0097593d4: 42008052  mov	w2, #2
0xfffffff0097593d8: 5667af97  bl	#0xfffffff008333130
0xfffffff0097593dc: fb4000b4  cbz	x27, #0xfffffff009759bf8
0xfffffff0097593e0: 17008052  mov	w23, #0
0xfffffff0097593e4: 18008052  mov	w24, #0
0xfffffff0097593e8: e825ffb0  adrp	x8, #0xfffffff007c16000
0xfffffff0097593ec: 086d42f9  ldr	x8, [x8, #0x4d8]
0xfffffff0097593f0: 1a0140f9  ldr	x26, [x8]
0xfffffff0097593f4: b4f1fed0  adrp	x20, #0xfffffff00758f000
0xfffffff0097593f8: 94162391  add	x20, x20, #0x8c5
0xfffffff0097593fc: b5f1fed0  adrp	x21, #0xfffffff00758f000
