; Candidate 5153
; ADRP+ADD at VM 0xfffffff0087dc2a0 (fileoff 0x17d82a0): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dc220: 18020034  cbz	w24, #0xfffffff0087dc260
0xfffffff0087dc224: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dc228: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dc22c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dc230: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc234: 08a92f91  add	x8, x8, #0xbea
0xfffffff0087dc238: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc23c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc240: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc244: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc248: 280a8052  mov	w8, #0x51
0xfffffff0087dc24c: a051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087dc250: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dc254: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dc258: 826cd797  bl	#0xfffffff007db7460
0xfffffff0087dc25c: 19000014  b	#0xfffffff0087dc2c0
0xfffffff0087dc260: d35f0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc264: f70300aa  mov	x23, x0
0xfffffff0087dc268: c0008052  mov	w0, #6
0xfffffff0087dc26c: 797d0294  bl	#0xfffffff00887b850
0xfffffff0087dc270: e80316aa  mov	x8, x22
0xfffffff0087dc274: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dc278: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dc27c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dc280: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc284: 08a92f91  add	x8, x8, #0xbea
0xfffffff0087dc288: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc28c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc290: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc294: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc298: 280a8052  mov	w8, #0x51
0xfffffff0087dc29c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dc2a0: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dc2a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dc2a8: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dc2ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dc2b0: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dc2b4: 63483791  add	x3, x3, #0xdd2
0xfffffff0087dc2b8: 02008052  mov	w2, #0
0xfffffff0087dc2bc: 9d5bed97  bl	#0xfffffff008333130
0xfffffff0087dc2c0: e00316aa  mov	x0, x22
0xfffffff0087dc2c4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dc2c8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dc2cc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dc2d0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dc2d4: ff830291  add	sp, sp, #0xa0
0xfffffff0087dc2d8: ff0f5fd6  retab	
0xfffffff0087dc2dc: 7f2303d5  pacibsp	
0xfffffff0087dc2e0: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087dc2e4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087dc2e8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087dc2ec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087dc2f0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087dc2f4: fd030291  add	x29, sp, #0x80
0xfffffff0087dc2f8: f50302aa  mov	x21, x2
0xfffffff0087dc2fc: f40301aa  mov	x20, x1
0xfffffff0087dc300: f30300aa  mov	x19, x0
0xfffffff0087dc304: 200a8052  mov	w0, #0x51
0xfffffff0087dc308: 01018052  mov	w1, #8
0xfffffff0087dc30c: 317d0294  bl	#0xfffffff00887b7d0
0xfffffff0087dc310: 60050034  cbz	w0, #0xfffffff0087dc3bc
0xfffffff0087dc314: 200a8052  mov	w0, #0x51
0xfffffff0087dc318: 407d0294  bl	#0xfffffff00887b818
0xfffffff0087dc31c: f70300aa  mov	x23, x0
