; Candidate 12934
; ADRP+ADD at VM 0xfffffff00918ce78 (fileoff 0x2188e78): page=0x1fe309000 add_imm=0xd21

0xfffffff00918cdf8: 000080d2  mov	x0, #0
0xfffffff00918cdfc: c0035fd6  ret	
0xfffffff00918ce00: 47feff17  b	#0xfffffff00918c71c
0xfffffff00918ce04: 7f2303d5  pacibsp	
0xfffffff00918ce08: ff0302d1  sub	sp, sp, #0x80
0xfffffff00918ce0c: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff00918ce10: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff00918ce14: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00918ce18: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00918ce1c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00918ce20: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00918ce24: fdc30191  add	x29, sp, #0x70
0xfffffff00918ce28: f50300aa  mov	x21, x0
0xfffffff00918ce2c: 97578052  mov	w23, #0x2bc
0xfffffff00918ce30: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff00918ce34: 08b041b9  ldr	w8, [x0, #0x1b0]
0xfffffff00918ce38: 1f210071  cmp	w8, #8
0xfffffff00918ce3c: 83020054  b.lo	#0xfffffff00918ce8c
0xfffffff00918ce40: b00240f9  ldr	x16, [x21]
0xfffffff00918ce44: f10315aa  mov	x17, x21
0xfffffff00918ce48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00918ce4c: 301ac1da  autda	x16, x17
0xfffffff00918ce50: 113d80d2  mov	x17, #0x1e8
0xfffffff00918ce54: 1002118b  add	x16, x16, x17
0xfffffff00918ce58: 080240f9  ldr	x8, [x16]
0xfffffff00918ce5c: e90310aa  mov	x9, x16
0xfffffff00918ce60: e00315aa  mov	x0, x21
0xfffffff00918ce64: 010080d2  mov	x1, #0
0xfffffff00918ce68: f10309aa  mov	x17, x9
0xfffffff00918ce6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00918ce70: 11093fd7  blraa	x8, x17
0xfffffff00918ce74: e00300f9  str	x0, [sp]
0xfffffff00918ce78: 4018ffb0  adrp	x0, #0xfffffff007495000
0xfffffff00918ce7c: 00843491  add	x0, x0, #0xd21
0xfffffff00918ce80: 6828c797  bl	#0xfffffff008357020
0xfffffff00918ce84: f7a20011  add	w23, w23, #0x28
0xfffffff00918ce88: 78000014  b	#0xfffffff00918d068
0xfffffff00918ce8c: f30304aa  mov	x19, x4
0xfffffff00918ce90: f60303aa  mov	x22, x3
0xfffffff00918ce94: fa0302aa  mov	x26, x2
0xfffffff00918ce98: f40301aa  mov	x20, x1
0xfffffff00918ce9c: a04e40f9  ldr	x0, [x21, #0x98]
0xfffffff00918cea0: f803042a  mov	w24, w4
0xfffffff00918cea4: e84efff0  adrp	x8, #0xfffffff007b6b000
0xfffffff00918cea8: 084940f9  ldr	x8, [x8, #0x90]
0xfffffff00918ceac: 080140b9  ldr	w8, [x8]
0xfffffff00918ceb0: 29008052  mov	w9, #1
0xfffffff00918ceb4: 2821c81a  lsl	w8, w9, w8
0xfffffff00918ceb8: 037d4093  sxtw	x3, w8
0xfffffff00918cebc: 100040f9  ldr	x16, [x0]
0xfffffff00918cec0: f10300aa  mov	x17, x0
0xfffffff00918cec4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00918cec8: 301ac1da  autda	x16, x17
0xfffffff00918cecc: 11ab80d2  mov	x17, #0x558
0xfffffff00918ced0: 1002118b  add	x16, x16, x17
0xfffffff00918ced4: 080240f9  ldr	x8, [x16]
0xfffffff00918ced8: e90310aa  mov	x9, x16
0xfffffff00918cedc: 01008052  mov	w1, #0
0xfffffff00918cee0: e20318aa  mov	x2, x24
0xfffffff00918cee4: f10309aa  mov	x17, x9
0xfffffff00918cee8: b104eaf2  movk	x17, #0x5025, lsl #48
0xfffffff00918ceec: 11093fd7  blraa	x8, x17
0xfffffff00918cef0: e00c00b4  cbz	x0, #0xfffffff00918d08c
0xfffffff00918cef4: f90300aa  mov	x25, x0
