; Candidate 2581
; ADRP+ADD at VM 0xfffffff0086c4a30 (fileoff 0x16c0a30): page=0x1fea6a000 add_imm=0xeaf

0xfffffff0086c49b0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0086c49b4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0086c49b8: fdc30191  add	x29, sp, #0x70
0xfffffff0086c49bc: f30303aa  mov	x19, x3
0xfffffff0086c49c0: f60302aa  mov	x22, x2
0xfffffff0086c49c4: f50301aa  mov	x21, x1
0xfffffff0086c49c8: f40300aa  mov	x20, x0
0xfffffff0086c49cc: 08fc40b9  ldr	w8, [x0, #0xfc]
0xfffffff0086c49d0: 1f1d0071  cmp	w8, #7
0xfffffff0086c49d4: 43030054  b.lo	#0xfffffff0086c4a3c
0xfffffff0086c49d8: 900240f9  ldr	x16, [x20]
0xfffffff0086c49dc: f10314aa  mov	x17, x20
0xfffffff0086c49e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c49e4: 301ac1da  autda	x16, x17
0xfffffff0086c49e8: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c49ec: 1002118b  add	x16, x16, x17
0xfffffff0086c49f0: 080240f9  ldr	x8, [x16]
0xfffffff0086c49f4: e90310aa  mov	x9, x16
0xfffffff0086c49f8: e00314aa  mov	x0, x20
0xfffffff0086c49fc: 010080d2  mov	x1, #0
0xfffffff0086c4a00: f10309aa  mov	x17, x9
0xfffffff0086c4a04: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c4a08: 11093fd7  blraa	x8, x17
0xfffffff0086c4a0c: 087d8052  mov	w8, #0x3e8
0xfffffff0086c4a10: a97e081b  mul	w9, w21, w8
0xfffffff0086c4a14: 297d5093  sbfx	x9, x9, #0x10, #0x10
0xfffffff0086c4a18: c87e081b  mul	w8, w22, w8
0xfffffff0086c4a1c: 087d5093  sbfx	x8, x8, #0x10, #0x10
0xfffffff0086c4a20: 4a53ffd0  adrp	x10, #0xfffffff00712e000
0xfffffff0086c4a24: 4abd3b91  add	x10, x10, #0xeef
0xfffffff0086c4a28: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086c4a2c: e02b00a9  stp	x0, x10, [sp]
0xfffffff0086c4a30: 4053ffd0  adrp	x0, #0xfffffff00712e000
0xfffffff0086c4a34: 00bc3a91  add	x0, x0, #0xeaf
0xfffffff0086c4a38: 7a49f297  bl	#0xfffffff008357020
0xfffffff0086c4a3c: c8424071  subs	w8, w22, #0x10, lsl #12
0xfffffff0086c4a40: ad040054  b.le	#0xfffffff0086c4ad4
0xfffffff0086c4a44: 890e83b9  ldrsw	x9, [x20, #0x30c]
0xfffffff0086c4a48: 287d089b  mul	x8, x9, x8
0xfffffff0086c4a4c: 08fd50d3  lsr	x8, x8, #0x10
0xfffffff0086c4a50: 08414011  add	w8, w8, #0x10, lsl #12
0xfffffff0086c4a54: 890a43b9  ldr	w9, [x20, #0x308]
0xfffffff0086c4a58: 1f01096b  cmp	w8, w9
0xfffffff0086c4a5c: 18b1891a  csel	w24, w8, w9, lt
0xfffffff0086c4a60: 88fe40b9  ldr	w8, [x20, #0xfc]
0xfffffff0086c4a64: 1f1d0071  cmp	w8, #7
0xfffffff0086c4a68: 83030054  b.lo	#0xfffffff0086c4ad8
0xfffffff0086c4a6c: 900240f9  ldr	x16, [x20]
0xfffffff0086c4a70: f10314aa  mov	x17, x20
0xfffffff0086c4a74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c4a78: 301ac1da  autda	x16, x17
0xfffffff0086c4a7c: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c4a80: 1002118b  add	x16, x16, x17
0xfffffff0086c4a84: 080240f9  ldr	x8, [x16]
0xfffffff0086c4a88: e90310aa  mov	x9, x16
0xfffffff0086c4a8c: e00314aa  mov	x0, x20
0xfffffff0086c4a90: 010080d2  mov	x1, #0
0xfffffff0086c4a94: f10309aa  mov	x17, x9
0xfffffff0086c4a98: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c4a9c: 11093fd7  blraa	x8, x17
0xfffffff0086c4aa0: 087d8052  mov	w8, #0x3e8
0xfffffff0086c4aa4: c97e081b  mul	w9, w22, w8
0xfffffff0086c4aa8: 297d5093  sbfx	x9, x9, #0x10, #0x10
0xfffffff0086c4aac: 087f081b  mul	w8, w24, w8
