; Candidate 6953
; ADRP+ADD at VM 0xfffffff00884c5d4 (fileoff 0x18485d4): page=0x1fe9d9000 add_imm=0xe33

0xfffffff00884c554: c84efff0  adrp	x8, #0xfffffff007227000
0xfffffff00884c558: 08811191  add	x8, x8, #0x460
0xfffffff00884c55c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884c560: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884c564: e80d8052  mov	w8, #0x6f
0xfffffff00884c568: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c56c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00884c570: f92300a9  stp	x25, x8, [sp]
0xfffffff00884c574: bbabd597  bl	#0xfffffff007db7460
0xfffffff00884c578: 64000014  b	#0xfffffff00884c708
0xfffffff00884c57c: 800c8052  mov	w0, #0x64
0xfffffff00884c580: 81008052  mov	w1, #4
0xfffffff00884c584: 93bc0094  bl	#0xfffffff00887b7d0
0xfffffff00884c588: e00b0034  cbz	w0, #0xfffffff00884c704
0xfffffff00884c58c: 800c8052  mov	w0, #0x64
0xfffffff00884c590: a2bc0094  bl	#0xfffffff00887b818
0xfffffff00884c594: f80300aa  mov	x24, x0
0xfffffff00884c598: 059f0194  bl	#0xfffffff0088b41ac
0xfffffff00884c59c: f40300aa  mov	x20, x0
0xfffffff00884c5a0: 80008052  mov	w0, #4
0xfffffff00884c5a4: abbc0094  bl	#0xfffffff00887b850
0xfffffff00884c5a8: 18080034  cbz	w24, #0xfffffff00884c6a8
0xfffffff00884c5ac: f74f04a9  stp	x23, x19, [sp, #0x40]
0xfffffff00884c5b0: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00884c5b4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c5b8: 08053a91  add	x8, x8, #0xe81
0xfffffff00884c5bc: c9038052  mov	w9, #0x1e
0xfffffff00884c5c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884c5c4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c5c8: 08c13991  add	x8, x8, #0xe70
0xfffffff00884c5cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c5d0: 880c8052  mov	w8, #0x64
0xfffffff00884c5d4: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c5d8: 00cc3891  add	x0, x0, #0xe33
0xfffffff00884c5dc: f42300a9  stp	x20, x8, [sp]
0xfffffff00884c5e0: a0abd597  bl	#0xfffffff007db7460
0xfffffff00884c5e4: 48000014  b	#0xfffffff00884c704
0xfffffff00884c5e8: 802640f9  ldr	x0, [x20, #0x48]
0xfffffff00884c5ec: 000100b4  cbz	x0, #0xfffffff00884c60c
0xfffffff00884c5f0: 814240b9  ldr	w1, [x20, #0x40]
0xfffffff00884c5f4: 02008052  mov	w2, #0
0xfffffff00884c5f8: 6dfc0094  bl	#0xfffffff00888b7ac
0xfffffff00884c5fc: 603600f9  str	x0, [x19, #0x68]
0xfffffff00884c600: 802640f9  ldr	x0, [x20, #0x48]
0xfffffff00884c604: befc0094  bl	#0xfffffff00888b8fc
0xfffffff00884c608: 607200b9  str	w0, [x19, #0x70]
0xfffffff00884c60c: e00d8052  mov	w0, #0x6f
0xfffffff00884c610: e1008052  mov	w1, #7
0xfffffff00884c614: 6fbc0094  bl	#0xfffffff00887b7d0
0xfffffff00884c618: 40040034  cbz	w0, #0xfffffff00884c6a0
0xfffffff00884c61c: e00d8052  mov	w0, #0x6f
0xfffffff00884c620: 7ebc0094  bl	#0xfffffff00887b818
0xfffffff00884c624: f60300aa  mov	x22, x0
0xfffffff00884c628: e19e0194  bl	#0xfffffff0088b41ac
0xfffffff00884c62c: f50300aa  mov	x21, x0
0xfffffff00884c630: e0008052  mov	w0, #7
0xfffffff00884c634: 87bc0094  bl	#0xfffffff00887b850
0xfffffff00884c638: 96070034  cbz	w22, #0xfffffff00884c728
0xfffffff00884c63c: 68224139  ldrb	w8, [x19, #0x48]
0xfffffff00884c640: 69264139  ldrb	w9, [x19, #0x49]
0xfffffff00884c644: 6a2a4139  ldrb	w10, [x19, #0x4a]
0xfffffff00884c648: 6b2a40f9  ldr	x11, [x19, #0x50]
0xfffffff00884c64c: 6c3640f9  ldr	x12, [x19, #0x68]
0xfffffff00884c650: 8d4240b9  ldr	w13, [x20, #0x40]
