; Candidate 2362
; ADRP+ADD at VM 0xfffffff008621a18 (fileoff 0x161da18): page=0x1feae9000 add_imm=0xdd0

0xfffffff008621998: 88118052  mov	w8, #0x8c
0xfffffff00862199c: 4957ffb0  adrp	x9, #0xfffffff00710a000
0xfffffff0086219a0: 296d3691  add	x9, x9, #0xd9b
0xfffffff0086219a4: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff0086219a8: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff0086219ac: e90300f9  str	x9, [sp]
0xfffffff0086219b0: 2057fff0  adrp	x0, #0xfffffff007108000
0xfffffff0086219b4: 00d01491  add	x0, x0, #0x534
0xfffffff0086219b8: 1d000094  bl	#0xfffffff008621a2c
0xfffffff0086219bc: a8220b91  add	x8, x21, #0x2c8
0xfffffff0086219c0: a96641f9  ldr	x9, [x21, #0x2c8]
0xfffffff0086219c4: e00314aa  mov	x0, x20
0xfffffff0086219c8: e10313aa  mov	x1, x19
0xfffffff0086219cc: f10308aa  mov	x17, x8
0xfffffff0086219d0: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0086219d4: 31093fd7  blraa	x9, x17
0xfffffff0086219d8: 00008052  mov	w0, #0
0xfffffff0086219dc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0086219e0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0086219e4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0086219e8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0086219ec: ff030291  add	sp, sp, #0x80
0xfffffff0086219f0: ff0f5fd6  retab	
0xfffffff0086219f4: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff0086219f8: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff0086219fc: f70300f9  str	x23, [sp]
0xfffffff008621a00: 4057ffb0  adrp	x0, #0xfffffff00710a000
0xfffffff008621a04: 00bc3691  add	x0, x0, #0xdaf
0xfffffff008621a08: 04ffff97  bl	#0xfffffff008621618
0xfffffff008621a0c: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff008621a10: a8000035  cbnz	w8, #0xfffffff008621a24
0xfffffff008621a14: f75b00a9  stp	x23, x22, [sp]
0xfffffff008621a18: 4057ffb0  adrp	x0, #0xfffffff00710a000
0xfffffff008621a1c: 00403791  add	x0, x0, #0xdd0
0xfffffff008621a20: 03000094  bl	#0xfffffff008621a2c
0xfffffff008621a24: 20008052  mov	w0, #1
0xfffffff008621a28: edffff17  b	#0xfffffff0086219dc
0xfffffff008621a2c: 7f2303d5  pacibsp	
0xfffffff008621a30: ffc300d1  sub	sp, sp, #0x30
0xfffffff008621a34: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008621a38: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008621a3c: fd830091  add	x29, sp, #0x20
0xfffffff008621a40: f30300aa  mov	x19, x0
0xfffffff008621a44: a8430091  add	x8, x29, #0x10
0xfffffff008621a48: e80700f9  str	x8, [sp, #8]
0xfffffff008621a4c: 34a20094  bl	#0xfffffff00864a31c
0xfffffff008621a50: e20740f9  ldr	x2, [sp, #8]
0xfffffff008621a54: 00008052  mov	w0, #0
0xfffffff008621a58: e10313aa  mov	x1, x19
0xfffffff008621a5c: 3ba20094  bl	#0xfffffff00864a348
0xfffffff008621a60: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008621a64: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008621a68: ffc30091  add	sp, sp, #0x30
0xfffffff008621a6c: ff0f5fd6  retab	
0xfffffff008621a70: 7f2303d5  pacibsp	
0xfffffff008621a74: ff0302d1  sub	sp, sp, #0x80
0xfffffff008621a78: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008621a7c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008621a80: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008621a84: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008621a88: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008621a8c: fdc30191  add	x29, sp, #0x70
0xfffffff008621a90: f60303aa  mov	x22, x3
0xfffffff008621a94: f50302aa  mov	x21, x2
