; Candidate 4131
; ADRP+ADD at VM 0xfffffff008793474 (fileoff 0x178f474): page=0x1fe99e000 add_imm=0xd90

0xfffffff0087933f4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087933f8: 301ac1da  autda	x16, x17
0xfffffff0087933fc: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff008793400: e90310aa  mov	x9, x16
0xfffffff008793404: 01108052  mov	w1, #0x80
0xfffffff008793408: f10309aa  mov	x17, x9
0xfffffff00879340c: b11bf9f2  movk	x17, #0xc8dd, lsl #48
0xfffffff008793410: 11093fd7  blraa	x8, x17
0xfffffff008793414: 011040f9  ldr	x1, [x0, #0x20]
0xfffffff008793418: 282c40b9  ldr	w8, [x1, #0x2c]
0xfffffff00879341c: 1f0d0071  cmp	w8, #3
0xfffffff008793420: 01040054  b.ne	#0xfffffff0087934a0
0xfffffff008793424: f60300aa  mov	x22, x0
0xfffffff008793428: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff00879342c: 62726cb9  ldr	w2, [x19, #0x2c70]
0xfffffff008793430: c3f64139  ldrb	w3, [x22, #0x7d]
0xfffffff008793434: ccd0fe97  bl	#0xfffffff008747764
0xfffffff008793438: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff00879343c: 1f2d00b9  str	wzr, [x8, #0x2c]
0xfffffff008793440: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008793444: 63726cb9  ldr	w3, [x19, #0x2c70]
0xfffffff008793448: e10316aa  mov	x1, x22
0xfffffff00879344c: 02008052  mov	w2, #0
0xfffffff008793450: 64cffe97  bl	#0xfffffff0087471e0
0xfffffff008793454: e00313aa  mov	x0, x19
0xfffffff008793458: 01008052  mov	w1, #0
0xfffffff00879345c: 02008052  mov	w2, #0
0xfffffff008793460: 9c040094  bl	#0xfffffff0087946d0
0xfffffff008793464: e0010034  cbz	w0, #0xfffffff0087934a0
0xfffffff008793468: 484eff90  adrp	x8, #0xfffffff00715b000
0xfffffff00879346c: 08010691  add	x8, x8, #0x180
0xfffffff008793470: e80300f9  str	x8, [sp]
0xfffffff008793474: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793478: 00403691  add	x0, x0, #0xd90
0xfffffff00879347c: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008793480: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008793484: 834dfff0  adrp	x3, #0xfffffff007146000
0xfffffff008793488: 63b83f91  add	x3, x3, #0xfee
0xfffffff00879348c: 02008052  mov	w2, #0
0xfffffff008793490: 287fee97  bl	#0xfffffff008333130
0xfffffff008793494: 5f030039  strb	wzr, [x26]
0xfffffff008793498: 16268052  mov	w22, #0x130
0xfffffff00879349c: 2e000014  b	#0xfffffff008793554
0xfffffff0087934a0: 5f030039  strb	wzr, [x26]
0xfffffff0087934a4: 68b254f9  ldr	x8, [x19, #0x2960]
0xfffffff0087934a8: 891e40b9  ldr	w9, [x20, #0x1c]
0xfffffff0087934ac: 0801098b  add	x8, x8, x9
0xfffffff0087934b0: 685e15f9  str	x8, [x19, #0x2ab8]
0xfffffff0087934b4: 48cf4239  ldrb	w8, [x26, #0xb3]
0xfffffff0087934b8: 48040035  cbnz	w8, #0xfffffff008793540
0xfffffff0087934bc: 68926bb9  ldr	w8, [x19, #0x2b90]
0xfffffff0087934c0: 1f050071  cmp	w8, #1
0xfffffff0087934c4: e1030054  b.ne	#0xfffffff008793540
0xfffffff0087934c8: 61a26ab9  ldr	w1, [x19, #0x2aa0]
0xfffffff0087934cc: 62a66ab9  ldr	w2, [x19, #0x2aa4]
0xfffffff0087934d0: e00313aa  mov	x0, x19
0xfffffff0087934d4: cf040094  bl	#0xfffffff008794810
0xfffffff0087934d8: 60010034  cbz	w0, #0xfffffff008793504
0xfffffff0087934dc: f60300aa  mov	x22, x0
0xfffffff0087934e0: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087934e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087934e8: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087934ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087934f0: a34dff90  adrp	x3, #0xfffffff007147000
