; Candidate 825
; ADRP+ADD at VM 0xfffffff0080cb494 (fileoff 0x10c7494): page=0x1fefaa000 add_imm=0xe31

0xfffffff0080cb414: c1050054  b.ne	#0xfffffff0080cb4cc
0xfffffff0080cb418: 680000b4  cbz	x8, #0xfffffff0080cb424
0xfffffff0080cb41c: d15785d2  mov	x17, #0x2abe
0xfffffff0080cb420: 11093fd7  blraa	x8, x17
0xfffffff0080cb424: 60c5ffb0  adrp	x0, #0xfffffff007978000
0xfffffff0080cb428: 00c02d91  add	x0, x0, #0xb70
0xfffffff0080cb42c: e10313aa  mov	x1, x19
0xfffffff0080cb430: f7f9f497  bl	#0xfffffff007e09c0c
0xfffffff0080cb434: 00008052  mov	w0, #0
0xfffffff0080cb438: c80901d0  adrp	x8, #0xfffffff00a205000
0xfffffff0080cb43c: 08e12291  add	x8, x8, #0x8b8
0xfffffff0080cb440: 09008012  mov	w9, #-1
0xfffffff0080cb444: ca090190  adrp	x10, #0xfffffff00a203000
0xfffffff0080cb448: 4af13191  add	x10, x10, #0xc7c
0xfffffff0080cb44c: 080129b8  ldadd	w9, w8, [x8]
0xfffffff0080cb450: 28008052  mov	w8, #1
0xfffffff0080cb454: 490128b8  ldadd	w8, w9, [x10]
0xfffffff0080cb458: c9090190  adrp	x9, #0xfffffff00a203000
0xfffffff0080cb45c: 29013291  add	x9, x9, #0xc80
0xfffffff0080cb460: 280128b8  ldadd	w8, w8, [x9]
0xfffffff0080cb464: baffff17  b	#0xfffffff0080cb34c
0xfffffff0080cb468: a00b01d0  adrp	x0, #0xfffffff00a241000
0xfffffff0080cb46c: 00c00191  add	x0, x0, #0x70
0xfffffff0080cb470: e10314aa  mov	x1, x20
0xfffffff0080cb474: 02008052  mov	w2, #0
0xfffffff0080cb478: a081f397  bl	#0xfffffff007dabaf8
0xfffffff0080cb47c: 8affff17  b	#0xfffffff0080cb2a4
0xfffffff0080cb480: a00b01d0  adrp	x0, #0xfffffff00a241000
0xfffffff0080cb484: 00c00191  add	x0, x0, #0x70
0xfffffff0080cb488: e10314aa  mov	x1, x20
0xfffffff0080cb48c: b684f397  bl	#0xfffffff007dac764
0xfffffff0080cb490: b9ffff17  b	#0xfffffff0080cb374
0xfffffff0080cb494: 407dffd0  adrp	x0, #0xfffffff007075000
0xfffffff0080cb498: 00c43891  add	x0, x0, #0xe31
0xfffffff0080cb49c: 417dffd0  adrp	x1, #0xfffffff007075000
0xfffffff0080cb4a0: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0080cb4a4: 82228052  mov	w2, #0x114
0xfffffff0080cb4a8: db500f94  bl	#0xfffffff00849f814
0xfffffff0080cb4ac: 28238052  mov	w8, #0x119
0xfffffff0080cb4b0: 497dffd0  adrp	x9, #0xfffffff007075000
0xfffffff0080cb4b4: 29213891  add	x9, x9, #0xe08
0xfffffff0080cb4b8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080cb4bc: f32300a9  stp	x19, x8, [sp]
0xfffffff0080cb4c0: 407efff0  adrp	x0, #0xfffffff007096000
0xfffffff0080cb4c4: 00502c91  add	x0, x0, #0xb14
0xfffffff0080cb4c8: 11240f94  bl	#0xfffffff00849450c
0xfffffff0080cb4cc: f50308aa  mov	x21, x8
0xfffffff0080cb4d0: a80b01d0  adrp	x8, #0xfffffff00a241000
0xfffffff0080cb4d4: 08c10191  add	x8, x8, #0x70
0xfffffff0080cb4d8: f60300aa  mov	x22, x0
0xfffffff0080cb4dc: e00308aa  mov	x0, x8
0xfffffff0080cb4e0: e10314aa  mov	x1, x20
0xfffffff0080cb4e4: a084f397  bl	#0xfffffff007dac764
0xfffffff0080cb4e8: e80315aa  mov	x8, x21
0xfffffff0080cb4ec: e00316aa  mov	x0, x22
0xfffffff0080cb4f0: 68f9ffb5  cbnz	x8, #0xfffffff0080cb41c
0xfffffff0080cb4f4: ccffff17  b	#0xfffffff0080cb424
0xfffffff0080cb4f8: 28238052  mov	w8, #0x119
0xfffffff0080cb4fc: 497dffd0  adrp	x9, #0xfffffff007075000
0xfffffff0080cb500: 29213891  add	x9, x9, #0xe08
0xfffffff0080cb504: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080cb508: f32300a9  stp	x19, x8, [sp]
0xfffffff0080cb50c: 407efff0  adrp	x0, #0xfffffff007096000
0xfffffff0080cb510: 00982b91  add	x0, x0, #0xae6
