; Candidate 1671
; ADRP+ADD at VM 0xfffffff0084ef6a4 (fileoff 0x14eb6a4): page=0x1febf2000 add_imm=0xdd8

0xfffffff0084ef624: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0084ef628: 11093fd7  blraa	x8, x17
0xfffffff0084ef62c: e10300aa  mov	x1, x0
0xfffffff0084ef630: 700240f9  ldr	x16, [x19]
0xfffffff0084ef634: f10313aa  mov	x17, x19
0xfffffff0084ef638: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084ef63c: 301ac1da  autda	x16, x17
0xfffffff0084ef640: 112980d2  mov	x17, #0x148
0xfffffff0084ef644: 1002118b  add	x16, x16, x17
0xfffffff0084ef648: 080240f9  ldr	x8, [x16]
0xfffffff0084ef64c: e20310aa  mov	x2, x16
0xfffffff0084ef650: f00308aa  mov	x16, x8
0xfffffff0084ef654: e00313aa  mov	x0, x19
0xfffffff0084ef658: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084ef65c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084ef660: ff2303d5  autibsp	
0xfffffff0084ef664: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0084ef668: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0084ef670
0xfffffff0084ef66c: 208e38d4  brk	#0xc471
0xfffffff0084ef670: f10302aa  mov	x17, x2
0xfffffff0084ef674: 1144ebf2  movk	x17, #0x5a20, lsl #48
0xfffffff0084ef678: 110a1fd7  braa	x16, x17
0xfffffff0084ef67c: 5f2403d5  bti	c
0xfffffff0084ef680: 000080d2  mov	x0, #0
0xfffffff0084ef684: c0035fd6  ret	
0xfffffff0084ef688: 5f2403d5  bti	c
0xfffffff0084ef68c: 1ad4f717  b	#0xfffffff0082e46f4
0xfffffff0084ef690: 5f2403d5  bti	c
0xfffffff0084ef694: 18d4f717  b	#0xfffffff0082e46f4
0xfffffff0084ef698: 7f2303d5  pacibsp	
0xfffffff0084ef69c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084ef6a0: fd030091  mov	x29, sp
0xfffffff0084ef6a4: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef6a8: 00603791  add	x0, x0, #0xdd8
0xfffffff0084ef6ac: e3e6f897  bl	#0xfffffff008329238
0xfffffff0084ef6b0: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef6b4: 001107f9  str	x0, [x8, #0xe20]
0xfffffff0084ef6b8: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef6bc: 00083891  add	x0, x0, #0xe02
0xfffffff0084ef6c0: dee6f897  bl	#0xfffffff008329238
0xfffffff0084ef6c4: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef6c8: 001507f9  str	x0, [x8, #0xe28]
0xfffffff0084ef6cc: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef6d0: 00883891  add	x0, x0, #0xe22
0xfffffff0084ef6d4: d9e6f897  bl	#0xfffffff008329238
0xfffffff0084ef6d8: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef6dc: 001907f9  str	x0, [x8, #0xe30]
0xfffffff0084ef6e0: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef6e4: 00e43891  add	x0, x0, #0xe39
0xfffffff0084ef6e8: d4e6f897  bl	#0xfffffff008329238
0xfffffff0084ef6ec: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef6f0: 001d07f9  str	x0, [x8, #0xe38]
0xfffffff0084ef6f4: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef6f8: 004c3991  add	x0, x0, #0xe53
0xfffffff0084ef6fc: cfe6f897  bl	#0xfffffff008329238
0xfffffff0084ef700: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef704: 002107f9  str	x0, [x8, #0xe40]
0xfffffff0084ef708: 805fffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084ef70c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084ef710: cae6f897  bl	#0xfffffff008329238
0xfffffff0084ef714: 28ef00b0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084ef718: 002507f9  str	x0, [x8, #0xe48]
0xfffffff0084ef71c: 285fffd0  adrp	x8, #0xfffffff0070d5000
0xfffffff0084ef720: 29ef00d0  adrp	x9, #0xfffffff00a2d5000
