; Candidate 13994
; ADRP+ADD at VM 0xfffffff00969ab14 (fileoff 0x2696b14): page=0xcf0000 add_imm=0xd50

0xfffffff00969aa94: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00969aa98: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00969aa9c: ff2303d5  autibsp	
0xfffffff00969aaa0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00969aaa4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00969aaac
0xfffffff00969aaa8: 208e38d4  brk	#0xc471
0xfffffff00969aaac: f10302aa  mov	x17, x2
0xfffffff00969aab0: 7197e7f2  movk	x17, #0x3cbb, lsl #48
0xfffffff00969aab4: 110a1fd7  braa	x16, x17
0xfffffff00969aab8: 5f2403d5  bti	c
0xfffffff00969aabc: 0e27b117  b	#0xfffffff0082e46f4
0xfffffff00969aac0: 7f2303d5  pacibsp	
0xfffffff00969aac4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00969aac8: fd030091  mov	x29, sp
0xfffffff00969aacc: 80670090  adrp	x0, #0xfffffff00a38a000
0xfffffff00969aad0: 00403591  add	x0, x0, #0xd50
0xfffffff00969aad4: 81f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff00969aad8: 21e83991  add	x1, x1, #0xe7a
0xfffffff00969aadc: e22bff90  adrp	x2, #0xfffffff007c16000
0xfffffff00969aae0: 424842f9  ldr	x2, [x2, #0x490]
0xfffffff00969aae4: 03088052  mov	w3, #0x40
0xfffffff00969aae8: 1424b197  bl	#0xfffffff0082e3b38
0xfffffff00969aaec: f02bffb0  adrp	x16, #0xfffffff007c17000
0xfffffff00969aaf0: 10e23191  add	x16, x16, #0xc78
0xfffffff00969aaf4: 10420091  add	x16, x16, #0x10
0xfffffff00969aaf8: f10300aa  mov	x17, x0
0xfffffff00969aafc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969ab00: 300ac1da  pacda	x16, x17
0xfffffff00969ab04: 100000f9  str	x16, [x0]
0xfffffff00969ab08: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969ab0c: ff0f5fd6  retab	
0xfffffff00969ab10: 5f2403d5  bti	c
0xfffffff00969ab14: 80670090  adrp	x0, #0xfffffff00a38a000
0xfffffff00969ab18: 00403591  add	x0, x0, #0xd50
0xfffffff00969ab1c: f626b117  b	#0xfffffff0082e46f4
0xfffffff00969ab20: 7f2303d5  pacibsp	
0xfffffff00969ab24: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00969ab28: fd030091  mov	x29, sp
0xfffffff00969ab2c: 81f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff00969ab30: 21bc3a91  add	x1, x1, #0xeaf
0xfffffff00969ab34: e22bff90  adrp	x2, #0xfffffff007c16000
0xfffffff00969ab38: 427842f9  ldr	x2, [x2, #0x4f0]
0xfffffff00969ab3c: 03058052  mov	w3, #0x28
0xfffffff00969ab40: fe23b197  bl	#0xfffffff0082e3b38
0xfffffff00969ab44: f02bffb0  adrp	x16, #0xfffffff007c17000
0xfffffff00969ab48: 10023791  add	x16, x16, #0xdc0
0xfffffff00969ab4c: 10420091  add	x16, x16, #0x10
0xfffffff00969ab50: f10300aa  mov	x17, x0
0xfffffff00969ab54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969ab58: 300ac1da  pacda	x16, x17
0xfffffff00969ab5c: 100000f9  str	x16, [x0]
0xfffffff00969ab60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969ab64: ff0f5fd6  retab	
0xfffffff00969ab68: 5f2403d5  bti	c
0xfffffff00969ab6c: e226b117  b	#0xfffffff0082e46f4
0xfffffff00969ab70: 7f2303d5  pacibsp	
0xfffffff00969ab74: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00969ab78: fd030091  mov	x29, sp
0xfffffff00969ab7c: fc32b197  bl	#0xfffffff0082e776c
0xfffffff00969ab80: f02bffb0  adrp	x16, #0xfffffff007c17000
0xfffffff00969ab84: 10423491  add	x16, x16, #0xd10
0xfffffff00969ab88: 10420091  add	x16, x16, #0x10
0xfffffff00969ab8c: f10300aa  mov	x17, x0
0xfffffff00969ab90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
