; Candidate 11097
; ADRP+ADD at VM 0xfffffff008e621bc (fileoff 0x1e5e1bc): page=0x1fe572000 add_imm=0xcec

0xfffffff008e6213c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008e62140: ea0300f9  str	x10, [sp]
0xfffffff008e62144: a02bffb0  adrp	x0, #0xfffffff0073d7000
0xfffffff008e62148: 00743891  add	x0, x0, #0xe1d
0xfffffff008e6214c: 9dffff17  b	#0xfffffff008e61fc0
0xfffffff008e62150: 7f2303d5  pacibsp	
0xfffffff008e62154: ff8301d1  sub	sp, sp, #0x60
0xfffffff008e62158: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008e6215c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008e62160: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008e62164: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008e62168: fd430191  add	x29, sp, #0x50
0xfffffff008e6216c: 280040b9  ldr	w8, [x1]
0xfffffff008e62170: 1f050071  cmp	w8, #1
0xfffffff008e62174: 21030054  b.ne	#0xfffffff008e621d8
0xfffffff008e62178: f60302aa  mov	x22, x2
0xfffffff008e6217c: f30300aa  mov	x19, x0
0xfffffff008e62180: 080c41b9  ldr	w8, [x0, #0x10c]
0xfffffff008e62184: 1f01026b  cmp	w8, w2
0xfffffff008e62188: 89030054  b.ls	#0xfffffff008e621f8
0xfffffff008e6218c: f50303aa  mov	x21, x3
0xfffffff008e62190: 681e41b9  ldr	w8, [x19, #0x11c]
0xfffffff008e62194: 1f01036b  cmp	w8, w3
0xfffffff008e62198: 29040054  b.ls	#0xfffffff008e6221c
0xfffffff008e6219c: 682a41b9  ldr	w8, [x19, #0x128]
0xfffffff008e621a0: 1f310071  cmp	w8, #0xc
0xfffffff008e621a4: c3050054  b.lo	#0xfffffff008e6225c
0xfffffff008e621a8: 89018052  mov	w9, #0xc
0xfffffff008e621ac: aa2bffb0  adrp	x10, #0xfffffff0073d7000
0xfffffff008e621b0: 4a3d3991  add	x10, x10, #0xe4f
0xfffffff008e621b4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008e621b8: ea0300f9  str	x10, [sp]
0xfffffff008e621bc: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e621c0: 00b03391  add	x0, x0, #0xcec
0xfffffff008e621c4: 97d3d397  bl	#0xfffffff008357020
0xfffffff008e621c8: 48588052  mov	w8, #0x2c2
0xfffffff008e621cc: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e621d0: 14110051  sub	w20, w8, #4
0xfffffff008e621d4: 1b000014  b	#0xfffffff008e62240
0xfffffff008e621d8: 54588052  mov	w20, #0x2c2
0xfffffff008e621dc: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008e621e0: a92bffb0  adrp	x9, #0xfffffff0073d7000
0xfffffff008e621e4: 293d3991  add	x9, x9, #0xe4f
0xfffffff008e621e8: e92300a9  stp	x9, x8, [sp]
0xfffffff008e621ec: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e621f0: 00f82991  add	x0, x0, #0xa7e
0xfffffff008e621f4: 12000014  b	#0xfffffff008e6223c
0xfffffff008e621f8: 54588052  mov	w20, #0x2c2
0xfffffff008e621fc: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008e62200: a92bffb0  adrp	x9, #0xfffffff0073d7000
0xfffffff008e62204: 293d3991  add	x9, x9, #0xe4f
0xfffffff008e62208: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff008e6220c: e90300f9  str	x9, [sp]
0xfffffff008e62210: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e62214: 00fc2191  add	x0, x0, #0x87f
0xfffffff008e62218: 09000014  b	#0xfffffff008e6223c
0xfffffff008e6221c: 54588052  mov	w20, #0x2c2
0xfffffff008e62220: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008e62224: a92bffb0  adrp	x9, #0xfffffff0073d7000
0xfffffff008e62228: 293d3991  add	x9, x9, #0xe4f
0xfffffff008e6222c: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008e62230: e90300f9  str	x9, [sp]
0xfffffff008e62234: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e62238: 00682591  add	x0, x0, #0x95a
