; Candidate 6931
; ADRP+ADD at VM 0xfffffff00884ac2c (fileoff 0x1846c2c): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884abac: 00050034  cbz	w0, #0xfffffff00884ac4c
0xfffffff00884abb0: 20098052  mov	w0, #0x49
0xfffffff00884abb4: 19c30094  bl	#0xfffffff00887b818
0xfffffff00884abb8: f70300aa  mov	x23, x0
0xfffffff00884abbc: 7ca50194  bl	#0xfffffff0088b41ac
0xfffffff00884abc0: f60300aa  mov	x22, x0
0xfffffff00884abc4: e0008052  mov	w0, #7
0xfffffff00884abc8: 22c30094  bl	#0xfffffff00887b850
0xfffffff00884abcc: 97010034  cbz	w23, #0xfffffff00884abfc
0xfffffff00884abd0: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00884abd4: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884abd8: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884abdc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00884abe0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884abe4: 28098052  mov	w8, #0x49
0xfffffff00884abe8: 404effb0  adrp	x0, #0xfffffff007213000
0xfffffff00884abec: 00b43791  add	x0, x0, #0xded
0xfffffff00884abf0: f62300a9  stp	x22, x8, [sp]
0xfffffff00884abf4: 1bb2d597  bl	#0xfffffff007db7460
0xfffffff00884abf8: 15000014  b	#0xfffffff00884ac4c
0xfffffff00884abfc: 6ca50194  bl	#0xfffffff0088b41ac
0xfffffff00884ac00: f60300aa  mov	x22, x0
0xfffffff00884ac04: e0008052  mov	w0, #7
0xfffffff00884ac08: 12c30094  bl	#0xfffffff00887b850
0xfffffff00884ac0c: e80315aa  mov	x8, x21
0xfffffff00884ac10: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00884ac14: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884ac18: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884ac1c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00884ac20: 28098052  mov	w8, #0x49
0xfffffff00884ac24: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884ac28: f60300f9  str	x22, [sp]
0xfffffff00884ac2c: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884ac30: 00003a91  add	x0, x0, #0xe80
0xfffffff00884ac34: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884ac38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884ac3c: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884ac40: 63f02091  add	x3, x3, #0x83c
0xfffffff00884ac44: 02008052  mov	w2, #0
0xfffffff00884ac48: 3aa1eb97  bl	#0xfffffff008333130
0xfffffff00884ac4c: e00315aa  mov	x0, x21
0xfffffff00884ac50: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00884ac54: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00884ac58: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00884ac5c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00884ac60: ff030291  add	sp, sp, #0x80
0xfffffff00884ac64: ff0f5fd6  retab	
0xfffffff00884ac68: 51a50194  bl	#0xfffffff0088b41ac
0xfffffff00884ac6c: f50300aa  mov	x21, x0
0xfffffff00884ac70: 80008052  mov	w0, #4
0xfffffff00884ac74: f7c20094  bl	#0xfffffff00887b850
0xfffffff00884ac78: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884ac7c: 284effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884ac80: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884ac84: 89358052  mov	w9, #0x1ac
0xfffffff00884ac88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884ac8c: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884ac90: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884ac94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884ac98: 28098052  mov	w8, #0x49
0xfffffff00884ac9c: f52300a9  stp	x21, x8, [sp]
0xfffffff00884aca0: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884aca4: 00003a91  add	x0, x0, #0xe80
0xfffffff00884aca8: e18dffd0  adrp	x1, #0xfffffff007a08000
