; Candidate 9636
; ADRP+ADD at VM 0xfffffff008a8a768 (fileoff 0x1a86768): page=0x1fe829000 add_imm=0xe33

0xfffffff008a8a6e8: 4a393891  add	x10, x10, #0xe0e
0xfffffff008a8a6ec: 2a0900f9  str	x10, [x9, #0x10]
0xfffffff008a8a6f0: 4a41ffb0  adrp	x10, #0xfffffff0072b3000
0xfffffff008a8a6f4: 4aad3491  add	x10, x10, #0xd2b
0xfffffff008a8a6f8: 2a0d00f9  str	x10, [x9, #0x18]
0xfffffff008a8a6fc: 281100f9  str	x8, [x9, #0x20]
0xfffffff008a8a700: 4041ffb0  adrp	x0, #0xfffffff0072b3000
0xfffffff008a8a704: 00483291  add	x0, x0, #0xc92
0xfffffff008a8a708: 8127e897  bl	#0xfffffff00849450c
0xfffffff008a8a70c: 01000014  b	#0xfffffff008a8a710
0xfffffff008a8a710: 1c000014  b	#0xfffffff008a8a780
0xfffffff008a8a714: 01000014  b	#0xfffffff008a8a718
0xfffffff008a8a718: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008a8a71c: 08c940b9  ldr	w8, [x8, #0xc8]
0xfffffff008a8a720: 0900b052  mov	w9, #-0xffffffff80000000
0xfffffff008a8a724: 0801096a  ands	w8, w8, w9
0xfffffff008a8a728: e8179f1a  cset	w8, eq
0xfffffff008a8a72c: 68020037  tbnz	w8, #0, #0xfffffff008a8a778
0xfffffff008a8a730: 01000014  b	#0xfffffff008a8a734
0xfffffff008a8a734: a9c35eb8  ldur	w9, [x29, #-0x14]
0xfffffff008a8a738: e80309aa  mov	x8, x9
0xfffffff008a8a73c: e81700f9  str	x8, [sp, #0x28]
0xfffffff008a8a740: a0835df8  ldur	x0, [x29, #-0x28]
0xfffffff008a8a744: 14000094  bl	#0xfffffff008a8a794
0xfffffff008a8a748: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008a8a74c: e9030091  mov	x9, sp
0xfffffff008a8a750: 4a41ffb0  adrp	x10, #0xfffffff0072b3000
0xfffffff008a8a754: 4a2d3691  add	x10, x10, #0xd8b
0xfffffff008a8a758: 2a0100f9  str	x10, [x9]
0xfffffff008a8a75c: 280500f9  str	x8, [x9, #8]
0xfffffff008a8a760: e80300aa  mov	x8, x0
0xfffffff008a8a764: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a8a768: 4041ffb0  adrp	x0, #0xfffffff0072b3000
0xfffffff008a8a76c: 00cc3891  add	x0, x0, #0xe33
0xfffffff008a8a770: 7893e797  bl	#0xfffffff00846f550
0xfffffff008a8a774: 01000014  b	#0xfffffff008a8a778
0xfffffff008a8a778: 01000014  b	#0xfffffff008a8a77c
0xfffffff008a8a77c: 01000014  b	#0xfffffff008a8a780
0xfffffff008a8a780: a8735d38  ldurb	w8, [x29, #-0x29]
0xfffffff008a8a784: 00010012  and	w0, w8, #1
0xfffffff008a8a788: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008a8a78c: ff030291  add	sp, sp, #0x80
0xfffffff008a8a790: ff0f5fd6  retab	
0xfffffff008a8a794: 5f2403d5  bti	c
0xfffffff008a8a798: ff4300d1  sub	sp, sp, #0x10
0xfffffff008a8a79c: e00700f9  str	x0, [sp, #8]
0xfffffff008a8a7a0: e80740f9  ldr	x8, [sp, #8]
0xfffffff008a8a7a4: 00b140b9  ldr	w0, [x8, #0xb0]
0xfffffff008a8a7a8: ff430091  add	sp, sp, #0x10
0xfffffff008a8a7ac: c0035fd6  ret	
0xfffffff008a8a7b0: 7f2303d5  pacibsp	
0xfffffff008a8a7b4: ff4301d1  sub	sp, sp, #0x50
0xfffffff008a8a7b8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008a8a7bc: fd030191  add	x29, sp, #0x40
0xfffffff008a8a7c0: a0831ff8  stur	x0, [x29, #-8]
0xfffffff008a8a7c4: a1431fb8  stur	w1, [x29, #-0xc]
0xfffffff008a8a7c8: a9835ff8  ldur	x9, [x29, #-8]
0xfffffff008a8a7cc: a9831ef8  stur	x9, [x29, #-0x18]
0xfffffff008a8a7d0: bf031fb8  stur	wzr, [x29, #-0x10]
0xfffffff008a8a7d4: a8435fb8  ldur	w8, [x29, #-0xc]
0xfffffff008a8a7d8: 29c540b9  ldr	w9, [x9, #0xc4]
0xfffffff008a8a7dc: 0801096b  subs	w8, w8, w9
0xfffffff008a8a7e0: a8031fb8  stur	w8, [x29, #-0x10]
0xfffffff008a8a7e4: 01000014  b	#0xfffffff008a8a7e8
