; Candidate 4616
; ADRP+ADD at VM 0xfffffff0087bde68 (fileoff 0x17b9e68): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bdde8: 4a01080a  and	w10, w10, w8
0xfffffff0087bddec: 2801080a  and	w8, w9, w8
0xfffffff0087bddf0: 5f01086b  cmp	w10, w8
0xfffffff0087bddf4: 4d0f0054  b.le	#0xfffffff0087bdfdc
0xfffffff0087bddf8: fb0318aa  mov	x27, x24
0xfffffff0087bddfc: e80316aa  mov	x8, x22
0xfffffff0087bde00: f62b00b9  str	w22, [sp, #0x28]
0xfffffff0087bde04: 76000014  b	#0xfffffff0087bdfdc
0xfffffff0087bde08: 482b40b9  ldr	w8, [x26, #0x28]
0xfffffff0087bde0c: 880e0034  cbz	w8, #0xfffffff0087bdfdc
0xfffffff0087bde10: f9031baa  mov	x25, x27
0xfffffff0087bde14: 552f40b9  ldr	w21, [x26, #0x2c]
0xfffffff0087bde18: 7501f836  tbz	w21, #0x1f, #0xfffffff0087bde44
0xfffffff0087bde1c: 08a48152  mov	w8, #0xd20
0xfffffff0087bde20: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087bde24: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bde28: 00403691  add	x0, x0, #0xd90
0xfffffff0087bde2c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bde30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bde34: 02008052  mov	w2, #0
0xfffffff0087bde38: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bde3c: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087bde40: bcd4ed97  bl	#0xfffffff008333130
0xfffffff0087bde44: fb031caa  mov	x27, x28
0xfffffff0087bde48: a8060011  add	w8, w21, #1
0xfffffff0087bde4c: 29008052  mov	w9, #1
0xfffffff0087bde50: 3c21c81a  lsl	w28, w9, w8
0xfffffff0087bde54: 7800f837  tbnz	w24, #0x1f, #0xfffffff0087bde60
0xfffffff0087bde58: 9f03186b  cmp	w28, w24
0xfffffff0087bde5c: 6c010054  b.gt	#0xfffffff0087bde88
0xfffffff0087bde60: 28a48152  mov	w8, #0xd21
0xfffffff0087bde64: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bde68: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bde6c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bde70: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bde74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bde78: 02008052  mov	w2, #0
0xfffffff0087bde7c: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bde80: 63581091  add	x3, x3, #0x416
0xfffffff0087bde84: abd4ed97  bl	#0xfffffff008333130
0xfffffff0087bde88: 7700f837  tbnz	w23, #0x1f, #0xfffffff0087bde94
0xfffffff0087bde8c: 9f03176b  cmp	w28, w23
0xfffffff0087bde90: 6c010054  b.gt	#0xfffffff0087bdebc
0xfffffff0087bde94: 48a48152  mov	w8, #0xd22
0xfffffff0087bde98: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bde9c: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bdea0: 00403691  add	x0, x0, #0xd90
0xfffffff0087bdea4: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bdea8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bdeac: 02008052  mov	w2, #0
0xfffffff0087bdeb0: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bdeb4: 63241191  add	x3, x3, #0x449
0xfffffff0087bdeb8: 9ed4ed97  bl	#0xfffffff008333130
0xfffffff0087bdebc: 28008052  mov	w8, #1
0xfffffff0087bdec0: 0821d51a  lsl	w8, w8, w21
0xfffffff0087bdec4: 09050051  sub	w9, w8, #1
0xfffffff0087bdec8: 2901140a  and	w9, w9, w20
0xfffffff0087bdecc: 0801140a  and	w8, w8, w20
0xfffffff0087bded0: 3f01086b  cmp	w9, w8
0xfffffff0087bded4: ed070054  b.le	#0xfffffff0087bdfd0
0xfffffff0087bded8: 0800b012  mov	w8, #0x7fffffff
0xfffffff0087bdedc: e92f40b9  ldr	w9, [sp, #0x2c]
0xfffffff0087bdee0: 3f01086b  cmp	w9, w8
0xfffffff0087bdee4: fc031baa  mov	x28, x27
