; Candidate 5260
; ADRP+ADD at VM 0xfffffff0087e3064 (fileoff 0x17df064): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e2fe4: 0e00781e  fcvtzs	w14, d0
0xfffffff0087e2fe8: 6028611e  fadd	d0, d3, d1
0xfffffff0087e2fec: 0f00781e  fcvtzs	w15, d0
0xfffffff0087e2ff0: 9051ffb0  adrp	x16, #0xfffffff007213000
0xfffffff0087e2ff4: 107e2591  add	x16, x16, #0x95f
0xfffffff0087e2ff8: ed4307a9  stp	x13, x16, [sp, #0x70]
0xfffffff0087e2ffc: 8d51ffb0  adrp	x13, #0xfffffff007213000
0xfffffff0087e3000: adc12591  add	x13, x13, #0x970
0xfffffff0087e3004: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e3008: 10ee2391  add	x16, x16, #0x8fb
0xfffffff0087e300c: e04301a9  stp	x0, x16, [sp, #0x10]
0xfffffff0087e3010: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e3014: 104a2591  add	x16, x16, #0x952
0xfffffff0087e3018: 9151ff90  adrp	x17, #0xfffffff007213000
0xfffffff0087e301c: 31fe2491  add	x17, x17, #0x93f
0xfffffff0087e3020: e00314aa  mov	x0, x20
0xfffffff0087e3024: f70300a9  stp	x23, x0, [sp]
0xfffffff0087e3028: 8051ff90  adrp	x0, #0xfffffff007213000
0xfffffff0087e302c: 00ac2491  add	x0, x0, #0x92b
0xfffffff0087e3030: edbf08a9  stp	x13, x15, [sp, #0x88]
0xfffffff0087e3034: 8f51ff90  adrp	x15, #0xfffffff007213000
0xfffffff0087e3038: ef612491  add	x15, x15, #0x918
0xfffffff0087e303c: 8151ff90  adrp	x1, #0xfffffff007213000
0xfffffff0087e3040: 21142491  add	x1, x1, #0x905
0xfffffff0087e3044: ee4300f9  str	x14, [sp, #0x80]
0xfffffff0087e3048: ec4306a9  stp	x12, x16, [sp, #0x60]
0xfffffff0087e304c: eb4705a9  stp	x11, x17, [sp, #0x50]
0xfffffff0087e3050: ea0304a9  stp	x10, x0, [sp, #0x40]
0xfffffff0087e3054: e93f03a9  stp	x9, x15, [sp, #0x30]
0xfffffff0087e3058: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e305c: 63402791  add	x3, x3, #0x9d0
0xfffffff0087e3060: e80702a9  stp	x8, x1, [sp, #0x20]
0xfffffff0087e3064: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3068: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e306c: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3070: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3074: 02008052  mov	w2, #0
0xfffffff0087e3078: 2e40ed97  bl	#0xfffffff008333130
0xfffffff0087e307c: 3a000014  b	#0xfffffff0087e3164
0xfffffff0087e3080: 00106c1e  fmov	d0, #0.50000000
0xfffffff0087e3084: 280be8d2  mov	x8, #0x4059000000000000
0xfffffff0087e3088: 0101679e  fmov	d1, x8
0xfffffff0087e308c: 630a4a6d  ldp	d3, d2, [x19, #0xa0]
0xfffffff0087e3090: 4200411f  fmadd	d2, d2, d1, d0
0xfffffff0087e3094: 6512496d  ldp	d5, d4, [x19, #0x90]
0xfffffff0087e3098: 8400411f  fmadd	d4, d4, d1, d0
0xfffffff0087e309c: 6300411f  fmadd	d3, d3, d1, d0
0xfffffff0087e30a0: a500411f  fmadd	d5, d5, d1, d0
0xfffffff0087e30a4: 661e4e6d  ldp	d6, d7, [x19, #0xe0]
0xfffffff0087e30a8: c100411f  fmadd	d1, d6, d1, d0
0xfffffff0087e30ac: 662240fd  ldr	d6, [x19, #0x40]
0xfffffff0087e30b0: c628601e  fadd	d6, d6, d0
0xfffffff0087e30b4: 2891ffd0  adrp	x8, #0xfffffff007a09000
0xfffffff0087e30b8: 08010e91  add	x8, x8, #0x380
0xfffffff0087e30bc: 69b280b9  ldrsw	x9, [x19, #0xb0]
0xfffffff0087e30c0: e028601e  fadd	d0, d7, d0
0xfffffff0087e30c4: ca00781e  fcvtzs	w10, d6
0xfffffff0087e30c8: 4b00781e  fcvtzs	w11, d2
0xfffffff0087e30cc: 8c00781e  fcvtzs	w12, d4
0xfffffff0087e30d0: 6d00781e  fcvtzs	w13, d3
0xfffffff0087e30d4: ae00781e  fcvtzs	w14, d5
0xfffffff0087e30d8: 087969f8  ldr	x8, [x8, x9, lsl #3]
0xfffffff0087e30dc: 2900781e  fcvtzs	w9, d1
0xfffffff0087e30e0: 0f00781e  fcvtzs	w15, d0
