; Candidate 16377
; ADRP+ADD at VM 0xfffffff009e7de9c (fileoff 0x2e79e9c): page=0x1fd9b6000 add_imm=0xd36

0xfffffff009e7de1c: e2830291  add	x2, sp, #0xa0
0xfffffff009e7de20: 04c50294  bl	#0xfffffff009f2f230
0xfffffff009e7de24: a0010034  cbz	w0, #0xfffffff009e7de58
0xfffffff009e7de28: f40300aa  mov	x20, x0
0xfffffff009e7de2c: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7de30: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e7de34: 69438052  mov	w9, #0x21b
0xfffffff009e7de38: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7de3c: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7de40: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7de44: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7de48: 00903391  add	x0, x0, #0xce4
0xfffffff009e7de4c: 9e060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7de50: f80314aa  mov	x24, x20
0xfffffff009e7de54: b6000014  b	#0xfffffff009e7e12c
0xfffffff009e7de58: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff009e7de5c: e83b00f9  str	x8, [sp, #0x70]
0xfffffff009e7de60: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009e7de64: 015d40f9  ldr	x1, [x8, #0xb8]
0xfffffff009e7de68: 810200b4  cbz	x1, #0xfffffff009e7deb8
0xfffffff009e7de6c: e2a30291  add	x2, sp, #0xa8
0xfffffff009e7de70: e3630291  add	x3, sp, #0x98
0xfffffff009e7de74: e03b40f9  ldr	x0, [sp, #0x70]
0xfffffff009e7de78: f03a0294  bl	#0xfffffff009f0ca38
0xfffffff009e7de7c: 40030034  cbz	w0, #0xfffffff009e7dee4
0xfffffff009e7de80: f40300aa  mov	x20, x0
0xfffffff009e7de84: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7de88: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e7de8c: 49458052  mov	w9, #0x22a
0xfffffff009e7de90: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7de94: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7de98: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7de9c: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7dea0: 00d83491  add	x0, x0, #0xd36
0xfffffff009e7dea4: 88060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7dea8: f80314aa  mov	x24, x20
0xfffffff009e7deac: 9e000014  b	#0xfffffff009e7e124
0xfffffff009e7deb0: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff009e7deb4: 8cffff17  b	#0xfffffff009e7dce4
0xfffffff009e7deb8: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff009e7debc: 68448052  mov	w8, #0x223
0xfffffff009e7dec0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e7dec4: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7dec8: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7decc: e80300f9  str	x8, [sp]
0xfffffff009e7ded0: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7ded4: 00243491  add	x0, x0, #0xd09
0xfffffff009e7ded8: 7b060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7dedc: 58008052  mov	w24, #2
0xfffffff009e7dee0: 91000014  b	#0xfffffff009e7e124
0xfffffff009e7dee4: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009e7dee8: e82f00f9  str	x8, [sp, #0x58]
0xfffffff009e7deec: 150100b5  cbnz	x21, #0xfffffff009e7df0c
0xfffffff009e7def0: e12f40f9  ldr	x1, [sp, #0x58]
0xfffffff009e7def4: 286840f9  ldr	x8, [x1, #0xd0]
0xfffffff009e7def8: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009e7defc: 026542f9  ldr	x2, [x8, #0x4c8]
0xfffffff009e7df00: e33f0291  add	x3, sp, #0x8f
0xfffffff009e7df04: e00313aa  mov	x0, x19
0xfffffff009e7df08: c3690294  bl	#0xfffffff009f18614
0xfffffff009e7df0c: ff027cf2  tst	x23, #0x10
0xfffffff009e7df10: 88008052  mov	w8, #4
0xfffffff009e7df14: 1805881a  cinc	w24, w8, ne
0xfffffff009e7df18: e82f40f9  ldr	x8, [sp, #0x58]
