; Candidate 9034
; ADRP+ADD at VM 0xfffffff00899950c (fileoff 0x199550c): page=0x1ff09f000 add_imm=0xce0

0xfffffff00899948c: 63f1ff17  b	#0xfffffff008995a18
0xfffffff008999490: 5f2403d5  bti	c
0xfffffff008999494: 20008052  mov	w0, #1
0xfffffff008999498: c0035fd6  ret	
0xfffffff00899949c: 7f2303d5  pacibsp	
0xfffffff0089994a0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0089994a4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0089994a8: fd430091  add	x29, sp, #0x10
0xfffffff0089994ac: f30300aa  mov	x19, x0
0xfffffff0089994b0: e884ff90  adrp	x8, #0xfffffff007a35000
0xfffffff0089994b4: 08210991  add	x8, x8, #0x248
0xfffffff0089994b8: 090d45f8  ldr	x9, [x8, #0x50]!
0xfffffff0089994bc: f10308aa  mov	x17, x8
0xfffffff0089994c0: f1b4f3f2  movk	x17, #0x9da7, lsl #48
0xfffffff0089994c4: 31093fd7  blraa	x9, x17
0xfffffff0089994c8: 60000036  tbz	w0, #0, #0xfffffff0089994d4
0xfffffff0089994cc: 20008052  mov	w0, #1
0xfffffff0089994d0: 04000014  b	#0xfffffff0089994e0
0xfffffff0089994d4: 68a24039  ldrb	w8, [x19, #0x28]
0xfffffff0089994d8: 1f010071  cmp	w8, #0
0xfffffff0089994dc: e0079f1a  cset	w0, ne
0xfffffff0089994e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0089994e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0089994e8: ff0f5fd6  retab	
0xfffffff0089994ec: 5f2403d5  bti	c
0xfffffff0089994f0: 2bf1ff17  b	#0xfffffff00899599c
0xfffffff0089994f4: 7f2303d5  pacibsp	
0xfffffff0089994f8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0089994fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008999500: fd430091  add	x29, sp, #0x10
0xfffffff008999504: f30300aa  mov	x19, x0
0xfffffff008999508: 25f1ff97  bl	#0xfffffff00899599c
0xfffffff00899950c: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999510: 00803391  add	x0, x0, #0xce0
0xfffffff008999514: e10313aa  mov	x1, x19
0xfffffff008999518: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00899951c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008999520: ff2303d5  autibsp	
0xfffffff008999524: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008999528: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008999530
0xfffffff00899952c: 208e38d4  brk	#0xc471
0xfffffff008999530: 77f4e617  b	#0xfffffff00835670c
0xfffffff008999534: 5f2403d5  bti	c
0xfffffff008999538: 0080c03c  ldur	q0, [x0, #8]
0xfffffff00899953c: 0001803d  str	q0, [x8]
0xfffffff008999540: 0040c13c  ldur	q0, [x0, #0x14]
0xfffffff008999544: 00c1803c  stur	q0, [x8, #0xc]
0xfffffff008999548: c0035fd6  ret	
0xfffffff00899954c: 5f2403d5  bti	c
0xfffffff008999550: 20008052  mov	w0, #1
0xfffffff008999554: c0035fd6  ret	
0xfffffff008999558: 5f2403d5  bti	c
0xfffffff00899955c: 6047ff90  adrp	x0, #0xfffffff007285000
0xfffffff008999560: 00480291  add	x0, x0, #0x92
0xfffffff008999564: c0035fd6  ret	
0xfffffff008999568: 7f2303d5  pacibsp	
0xfffffff00899956c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008999570: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008999574: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008999578: fd830091  add	x29, sp, #0x20
0xfffffff00899957c: f40301aa  mov	x20, x1
0xfffffff008999580: f50300aa  mov	x21, x0
0xfffffff008999584: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999588: 00803491  add	x0, x0, #0xd20
