; Candidate 8834
; ADRP+ADD at VM 0xfffffff0088d7a5c (fileoff 0x18d3a5c): page=0x1fe993000 add_imm=0xd25

0xfffffff0088d79dc: adfbff97  bl	#0xfffffff0088d6890
0xfffffff0088d79e0: 60040034  cbz	w0, #0xfffffff0088d7a6c
0xfffffff0088d79e4: f70300aa  mov	x23, x0
0xfffffff0088d79e8: 700240f9  ldr	x16, [x19]
0xfffffff0088d79ec: f10313aa  mov	x17, x19
0xfffffff0088d79f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d79f4: 301ac1da  autda	x16, x17
0xfffffff0088d79f8: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d79fc: 1002118b  add	x16, x16, x17
0xfffffff0088d7a00: 080240f9  ldr	x8, [x16]
0xfffffff0088d7a04: e90310aa  mov	x9, x16
0xfffffff0088d7a08: e00313aa  mov	x0, x19
0xfffffff0088d7a0c: 010080d2  mov	x1, #0
0xfffffff0088d7a10: f10309aa  mov	x17, x9
0xfffffff0088d7a14: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d7a18: 11093fd7  blraa	x8, x17
0xfffffff0088d7a1c: f80300aa  mov	x24, x0
0xfffffff0088d7a20: 700240f9  ldr	x16, [x19]
0xfffffff0088d7a24: f10313aa  mov	x17, x19
0xfffffff0088d7a28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7a2c: 301ac1da  autda	x16, x17
0xfffffff0088d7a30: 118e80d2  mov	x17, #0x470
0xfffffff0088d7a34: 1002118b  add	x16, x16, x17
0xfffffff0088d7a38: 080240f9  ldr	x8, [x16]
0xfffffff0088d7a3c: e90310aa  mov	x9, x16
0xfffffff0088d7a40: e00313aa  mov	x0, x19
0xfffffff0088d7a44: e10317aa  mov	x1, x23
0xfffffff0088d7a48: f10309aa  mov	x17, x9
0xfffffff0088d7a4c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088d7a50: 11093fd7  blraa	x8, x17
0xfffffff0088d7a54: f98300a9  stp	x25, x0, [sp, #8]
0xfffffff0088d7a58: f80300f9  str	x24, [sp]
0xfffffff0088d7a5c: 804cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d7a60: 00943491  add	x0, x0, #0xd25
0xfffffff0088d7a64: 6ffde997  bl	#0xfffffff008357020
0xfffffff0088d7a68: 1a000014  b	#0xfffffff0088d7ad0
0xfffffff0088d7a6c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff0088d7a70: 020d40f9  ldr	x2, [x8, #0x18]
0xfffffff0088d7a74: 700240f9  ldr	x16, [x19]
0xfffffff0088d7a78: f10313aa  mov	x17, x19
0xfffffff0088d7a7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7a80: 301ac1da  autda	x16, x17
0xfffffff0088d7a84: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff0088d7a88: e90310aa  mov	x9, x16
0xfffffff0088d7a8c: 814cfff0  adrp	x1, #0xfffffff00726a000
0xfffffff0088d7a90: 21683591  add	x1, x1, #0xd5a
0xfffffff0088d7a94: e00313aa  mov	x0, x19
0xfffffff0088d7a98: f10309aa  mov	x17, x9
0xfffffff0088d7a9c: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0088d7aa0: 11093fd7  blraa	x8, x17
0xfffffff0088d7aa4: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff0088d7aa8: 000d40f9  ldr	x0, [x8, #0x18]
0xfffffff0088d7aac: 100040f9  ldr	x16, [x0]
0xfffffff0088d7ab0: f10300aa  mov	x17, x0
0xfffffff0088d7ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7ab8: 301ac1da  autda	x16, x17
0xfffffff0088d7abc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088d7ac0: e90310aa  mov	x9, x16
0xfffffff0088d7ac4: f10309aa  mov	x17, x9
0xfffffff0088d7ac8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088d7acc: 11093fd7  blraa	x8, x17
0xfffffff0088d7ad0: 77030052  eor	w23, w27, #1
0xfffffff0088d7ad4: e8008052  mov	w8, #7
0xfffffff0088d7ad8: 688a00b9  str	w8, [x19, #0x88]
