; Candidate 1593
; ADRP+ADD at VM 0xfffffff0084ae2e4 (fileoff 0x14aa2e4): page=0x1feba4000 add_imm=0xd60

0xfffffff0084ae264: 29cf8552  mov	w9, #0x2e79
0xfffffff0084ae268: e91300f9  str	x9, [sp, #0x20]
0xfffffff0084ae26c: 095dffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084ae270: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084ae274: 2a5dff90  adrp	x10, #0xfffffff007052000
0xfffffff0084ae278: 4a312b91  add	x10, x10, #0xacc
0xfffffff0084ae27c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0084ae280: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0084ae284: 205dff90  adrp	x0, #0xfffffff007052000
0xfffffff0084ae288: 00a83491  add	x0, x0, #0xd2a
0xfffffff0084ae28c: a098ff97  bl	#0xfffffff00849450c
0xfffffff0084ae290: e8c38552  mov	w8, #0x2e1f
0xfffffff0084ae294: 095dffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084ae298: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084ae29c: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0084ae2a0: f67f02a9  stp	x22, xzr, [sp, #0x20]
0xfffffff0084ae2a4: 285dff90  adrp	x8, #0xfffffff007052000
0xfffffff0084ae2a8: 08312b91  add	x8, x8, #0xacc
0xfffffff0084ae2ac: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff0084ae2b0: 205dff90  adrp	x0, #0xfffffff007052000
0xfffffff0084ae2b4: 00c43191  add	x0, x0, #0xc71
0xfffffff0084ae2b8: e84f00a9  stp	x8, x19, [sp]
0xfffffff0084ae2bc: 9498ff97  bl	#0xfffffff00849450c
0xfffffff0084ae2c0: 77008052  mov	w23, #3
0xfffffff0084ae2c4: c8cc8552  mov	w8, #0x2e66
0xfffffff0084ae2c8: 095dffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084ae2cc: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084ae2d0: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0084ae2d4: f65f02a9  stp	x22, x23, [sp, #0x20]
0xfffffff0084ae2d8: 285dff90  adrp	x8, #0xfffffff007052000
0xfffffff0084ae2dc: 08312b91  add	x8, x8, #0xacc
0xfffffff0084ae2e0: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff0084ae2e4: 205dff90  adrp	x0, #0xfffffff007052000
0xfffffff0084ae2e8: 00803591  add	x0, x0, #0xd60
0xfffffff0084ae2ec: e84f00a9  stp	x8, x19, [sp]
0xfffffff0084ae2f0: 8798ff97  bl	#0xfffffff00849450c
0xfffffff0084ae2f4: 68218152  mov	w8, #0x90b
0xfffffff0084ae2f8: c95cff90  adrp	x9, #0xfffffff007046000
0xfffffff0084ae2fc: 29d92791  add	x9, x9, #0x9f6
0xfffffff0084ae300: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084ae304: f70300a9  stp	x23, x0, [sp]
0xfffffff0084ae308: c05cff90  adrp	x0, #0xfffffff007046000
0xfffffff0084ae30c: 00c42b91  add	x0, x0, #0xaf1
0xfffffff0084ae310: 7f98ff97  bl	#0xfffffff00849450c
0xfffffff0084ae314: 37008052  mov	w23, #1
0xfffffff0084ae318: a8c78552  mov	w8, #0x2e3d
0xfffffff0084ae31c: 095dffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084ae320: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084ae324: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0084ae328: f65f02a9  stp	x22, x23, [sp, #0x20]
0xfffffff0084ae32c: 285dff90  adrp	x8, #0xfffffff007052000
0xfffffff0084ae330: 08312b91  add	x8, x8, #0xacc
0xfffffff0084ae334: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff0084ae338: 205dff90  adrp	x0, #0xfffffff007052000
0xfffffff0084ae33c: 003c3391  add	x0, x0, #0xccf
0xfffffff0084ae340: e84f00a9  stp	x8, x19, [sp]
0xfffffff0084ae344: 7298ff97  bl	#0xfffffff00849450c
0xfffffff0084ae348: 7f2303d5  pacibsp	
0xfffffff0084ae34c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0084ae350: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0084ae354: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0084ae358: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0084ae35c: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0084ae360: f44f09a9  stp	x20, x19, [sp, #0x90]
