; Candidate 8420
; ADRP+ADD at VM 0xfffffff0088a9a9c (fileoff 0x18a5a9c): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a9a1c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a9a20: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9a24: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9a28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9a2c: c80f8052  mov	w8, #0x7e
0xfffffff0088a9a30: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9a34: 63c40391  add	x3, x3, #0xf1
0xfffffff0088a9a38: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a9a3c: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9a40: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9a44: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9a48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9a4c: 02008052  mov	w2, #0
0xfffffff0088a9a50: b825ea97  bl	#0xfffffff008333130
0xfffffff0088a9a54: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a9a58: 7c000014  b	#0xfffffff0088a9c48
0xfffffff0088a9a5c: d4290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9a60: f80300aa  mov	x24, x0
0xfffffff0088a9a64: 00018052  mov	w0, #8
0xfffffff0088a9a68: 7a47ff97  bl	#0xfffffff00887b850
0xfffffff0088a9a6c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088a9a70: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088a9a74: e95b04a9  stp	x9, x22, [sp, #0x40]
0xfffffff0088a9a78: e90314aa  mov	x9, x20
0xfffffff0088a9a7c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a9a80: 88308052  mov	w8, #0x184
0xfffffff0088a9a84: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a9a88: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9a8c: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9a90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9a94: c80f8052  mov	w8, #0x7e
0xfffffff0088a9a98: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a9a9c: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9aa0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9aa4: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9aa8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9aac: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9ab0: 63c80591  add	x3, x3, #0x172
0xfffffff0088a9ab4: 02008052  mov	w2, #0
0xfffffff0088a9ab8: 9e25ea97  bl	#0xfffffff008333130
0xfffffff0088a9abc: 170080d2  mov	x23, #0
0xfffffff0088a9ac0: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a9ac4: 18610091  add	x24, x8, #0x18
0xfffffff0088a9ac8: d90f8052  mov	w25, #0x7e
0xfffffff0088a9acc: 5a318052  mov	w26, #0x18a
0xfffffff0088a9ad0: 5b4cffb0  adrp	x27, #0xfffffff007232000
0xfffffff0088a9ad4: 7b173f91  add	x27, x27, #0xfc5
0xfffffff0088a9ad8: c00f8052  mov	w0, #0x7e
0xfffffff0088a9adc: 01018052  mov	w1, #8
0xfffffff0088a9ae0: 3c47ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a9ae4: a0050034  cbz	w0, #0xfffffff0088a9b98
0xfffffff0088a9ae8: c00f8052  mov	w0, #0x7e
0xfffffff0088a9aec: 4b47ff97  bl	#0xfffffff00887b818
0xfffffff0088a9af0: f50300aa  mov	x21, x0
0xfffffff0088a9af4: ae290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9af8: fc0300aa  mov	x28, x0
0xfffffff0088a9afc: 00018052  mov	w0, #8
0xfffffff0088a9b00: 5447ff97  bl	#0xfffffff00887b850
0xfffffff0088a9b04: f5010034  cbz	w21, #0xfffffff0088a9b40
0xfffffff0088a9b08: 08835ef8  ldur	x8, [x24, #-0x18]
0xfffffff0088a9b0c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088a9b10: 0a035fb8  ldur	w10, [x24, #-0x10]
0xfffffff0088a9b14: 0caf7f29  ldp	w12, w11, [x24, #-4]
0xfffffff0088a9b18: eb3305a9  stp	x11, x12, [sp, #0x50]
