; Candidate 1512
; ADRP+ADD at VM 0xfffffff00844c368 (fileoff 0x1448368): page=0x1fec5a000 add_imm=0xe39

0xfffffff00844c2e8: d473fb97  bl	#0xfffffff008329238
0xfffffff00844c2ec: f40300aa  mov	x20, x0
0xfffffff00844c2f0: fbef0090  adrp	x27, #0xfffffff00a248000
0xfffffff00844c2f4: 60c342f9  ldr	x0, [x27, #0x580]
0xfffffff00844c2f8: 400100b4  cbz	x0, #0xfffffff00844c320
0xfffffff00844c2fc: 100040f9  ldr	x16, [x0]
0xfffffff00844c300: f10300aa  mov	x17, x0
0xfffffff00844c304: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c308: 301ac1da  autda	x16, x17
0xfffffff00844c30c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c310: e90310aa  mov	x9, x16
0xfffffff00844c314: f10309aa  mov	x17, x9
0xfffffff00844c318: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c31c: 11093fd7  blraa	x8, x17
0xfffffff00844c320: 74c302f9  str	x20, [x27, #0x580]
0xfffffff00844c324: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c328: 00a03891  add	x0, x0, #0xe28
0xfffffff00844c32c: 1974fb97  bl	#0xfffffff008329390
0xfffffff00844c330: f40300aa  mov	x20, x0
0xfffffff00844c334: 76ee00d0  adrp	x22, #0xfffffff00a21a000
0xfffffff00844c338: c01a44f9  ldr	x0, [x22, #0x830]
0xfffffff00844c33c: 400100b4  cbz	x0, #0xfffffff00844c364
0xfffffff00844c340: 100040f9  ldr	x16, [x0]
0xfffffff00844c344: f10300aa  mov	x17, x0
0xfffffff00844c348: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c34c: 301ac1da  autda	x16, x17
0xfffffff00844c350: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c354: e90310aa  mov	x9, x16
0xfffffff00844c358: f10309aa  mov	x17, x9
0xfffffff00844c35c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c360: 11093fd7  blraa	x8, x17
0xfffffff00844c364: d41a04f9  str	x20, [x22, #0x830]
0xfffffff00844c368: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c36c: 00e43891  add	x0, x0, #0xe39
0xfffffff00844c370: 0874fb97  bl	#0xfffffff008329390
0xfffffff00844c374: f40300aa  mov	x20, x0
0xfffffff00844c378: 76ee00d0  adrp	x22, #0xfffffff00a21a000
0xfffffff00844c37c: c01e44f9  ldr	x0, [x22, #0x838]
0xfffffff00844c380: 400100b4  cbz	x0, #0xfffffff00844c3a8
0xfffffff00844c384: 100040f9  ldr	x16, [x0]
0xfffffff00844c388: f10300aa  mov	x17, x0
0xfffffff00844c38c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c390: 301ac1da  autda	x16, x17
0xfffffff00844c394: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c398: e90310aa  mov	x9, x16
0xfffffff00844c39c: f10309aa  mov	x17, x9
0xfffffff00844c3a0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c3a4: 11093fd7  blraa	x8, x17
0xfffffff00844c3a8: d41e04f9  str	x20, [x22, #0x838]
0xfffffff00844c3ac: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c3b0: 00203991  add	x0, x0, #0xe48
0xfffffff00844c3b4: f773fb97  bl	#0xfffffff008329390
0xfffffff00844c3b8: f40300aa  mov	x20, x0
0xfffffff00844c3bc: 76ee00d0  adrp	x22, #0xfffffff00a21a000
0xfffffff00844c3c0: c02244f9  ldr	x0, [x22, #0x840]
0xfffffff00844c3c4: 400100b4  cbz	x0, #0xfffffff00844c3ec
0xfffffff00844c3c8: 100040f9  ldr	x16, [x0]
0xfffffff00844c3cc: f10300aa  mov	x17, x0
0xfffffff00844c3d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c3d4: 301ac1da  autda	x16, x17
0xfffffff00844c3d8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c3dc: e90310aa  mov	x9, x16
0xfffffff00844c3e0: f10309aa  mov	x17, x9
0xfffffff00844c3e4: f150e7f2  movk	x17, #0x3a87, lsl #48
