; Candidate 4997
; ADRP+ADD at VM 0xfffffff0087d0dc8 (fileoff 0x17ccdc8): page=0x1fea19000 add_imm=0xe80

0xfffffff0087d0d48: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d0d4c: e81a8052  mov	w8, #0xd7
0xfffffff0087d0d50: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d0d54: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0d58: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d0d5c: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0d60: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0d64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0d68: 080a8052  mov	w8, #0x50
0xfffffff0087d0d6c: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d0d70: 00343a91  add	x0, x0, #0xe8d
0xfffffff0087d0d74: f0feff17  b	#0xfffffff0087d0934
0xfffffff0087d0d78: 0d8d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0d7c: f60300aa  mov	x22, x0
0xfffffff0087d0d80: 00008052  mov	w0, #0
0xfffffff0087d0d84: b3aa0294  bl	#0xfffffff00887b850
0xfffffff0087d0d88: f70300aa  mov	x23, x0
0xfffffff0087d0d8c: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0087d0d90: f5690194  bl	#0xfffffff00882b564
0xfffffff0087d0d94: f80300aa  mov	x24, x0
0xfffffff0087d0d98: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0087d0d9c: ef690194  bl	#0xfffffff00882b558
0xfffffff0087d0da0: f90300aa  mov	x25, x0
0xfffffff0087d0da4: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0087d0da8: e9690194  bl	#0xfffffff00882b54c
0xfffffff0087d0dac: f98302a9  stp	x25, x0, [sp, #0x28]
0xfffffff0087d0db0: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0db4: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0db8: e8e301a9  stp	x8, x24, [sp, #0x18]
0xfffffff0087d0dbc: 080a8052  mov	w8, #0x50
0xfffffff0087d0dc0: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff0087d0dc4: f60300f9  str	x22, [sp]
0xfffffff0087d0dc8: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d0dcc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0dd0: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d0dd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d0dd8: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d0ddc: 63582791  add	x3, x3, #0x9d6
0xfffffff0087d0de0: 02008052  mov	w2, #0
0xfffffff0087d0de4: d388ed97  bl	#0xfffffff008333130
0xfffffff0087d0de8: 000a8052  mov	w0, #0x50
0xfffffff0087d0dec: 01018052  mov	w1, #8
0xfffffff0087d0df0: 78aa0294  bl	#0xfffffff00887b7d0
0xfffffff0087d0df4: e0050034  cbz	w0, #0xfffffff0087d0eb0
0xfffffff0087d0df8: 000a8052  mov	w0, #0x50
0xfffffff0087d0dfc: 87aa0294  bl	#0xfffffff00887b818
0xfffffff0087d0e00: f70300aa  mov	x23, x0
0xfffffff0087d0e04: ea8c0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0e08: f60300aa  mov	x22, x0
0xfffffff0087d0e0c: 00018052  mov	w0, #8
0xfffffff0087d0e10: 90aa0294  bl	#0xfffffff00887b850
0xfffffff0087d0e14: 17020034  cbz	w23, #0xfffffff0087d0e54
0xfffffff0087d0e18: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0e1c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087d0e20: a81b8052  mov	w8, #0xdd
0xfffffff0087d0e24: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d0e28: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0e2c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d0e30: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0e34: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0e38: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0e3c: 080a8052  mov	w8, #0x50
0xfffffff0087d0e40: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d0e44: 00203c91  add	x0, x0, #0xf08
