; Candidate 10932
; ADRP+ADD at VM 0xfffffff008ded528 (fileoff 0x1de9528): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008ded4a8: fd430191  add	x29, sp, #0x50
0xfffffff008ded4ac: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff008ded4b0: 830200b4  cbz	x3, #0xfffffff008ded500
0xfffffff008ded4b4: f40303aa  mov	x20, x3
0xfffffff008ded4b8: e80302aa  mov	x8, x2
0xfffffff008ded4bc: f50300aa  mov	x21, x0
0xfffffff008ded4c0: a29300d1  sub	x2, x29, #0x24
0xfffffff008ded4c4: e00301aa  mov	x0, x1
0xfffffff008ded4c8: e10308aa  mov	x1, x8
0xfffffff008ded4cc: a1e6ff97  bl	#0xfffffff008de6f50
0xfffffff008ded4d0: f30300aa  mov	x19, x0
0xfffffff008ded4d4: 40030035  cbnz	w0, #0xfffffff008ded53c
0xfffffff008ded4d8: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff008ded4dc: a802088b  add	x8, x21, x8
0xfffffff008ded4e0: 08610091  add	x8, x8, #0x18
0xfffffff008ded4e4: 880200f9  str	x8, [x20]
0xfffffff008ded4e8: e00313aa  mov	x0, x19
0xfffffff008ded4ec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ded4f0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ded4f4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ded4f8: ff830191  add	sp, sp, #0x60
0xfffffff008ded4fc: ff0f5fd6  retab	
0xfffffff008ded500: 684c8152  mov	w8, #0xa63
0xfffffff008ded504: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded508: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded50c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ded510: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded514: 08493991  add	x8, x8, #0xe52
0xfffffff008ded518: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded51c: 4a713091  add	x10, x10, #0xc1c
0xfffffff008ded520: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ded524: ea0300f9  str	x10, [sp]
0xfffffff008ded528: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded52c: 00543891  add	x0, x0, #0xe15
0xfffffff008ded530: bca6d597  bl	#0xfffffff008357020
0xfffffff008ded534: 93008012  mov	w19, #-5
0xfffffff008ded538: ecffff17  b	#0xfffffff008ded4e8
0xfffffff008ded53c: 687e4093  sxtw	x8, w19
0xfffffff008ded540: c94c8152  mov	w9, #0xa66
0xfffffff008ded544: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded548: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008ded54c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ded550: a92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ded554: 29493991  add	x9, x9, #0xe52
0xfffffff008ded558: ab2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ded55c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ded560: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ded564: eb0300f9  str	x11, [sp]
0xfffffff008ded568: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded56c: 00543891  add	x0, x0, #0xe15
0xfffffff008ded570: aca6d597  bl	#0xfffffff008357020
0xfffffff008ded574: ddffff17  b	#0xfffffff008ded4e8
0xfffffff008ded578: 7f2303d5  pacibsp	
0xfffffff008ded57c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008ded580: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008ded584: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008ded588: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008ded58c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008ded590: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008ded594: fd030291  add	x29, sp, #0x80
0xfffffff008ded598: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff008ded59c: c50600b4  cbz	x5, #0xfffffff008ded674
0xfffffff008ded5a0: f30306aa  mov	x19, x6
0xfffffff008ded5a4: a60700b4  cbz	x6, #0xfffffff008ded698
