; Candidate 6937
; ADRP+ADD at VM 0xfffffff00884b23c (fileoff 0x184723c): page=0x1fe99e000 add_imm=0xe80

0xfffffff00884b1bc: 08b12291  add	x8, x8, #0x8ac
0xfffffff00884b1c0: 69468052  mov	w9, #0x233
0xfffffff00884b1c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884b1c8: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b1cc: 08752291  add	x8, x8, #0x89d
0xfffffff00884b1d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b1d4: 28098052  mov	w8, #0x49
0xfffffff00884b1d8: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b1dc: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b1e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b1e4: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b1e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b1ec: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b1f0: 63e42291  add	x3, x3, #0x8b9
0xfffffff00884b1f4: 02008052  mov	w2, #0
0xfffffff00884b1f8: ce9feb97  bl	#0xfffffff008333130
0xfffffff00884b1fc: 14008052  mov	w20, #0
0xfffffff00884b200: aaffff17  b	#0xfffffff00884b0a8
0xfffffff00884b204: eaa30194  bl	#0xfffffff0088b41ac
0xfffffff00884b208: f50300aa  mov	x21, x0
0xfffffff00884b20c: 80008052  mov	w0, #4
0xfffffff00884b210: 90c10094  bl	#0xfffffff00887b850
0xfffffff00884b214: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884b218: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b21c: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884b220: c9468052  mov	w9, #0x236
0xfffffff00884b224: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884b228: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b22c: 08752291  add	x8, x8, #0x89d
0xfffffff00884b230: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b234: 28098052  mov	w8, #0x49
0xfffffff00884b238: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b23c: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b240: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b244: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b248: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b24c: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b250: 63ac2391  add	x3, x3, #0x8eb
0xfffffff00884b254: 02008052  mov	w2, #0
0xfffffff00884b258: b69feb97  bl	#0xfffffff008333130
0xfffffff00884b25c: 14008052  mov	w20, #0
0xfffffff00884b260: 92ffff17  b	#0xfffffff00884b0a8
0xfffffff00884b264: d2a30194  bl	#0xfffffff0088b41ac
0xfffffff00884b268: f50300aa  mov	x21, x0
0xfffffff00884b26c: e0008052  mov	w0, #7
0xfffffff00884b270: 78c10094  bl	#0xfffffff00887b850
0xfffffff00884b274: a8035cf8  ldur	x8, [x29, #-0x40]
0xfffffff00884b278: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00884b27c: aa835cb8  ldur	w10, [x29, #-0x38]
0xfffffff00884b280: e82b05a9  stp	x8, x10, [sp, #0x50]
0xfffffff00884b284: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff00884b288: e80314aa  mov	x8, x20
0xfffffff00884b28c: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00884b290: e8498052  mov	w8, #0x24f
0xfffffff00884b294: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00884b298: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b29c: 08752291  add	x8, x8, #0x89d
0xfffffff00884b2a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b2a4: 28098052  mov	w8, #0x49
0xfffffff00884b2a8: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b2ac: 63602491  add	x3, x3, #0x918
0xfffffff00884b2b0: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b2b4: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b2b8: 00003a91  add	x0, x0, #0xe80
