; Candidate 7365
; ADRP+ADD at VM 0xfffffff00886a3bc (fileoff 0x18663bc): page=0x1fe97f000 add_imm=0xe80

0xfffffff00886a33c: f60300aa  mov	x22, x0
0xfffffff00886a340: 7b4240b9  ldr	w27, [x19, #0x40]
0xfffffff00886a344: e00314aa  mov	x0, x20
0xfffffff00886a348: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886a34c: 2b39fe97  bl	#0xfffffff0087f87f8
0xfffffff00886a350: f70300aa  mov	x23, x0
0xfffffff00886a354: e00314aa  mov	x0, x20
0xfffffff00886a358: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886a35c: 2a39fe97  bl	#0xfffffff0087f8804
0xfffffff00886a360: f80300aa  mov	x24, x0
0xfffffff00886a364: e00314aa  mov	x0, x20
0xfffffff00886a368: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886a36c: 2939fe97  bl	#0xfffffff0087f8810
0xfffffff00886a370: f90300aa  mov	x25, x0
0xfffffff00886a374: e00314aa  mov	x0, x20
0xfffffff00886a378: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00886a37c: 2839fe97  bl	#0xfffffff0087f881c
0xfffffff00886a380: e06b06a9  stp	x0, x26, [sp, #0x60]
0xfffffff00886a384: f86705a9  stp	x24, x25, [sp, #0x50]
0xfffffff00886a388: f45f04a9  stp	x20, x23, [sp, #0x40]
0xfffffff00886a38c: f36f03a9  stp	x19, x27, [sp, #0x30]
0xfffffff00886a390: 48cd8052  mov	w8, #0x66a
0xfffffff00886a394: 294dfff0  adrp	x9, #0xfffffff007211000
0xfffffff00886a398: 29012691  add	x9, x9, #0x980
0xfffffff00886a39c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886a3a0: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a3a4: 08811191  add	x8, x8, #0x460
0xfffffff00886a3a8: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff00886a3ac: 680c8052  mov	w8, #0x63
0xfffffff00886a3b0: 634fffb0  adrp	x3, #0xfffffff007257000
0xfffffff00886a3b4: 63682791  add	x3, x3, #0x9da
0xfffffff00886a3b8: f52300a9  stp	x21, x8, [sp]
0xfffffff00886a3bc: e04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886a3c0: 00003a91  add	x0, x0, #0xe80
0xfffffff00886a3c4: e18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886a3c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886a3cc: 02008052  mov	w2, #0
0xfffffff00886a3d0: 5823eb97  bl	#0xfffffff008333130
0xfffffff00886a3d4: faeeff35  cbnz	w26, #0xfffffff00886a1b0
0xfffffff00886a3d8: 1b0080d2  mov	x27, #0
0xfffffff00886a3dc: 1c008052  mov	w28, #0
0xfffffff00886a3e0: 76cf8052  mov	w22, #0x67b
0xfffffff00886a3e4: 374dfff0  adrp	x23, #0xfffffff007211000
0xfffffff00886a3e8: f7022691  add	x23, x23, #0x980
0xfffffff00886a3ec: f84dffb0  adrp	x24, #0xfffffff007227000
0xfffffff00886a3f0: 18831191  add	x24, x24, #0x460
0xfffffff00886a3f4: 950e1b8b  add	x21, x20, x27, lsl #3
0xfffffff00886a3f8: a84e40f9  ldr	x8, [x21, #0x98]
0xfffffff00886a3fc: a91a41f9  ldr	x9, [x21, #0x230]
0xfffffff00886a400: 1f0100f1  cmp	x8, #0
0xfffffff00886a404: 8a079c1a  cinc	w10, w28, ne
0xfffffff00886a408: 3f0100f1  cmp	x9, #0
0xfffffff00886a40c: 5c058a1a  cinc	w28, w10, ne
0xfffffff00886a410: 080109aa  orr	x8, x8, x9
0xfffffff00886a414: 680600b4  cbz	x8, #0xfffffff00886a4e0
0xfffffff00886a418: 600c8052  mov	w0, #0x63
0xfffffff00886a41c: a1008052  mov	w1, #5
0xfffffff00886a420: ec440094  bl	#0xfffffff00887b7d0
0xfffffff00886a424: e0050034  cbz	w0, #0xfffffff00886a4e0
0xfffffff00886a428: 600c8052  mov	w0, #0x63
0xfffffff00886a42c: fb440094  bl	#0xfffffff00887b818
0xfffffff00886a430: fa0300aa  mov	x26, x0
0xfffffff00886a434: 5e270194  bl	#0xfffffff0088b41ac
0xfffffff00886a438: f90300aa  mov	x25, x0
