; Candidate 3679
; ADRP+ADD at VM 0xfffffff00874dca4 (fileoff 0x1749ca4): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874dc24: 53008052  mov	w19, #2
0xfffffff00874dc28: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00874dc2c: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff00874dc30: 4850fff0  adrp	x8, #0xfffffff007158000
0xfffffff00874dc34: 08192b91  add	x8, x8, #0xac6
0xfffffff00874dc38: e80300f9  str	x8, [sp]
0xfffffff00874dc3c: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dc40: 00403691  add	x0, x0, #0xd90
0xfffffff00874dc44: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dc48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dc4c: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dc50: 63142391  add	x3, x3, #0x8c5
0xfffffff00874dc54: 02008052  mov	w2, #0
0xfffffff00874dc58: 3695ef97  bl	#0xfffffff008333130
0xfffffff00874dc5c: e00313aa  mov	x0, x19
0xfffffff00874dc60: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00874dc64: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00874dc68: ff030191  add	sp, sp, #0x40
0xfffffff00874dc6c: ff0f5fd6  retab	
0xfffffff00874dc70: 7f2303d5  pacibsp	
0xfffffff00874dc74: ff8300d1  sub	sp, sp, #0x20
0xfffffff00874dc78: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00874dc7c: fd430091  add	x29, sp, #0x10
0xfffffff00874dc80: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff00874dc84: 08050071  subs	w8, w8, #1
0xfffffff00874dc88: 6b000054  b.lt	#0xfffffff00874dc94
0xfffffff00874dc8c: 081000b9  str	w8, [x0, #0x10]
0xfffffff00874dc90: 0d000014  b	#0xfffffff00874dcc4
0xfffffff00874dc94: 280840b9  ldr	w8, [x1, #8]
0xfffffff00874dc98: 4950fff0  adrp	x9, #0xfffffff007158000
0xfffffff00874dc9c: 293d2d91  add	x9, x9, #0xb4f
0xfffffff00874dca0: e92300a9  stp	x9, x8, [sp]
0xfffffff00874dca4: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dca8: 00403691  add	x0, x0, #0xd90
0xfffffff00874dcac: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dcb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dcb4: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dcb8: 635c2d91  add	x3, x3, #0xb57
0xfffffff00874dcbc: 02008052  mov	w2, #0
0xfffffff00874dcc0: 1c95ef97  bl	#0xfffffff008333130
0xfffffff00874dcc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00874dcc8: ff830091  add	sp, sp, #0x20
0xfffffff00874dccc: ff0f5fd6  retab	
0xfffffff00874dcd0: 7f2303d5  pacibsp	
0xfffffff00874dcd4: ff8301d1  sub	sp, sp, #0x60
0xfffffff00874dcd8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00874dcdc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00874dce0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00874dce4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00874dce8: fd430191  add	x29, sp, #0x50
0xfffffff00874dcec: f30301aa  mov	x19, x1
0xfffffff00874dcf0: f40300aa  mov	x20, x0
0xfffffff00874dcf4: 350840f9  ldr	x21, [x1, #0x10]
0xfffffff00874dcf8: 361840b9  ldr	w22, [x1, #0x18]
0xfffffff00874dcfc: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff00874dd00: 5750fff0  adrp	x23, #0xfffffff007158000
0xfffffff00874dd04: f7622b91  add	x23, x23, #0xad8
0xfffffff00874dd08: f70300f9  str	x23, [sp]
0xfffffff00874dd0c: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dd10: 00403691  add	x0, x0, #0xd90
0xfffffff00874dd14: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dd18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dd1c: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dd20: 63002491  add	x3, x3, #0x900
