; Candidate 5960
; ADRP+ADD at VM 0xfffffff00880cb98 (fileoff 0x1808b98): page=0x1fe9dd000 add_imm=0xe80

0xfffffff00880cb18: a0030034  cbz	w0, #0xfffffff00880cb8c
0xfffffff00880cb1c: e803164b  neg	w8, w22
0xfffffff00880cb20: 68032837  tbnz	w8, #5, #0xfffffff00880cb8c
0xfffffff00880cb24: 886641b9  ldr	w8, [x20, #0x164]
0xfffffff00880cb28: 29008052  mov	w9, #1
0xfffffff00880cb2c: e92300a9  stp	x9, x8, [sp]
0xfffffff00880cb30: 6050fff0  adrp	x0, #0xfffffff00721b000
0xfffffff00880cb34: 00702191  add	x0, x0, #0x85c
0xfffffff00880cb38: 4aaad697  bl	#0xfffffff007db7460
0xfffffff00880cb3c: 1f000014  b	#0xfffffff00880cbb8
0xfffffff00880cb40: 9b9d0294  bl	#0xfffffff0088b41ac
0xfffffff00880cb44: f70300aa  mov	x23, x0
0xfffffff00880cb48: e00315aa  mov	x0, x21
0xfffffff00880cb4c: 41bb0194  bl	#0xfffffff00887b850
0xfffffff00880cb50: 896641b9  ldr	w9, [x20, #0x164]
0xfffffff00880cb54: 28008052  mov	w8, #1
0xfffffff00880cb58: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880cb5c: e80313aa  mov	x8, x19
0xfffffff00880cb60: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880cb64: f70300f9  str	x23, [sp]
0xfffffff00880cb68: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880cb6c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880cb70: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880cb74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880cb78: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880cb7c: 63a02a91  add	x3, x3, #0xaa8
0xfffffff00880cb80: 02008052  mov	w2, #0
0xfffffff00880cb84: 6b99ec97  bl	#0xfffffff008333130
0xfffffff00880cb88: 0c000014  b	#0xfffffff00880cbb8
0xfffffff00880cb8c: 886641b9  ldr	w8, [x20, #0x164]
0xfffffff00880cb90: 29008052  mov	w9, #1
0xfffffff00880cb94: e92300a9  stp	x9, x8, [sp]
0xfffffff00880cb98: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880cb9c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880cba0: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880cba4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880cba8: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880cbac: 631c2a91  add	x3, x3, #0xa87
0xfffffff00880cbb0: 02008052  mov	w2, #0
0xfffffff00880cbb4: 5f99ec97  bl	#0xfffffff008333130
0xfffffff00880cbb8: e00313aa  mov	x0, x19
0xfffffff00880cbbc: e10315aa  mov	x1, x21
0xfffffff00880cbc0: 04bb0194  bl	#0xfffffff00887b7d0
0xfffffff00880cbc4: a0070034  cbz	w0, #0xfffffff00880ccb8
0xfffffff00880cbc8: e00313aa  mov	x0, x19
0xfffffff00880cbcc: 13bb0194  bl	#0xfffffff00887b818
0xfffffff00880cbd0: 5602f837  tbnz	w22, #0x1f, #0xfffffff00880cc18
0xfffffff00880cbd4: d8021b12  and	w24, w22, #0x20
0xfffffff00880cbd8: 19000052  eor	w25, w0, #1
0xfffffff00880cbdc: 749d0294  bl	#0xfffffff0088b41ac
0xfffffff00880cbe0: f70300aa  mov	x23, x0
0xfffffff00880cbe4: e00315aa  mov	x0, x21
0xfffffff00880cbe8: 1abb0194  bl	#0xfffffff00887b850
0xfffffff00880cbec: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00880cbf0: 88020037  tbnz	w8, #0, #0xfffffff00880cc40
0xfffffff00880cbf4: 896a41b9  ldr	w9, [x20, #0x168]
0xfffffff00880cbf8: 28008052  mov	w8, #1
0xfffffff00880cbfc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880cc00: e80313aa  mov	x8, x19
0xfffffff00880cc04: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880cc08: f70300f9  str	x23, [sp]
0xfffffff00880cc0c: 6050fff0  adrp	x0, #0xfffffff00721b000
0xfffffff00880cc10: 00602391  add	x0, x0, #0x8d8
0xfffffff00880cc14: 09000014  b	#0xfffffff00880cc38
