; Candidate 10780
; ADRP+ADD at VM 0xfffffff008de6610 (fileoff 0x1de2610): page=0x1fe5de000 add_imm=0xd54

0xfffffff008de6590: b40b40f9  ldr	x20, [x29, #0x10]
0xfffffff008de6594: 940200b4  cbz	x20, #0xfffffff008de65e4
0xfffffff008de6598: 7f7e01a9  stp	xzr, xzr, [x19, #0x10]
0xfffffff008de659c: 611240f9  ldr	x1, [x19, #0x20]
0xfffffff008de65a0: 60c20091  add	x0, x19, #0x30
0xfffffff008de65a4: 62620091  add	x2, x19, #0x18
0xfffffff008de65a8: 63420091  add	x3, x19, #0x10
0xfffffff008de65ac: 1e1d0094  bl	#0xfffffff008deda24
0xfffffff008de65b0: a00e0035  cbnz	w0, #0xfffffff008de6784
0xfffffff008de65b4: 880240f9  ldr	x8, [x20]
0xfffffff008de65b8: 620a40f9  ldr	x2, [x19, #0x10]
0xfffffff008de65bc: 1f0102eb  cmp	x8, x2
0xfffffff008de65c0: 63100054  b.lo	#0xfffffff008de67cc
0xfffffff008de65c4: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff008de65c8: 810000b4  cbz	x1, #0xfffffff008de65d8
0xfffffff008de65cc: e00316aa  mov	x0, x22
0xfffffff008de65d0: f098bd97  bl	#0xfffffff007d4c990
0xfffffff008de65d4: 620a40f9  ldr	x2, [x19, #0x10]
0xfffffff008de65d8: 15008052  mov	w21, #0
0xfffffff008de65dc: 820200f9  str	x2, [x20]
0xfffffff008de65e0: 48018052  mov	w8, #0xa
0xfffffff008de65e4: 89034039  ldrb	w9, [x28]
0xfffffff008de65e8: 1f01096b  cmp	w8, w9
0xfffffff008de65ec: a3010054  b.lo	#0xfffffff008de6620
0xfffffff008de65f0: e80315aa  mov	x8, x21
0xfffffff008de65f4: 087d4093  sxtw	x8, w8
0xfffffff008de65f8: e92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de65fc: 2af51d91  add	x10, x9, #0x77d
0xfffffff008de6600: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6604: 299d0c91  add	x9, x9, #0x327
0xfffffff008de6608: e92bbea9  stp	x9, x10, [sp, #-0x20]!
0xfffffff008de660c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de6610: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6614: 00503591  add	x0, x0, #0xd54
0xfffffff008de6618: 82c2d597  bl	#0xfffffff008357020
0xfffffff008de661c: ff830091  add	sp, sp, #0x20
0xfffffff008de6620: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008de6624: 4968ffd0  adrp	x9, #0xfffffff007af0000
0xfffffff008de6628: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de662c: 290140f9  ldr	x9, [x9]
0xfffffff008de6630: 3f0108eb  cmp	x9, x8
0xfffffff008de6634: 010f0054  b.ne	#0xfffffff008de6814
0xfffffff008de6638: e00315aa  mov	x0, x21
0xfffffff008de663c: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de6640: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de6644: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de6648: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de664c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de6650: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de6654: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de6658: ff0f5fd6  retab	
0xfffffff008de665c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de6660: 480a8152  mov	w8, #0x852
0xfffffff008de6664: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6668: 29490d91  add	x9, x9, #0x352
0xfffffff008de666c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de6670: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6674: 08493991  add	x8, x8, #0xe52
0xfffffff008de6678: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de667c: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de6680: 38000014  b	#0xfffffff008de6760
0xfffffff008de6684: fc0300aa  mov	x28, x0
0xfffffff008de6688: 887f4093  sxtw	x8, w28
0xfffffff008de668c: ffc300d1  sub	sp, sp, #0x30
