; Candidate 12592
; ADRP+ADD at VM 0xfffffff0090c2a6c (fileoff 0x20bea6c): page=0x1fe397000 add_imm=0xe24

0xfffffff0090c29ec: 161dffb0  adrp	x22, #0xfffffff007463000
0xfffffff0090c29f0: d6d22991  add	x22, x22, #0xa74
0xfffffff0090c29f4: 1f290071  cmp	w8, #0xa
0xfffffff0090c29f8: a8000054  b.hi	#0xfffffff0090c2a0c
0xfffffff0090c29fc: f65700a9  stp	x22, x21, [sp]
0xfffffff0090c2a00: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2a04: 00583191  add	x0, x0, #0xc56
0xfffffff0090c2a08: 8651ca97  bl	#0xfffffff008357020
0xfffffff0090c2a0c: 819200b0  adrp	x1, #0xfffffff00a313000
0xfffffff0090c2a10: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c2a14: 749200f0  adrp	x20, #0xfffffff00a311000
0xfffffff0090c2a18: 94c20391  add	x20, x20, #0xf0
0xfffffff0090c2a1c: d0ffff90  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c2a20: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c2a24: 519081d2  mov	x17, #0xc82
0xfffffff0090c2a28: 3002c1da  pacia	x16, x17
0xfffffff0090c2a2c: e00310aa  mov	x0, x16
0xfffffff0090c2a30: e20313aa  mov	x2, x19
0xfffffff0090c2a34: e30314aa  mov	x3, x20
0xfffffff0090c2a38: 04008052  mov	w4, #0
0xfffffff0090c2a3c: fadfff97  bl	#0xfffffff0090baa24
0xfffffff0090c2a40: f30300aa  mov	x19, x0
0xfffffff0090c2a44: 1f000071  cmp	w0, #0
0xfffffff0090c2a48: c8088052  mov	w8, #0x46
0xfffffff0090c2a4c: 49018052  mov	w9, #0xa
0xfffffff0090c2a50: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c2a54: 89024039  ldrb	w9, [x20]
0xfffffff0090c2a58: 1f01096b  cmp	w8, w9
0xfffffff0090c2a5c: e3000054  b.lo	#0xfffffff0090c2a78
0xfffffff0090c2a60: 687e4093  sxtw	x8, w19
0xfffffff0090c2a64: f65700a9  stp	x22, x21, [sp]
0xfffffff0090c2a68: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c2a6c: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2a70: 00903891  add	x0, x0, #0xe24
0xfffffff0090c2a74: 6b51ca97  bl	#0xfffffff008357020
0xfffffff0090c2a78: e00313aa  mov	x0, x19
0xfffffff0090c2a7c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090c2a80: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090c2a84: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090c2a88: ff430191  add	sp, sp, #0x50
0xfffffff0090c2a8c: ff0f5fd6  retab	
0xfffffff0090c2a90: 7f2303d5  pacibsp	
0xfffffff0090c2a94: ff8301d1  sub	sp, sp, #0x60
0xfffffff0090c2a98: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0090c2a9c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0090c2aa0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0090c2aa4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0090c2aa8: fd430191  add	x29, sp, #0x50
0xfffffff0090c2aac: f30301aa  mov	x19, x1
0xfffffff0090c2ab0: f40300aa  mov	x20, x0
0xfffffff0090c2ab4: 689200f0  adrp	x8, #0xfffffff00a311000
0xfffffff0090c2ab8: 08c14339  ldrb	w8, [x8, #0xf0]
0xfffffff0090c2abc: 361dfff0  adrp	x22, #0xfffffff007469000
0xfffffff0090c2ac0: d6ca1891  add	x22, x22, #0x632
0xfffffff0090c2ac4: 171dffb0  adrp	x23, #0xfffffff007463000
0xfffffff0090c2ac8: f7d22991  add	x23, x23, #0xa74
0xfffffff0090c2acc: 1f290071  cmp	w8, #0xa
0xfffffff0090c2ad0: a8000054  b.hi	#0xfffffff0090c2ae4
0xfffffff0090c2ad4: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090c2ad8: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c2adc: 00583191  add	x0, x0, #0xc56
0xfffffff0090c2ae0: 5051ca97  bl	#0xfffffff008357020
0xfffffff0090c2ae4: 819200b0  adrp	x1, #0xfffffff00a313000
0xfffffff0090c2ae8: 21403a91  add	x1, x1, #0xe90
