; Candidate 15240
; ADRP+ADD at VM 0xfffffff009b42c24 (fileoff 0x2b3ec24): page=0x1fdae6000 add_imm=0xed0

0xfffffff009b42ba4: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b42ba8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b42bac: e00313aa  mov	x0, x19
0xfffffff009b42bb0: 010080d2  mov	x1, #0
0xfffffff009b42bb4: f10308aa  mov	x17, x8
0xfffffff009b42bb8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42bbc: 31093fd7  blraa	x9, x17
0xfffffff009b42bc0: f60300aa  mov	x22, x0
0xfffffff009b42bc4: 700240f9  ldr	x16, [x19]
0xfffffff009b42bc8: f10313aa  mov	x17, x19
0xfffffff009b42bcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42bd0: 301ac1da  autda	x16, x17
0xfffffff009b42bd4: f10310aa  mov	x17, x16
0xfffffff009b42bd8: f147c1da  xpacd	x17
0xfffffff009b42bdc: 1f0211eb  cmp	x16, x17
0xfffffff009b42be0: 40000054  b.eq	#0xfffffff009b42be8
0xfffffff009b42be4: 408e38d4  brk	#0xc472
0xfffffff009b42be8: 08620891  add	x8, x16, #0x218
0xfffffff009b42bec: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b42bf0: e00313aa  mov	x0, x19
0xfffffff009b42bf4: 010080d2  mov	x1, #0
0xfffffff009b42bf8: f10308aa  mov	x17, x8
0xfffffff009b42bfc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b42c00: 31093fd7  blraa	x9, x17
0xfffffff009b42c04: 6a0244b9  ldr	w10, [x19, #0x400]
0xfffffff009b42c08: 28d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b42c0c: 08552891  add	x8, x8, #0xa15
0xfffffff009b42c10: 29d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b42c14: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b42c18: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b42c1c: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b42c20: f60300f9  str	x22, [sp]
0xfffffff009b42c24: 20d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b42c28: 00403b91  add	x0, x0, #0xed0
0xfffffff009b42c2c: 43d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b42c30: 63782891  add	x3, x3, #0xa1e
0xfffffff009b42c34: e10315aa  mov	x1, x21
0xfffffff009b42c38: e20314aa  mov	x2, x20
0xfffffff009b42c3c: 3dc19f97  bl	#0xfffffff008333130
0xfffffff009b42c40: 77d20e91  add	x23, x19, #0x3b4
0xfffffff009b42c44: 61f20f91  add	x1, x19, #0x3fc
0xfffffff009b42c48: 20d7fef0  adrp	x0, #0xfffffff007629000
0xfffffff009b42c4c: 00d82b91  add	x0, x0, #0xaf6
0xfffffff009b42c50: 82008052  mov	w2, #4
0xfffffff009b42c54: d9a8a497  bl	#0xfffffff00846cfb8
0xfffffff009b42c58: c00f0034  cbz	w0, #0xfffffff009b42e50
0xfffffff009b42c5c: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b42c60: 940f0036  tbz	w20, #0, #0xfffffff009b42e50
0xfffffff009b42c64: 7405f036  tbz	w20, #0x1e, #0xfffffff009b42d10
0xfffffff009b42c68: 8d2c8e97  bl	#0xfffffff007ecde9c
0xfffffff009b42c6c: 1f040071  cmp	w0, #1
0xfffffff009b42c70: 01050054  b.ne	#0xfffffff009b42d10
0xfffffff009b42c74: 700240f9  ldr	x16, [x19]
0xfffffff009b42c78: f10313aa  mov	x17, x19
0xfffffff009b42c7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42c80: 301ac1da  autda	x16, x17
0xfffffff009b42c84: 113d80d2  mov	x17, #0x1e8
0xfffffff009b42c88: 1002118b  add	x16, x16, x17
0xfffffff009b42c8c: 080240f9  ldr	x8, [x16]
0xfffffff009b42c90: e90310aa  mov	x9, x16
0xfffffff009b42c94: e00313aa  mov	x0, x19
0xfffffff009b42c98: 010080d2  mov	x1, #0
0xfffffff009b42c9c: f10309aa  mov	x17, x9
0xfffffff009b42ca0: 9193e1f2  movk	x17, #0xc9c, lsl #48
